R,neta,mot,rgo,hniv,hop,ratio,i
2.0,1.4508448540705308,TP,2.6039999999993846,17,7,1.4237288135590223,EURUSD
-1.0,-1.7562136435746156,SL,1.8910000000005311,23,1,1.0338983050845862,EURUSD
-1.0,-1.4659498207885322,SL,3.0689999999999884,23,2,1.8679245283022583,EURUSD
-1.0,-1.3294930875575692,SL,4.340000000000455,16,11,1.8181818181817657,EURUSD
-1.0,-1.3294930875575692,SL,4.340000000000455,23,11,1.8181818181817657,EURUSD
-1.0,-1.5694942254080688,SL,2.511000000000596,23,1,1.3500000000001111,EURUSD
-1.0,-1.435179549604366,SL,3.286000000000122,23,2,2.465116279070308,EURUSD
-1.0,-1.530218761586871,SL,2.6970000000003935,23,3,1.5000000000001914,EURUSD
-1.0,-1.1423735563520487,SL,10.044000000000164,16,10,4.0499999999994865,EURUSD
-1.0,-1.1653370331830584,SL,8.648999999998352,8,11,1.4020100502513364,EURUSD
2.0,1.5144312393885708,TP,2.944999999998643,16,1,2.0212765957438665,EURUSD
-1.0,-1.5363840960239945,SL,2.666000000000057,22,2,1.4098360655735438,EURUSD
-1.0,-1.6589861751148012,SL,2.1700000000013375,22,3,1.400000000000444,EURUSD
2.0,1.7622214832058867,TP,6.014000000000852,16,8,1.813084112149368,EURUSD
2.0,1.7237782499517444,TP,5.177000000000653,16,10,1.136054421768685,EURUSD
2.0,1.7237782499517444,TP,5.177000000000653,23,10,1.136054421768685,EURUSD
-1.0,-1.262096774193585,SL,5.455999999999239,23,11,1.9775280898874947,EURUSD
-1.0,-1.262096774193585,SL,5.455999999999239,23,11,1.9775280898874947,EURUSD
-1.0,-1.1624261699227618,SL,8.804000000000034,16,15,1.1007751937984203,EURUSD
-1.0,-1.5913978494624665,SL,2.417999999999587,23,23,2.1666666666671808,EURUSD
-1.0,-1.7440166493232856,SL,1.9220000000008675,23,2,1.377777777777734,EURUSD
-1.0,-1.5183037332364797,SL,2.759000000001066,16,4,1.1866666666666983,EURUSD
-1.0,-1.5625491738791206,SL,2.541999999998712,17,11,1.012345679012427,EURUSD
2.0,1.5917784755923792,TP,3.503000000000256,23,1,1.0970873786407578,EURUSD
-1.0,-1.941408821592573,SL,1.5190000000009363,23,2,1.3611111111108714,EURUSD
-1.0,-1.4707044107966305,SL,3.037999999999652,23,3,1.3802816901408406,EURUSD
-1.0,-1.2713472485768789,SL,5.269999999999442,17,10,1.3492063492063353,EURUSD
-1.0,-1.795328142380634,SL,1.7979999999995222,17,1,2.1481481481483002,EURUSD
2.0,1.5844231328101792,TP,3.4409999999995833,23,2,1.8500000000001111,EURUSD
2.0,1.4758064516130434,TP,2.72800000000073,17,13,1.0232558139533803,EURUSD
2.0,1.6985030571368578,TP,4.743000000000386,16,10,1.3660714285714446,EURUSD
-1.0,-1.419354838709497,SL,3.4100000000014674,16,13,1.7187500000002276,EURUSD
2.0,1.7931433531029013,TP,6.913000000001723,17,20,1.0,EURUSD
2.0,1.7931433531029013,TP,6.913000000001723,17,20,1.0,EURUSD
-1.0,-1.4707044107966305,SL,3.037999999999652,17,10,1.4626865671642633,EURUSD
2.0,1.740848133381656,TP,5.517999999999912,17,12,1.762376237623954,EURUSD
-1.0,-1.4707044107966305,SL,3.037999999999652,23,13,1.3611111111114025,EURUSD
-1.0,-1.4707044107966305,SL,3.037999999999652,2,13,1.3611111111114025,EURUSD
-1.0,-1.2778857364943474,SL,5.146000000000317,1,14,1.1527777777776878,EURUSD
2.0,1.487455197132466,TP,2.789999999999182,8,18,1.058823529411903,EURUSD
2.0,1.5340501792114678,TP,3.0689999999999884,8,19,1.3378378378379676,EURUSD
2.0,1.2903225806450402,TP,2.014999999999656,23,1,1.181818181818145,EURUSD
-1.0,-1.615053763440649,SL,2.3250000000007987,1,2,1.07142857142873,EURUSD
-1.0,-1.283000197902275,SL,5.052999999999308,1,3,2.43283582089574,EURUSD
2.0,0.8172043010772392,TP,1.209000000002014,23,4,1.6250000000003468,EURUSD
2.0,0.8172043010772392,TP,1.209000000002014,2,4,1.6250000000003468,EURUSD
2.0,1.7023933402704796,TP,4.804999999998838,20,16,1.0197368421052468,EURUSD
-1.0,-1.6319045514803006,SL,2.263000000000126,20,3,1.0428571428574283,EURUSD
-1.0,-1.6319045514803006,SL,2.263000000000126,16,3,1.0428571428574283,EURUSD
2.0,0.9971949509115898,TP,1.4259999999999273,16,6,1.0222222222223647,EURUSD
2.0,1.8020213207807958,TP,7.222999999998425,16,9,1.6180555555556444,EURUSD
2.0,1.7716384541680457,TP,6.262000000001322,16,13,1.432624113475136,EURUSD
-1.0,-1.4478546821172555,SL,3.192999999999113,23,9,1.1573033707865785,EURUSD
2.0,1.5194892473120216,TP,2.9760000000012,21,8,1.103448275862245,EURUSD
-1.0,-1.3494623655913993,SL,4.0919999999999845,21,7,2.399999999999758,EURUSD
-1.0,-1.1630001139860993,SL,8.772999999999698,21,8,1.6079545454544968,EURUSD
2.0,1.6728437428504992,TP,4.3709999999985705,16,9,1.0071428571429046,EURUSD
-1.0,-1.1962937542896606,SL,7.284999999999098,20,5,4.895833333333122,EURUSD
-1.0,-1.7440166493232856,SL,1.9220000000008675,23,1,1.0163934426230583,EURUSD
2.0,1.4086021505375335,TP,2.417999999999587,16,2,1.7333333333331031,EURUSD
