R,neta,mot,rgo,hniv,hop,ratio,i
-1.0,-1.512544802867534,SL,2.789999999999182,23,2,1.285714285714603,EURUSD
2.0,1.6309677419354696,TP,3.874999999999851,23,3,1.3440860215054458,EURUSD
-1.0,-1.69892473118204,SL,2.0460000000022127,2,4,1.3199999999997691,EURUSD
-1.0,-1.4855687606114292,SL,2.944999999998643,2,5,2.5675675675677136,EURUSD
-1.0,-1.269760422561792,SL,5.300999999999778,21,10,1.163265306122452,EURUSD
2.0,1.9249934434828233,TP,19.06500000000033,19,8,2.165492957746549,EURUSD
-1.0,-1.158519011196095,SL,9.021000000000168,19,21,1.2933333333333978,EURUSD
2.0,1.8304079696394775,TP,8.43200000000044,12,2,2.3652173913044283,EURUSD
-1.0,-1.096706566578748,SL,14.78700000000055,12,12,1.5,EURUSD
2.0,1.6557534906115132,TP,4.154000000000657,19,7,1.2293577981652068,EURUSD
2.0,1.8176718092566786,TP,7.8430000000007105,5,10,1.5521472392637359,EURUSD
-1.0,-1.1938194632691759,SL,7.378000000000107,5,12,1.4601226993865148,EURUSD
-1.0,-1.3632207264414047,SL,3.9370000000005234,5,0,1.336842105263025,EURUSD
-1.0,-1.145059849868122,SL,9.858000000000366,23,3,3.1485148514847765,EURUSD
-1.0,-1.145059849868122,SL,9.858000000000366,23,3,3.1485148514847765,EURUSD
-1.0,-1.2341575241526255,SL,6.1069999999996405,16,8,1.2236024844721507,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,23,11,1.8840579710145324,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,23,11,1.8840579710145324,EURUSD
-1.0,-1.2250196695515303,SL,6.355000000000111,5,13,1.0301507537688195,EURUSD
2.0,1.7559310462536848,TP,5.859000000001391,14,5,2.076923076922833,EURUSD
-1.0,-1.3548387096774799,SL,4.029999999999312,0,6,2.4074074074076206,EURUSD
2.0,1.6531651709918362,TP,4.1229999999981,2,7,1.8472222222224193,EURUSD
-1.0,-1.069681317610375,SL,20.521999999998375,14,14,1.5148741418764007,EURUSD
-1.0,-1.0847960151802725,SL,16.863999999998658,21,15,1.9498207885305323,EURUSD
2.0,1.843630399125193,TP,9.144999999999293,11,3,1.5364583333334,EURUSD
2.0,1.8037062457103394,TP,7.284999999999098,21,10,1.327683615819214,EURUSD
2.0,1.781378994037606,TP,6.540999999999908,21,6,2.0288461538463447,EURUSD
-1.0,-1.1114227832320456,SL,12.833999999999346,23,2,3.0895522388057204,EURUSD
2.0,1.7533206831118906,TP,5.796999999998498,14,8,1.2302631578947898,EURUSD
-1.0,-1.1130613535736915,SL,12.647999999999548,23,11,1.2106824925815929,EURUSD
-1.0,-1.242784380305623,SL,5.889999999999507,23,4,2.6027397260277807,EURUSD
2.0,1.8643263757115607,TP,10.539999999998884,16,5,1.954022988505825,EURUSD
2.0,1.709880300263756,TP,4.929000000000183,16,10,1.074324324324365,EURUSD
-1.0,-1.1147488364628493,SL,12.461999999999751,17,7,1.3137254901960955,EURUSD
2.0,1.8678251224697253,TP,10.81899999999969,23,2,1.7897435897436815,EURUSD
-1.0,-1.1497695852534684,SL,9.547999999999224,23,3,2.1241379310345345,EURUSD
2.0,1.6608159392788657,TP,4.215999999999109,23,4,1.7662337662334366,EURUSD
-1.0,-1.158519011196095,SL,9.021000000000168,22,12,1.06204379562044,EURUSD
-1.0,-1.0835670874240342,SL,17.111999999999128,22,8,1.8157894736842413,EURUSD
-1.0,-1.0835670874240342,SL,17.111999999999128,13,8,1.8157894736842413,EURUSD
2.0,1.8643263757115607,TP,10.539999999998884,17,7,1.2099644128113427,EURUSD
-1.0,-1.17741935483874,SL,8.059999999998624,17,8,1.37566137566138,EURUSD
2.0,1.8511966701352742,TP,9.609999999999896,17,10,1.8023255813954675,EURUSD
2.0,1.9211469534050238,TP,18.135000000001344,8,13,2.2941176470587417,EURUSD
-1.0,-1.0983561455395827,SL,14.53900000000008,8,14,1.8685258964142781,EURUSD
-1.0,-1.1569014702655054,SL,9.114000000001177,8,2,1.2782608695653064,EURUSD
-1.0,-1.0723025583982233,SL,19.777999999999185,8,5,1.957055214723918,EURUSD
-1.0,-1.0723025583982233,SL,19.777999999999185,17,5,1.957055214723918,EURUSD
