instr,entrada,slf,rr,phi,n,nres,tp,sl,ctr,wr,wrr,base,z,perd,gana,Rbruto,Rneto,usd,pest,pdin,pes0,pdi0,dias
NASDAQ,C,0.25,1:3,0.2,1691,1675,17.973333333333358,53.92000000000007,4,0.7386162034299231,0.7450746268656716,0.75,-0.4655281064666781,431.3600000000006,143.78666666666686,-0.008832729829942725,-0.053343115586619236,-23.010086339444104,0.06783333333333333,0.0535,0.277,0.21833333333333332,76.0
NASDAQ,C,0.25,1:3,0.5,1691,1675,17.973333333333358,53.92000000000007,9,0.7386162034299231,0.7450746268656716,0.75,-0.4655281064666781,970.5600000000013,323.52000000000044,-0.008832729829942725,-0.053343115586619236,-51.7726942637492,0.21916666666666668,0.15616666666666668,0.39316666666666666,0.3005,19.0
NASDAQ,C,0.25,1:3,1.0,1691,1675,17.973333333333358,53.92000000000007,19,0.7386162034299231,0.7450746268656716,0.75,-0.4655281064666781,2048.9600000000028,682.9866666666676,-0.008832729829942725,-0.053343115586619236,-109.29791011235942,0.31333333333333335,0.2265,0.3935,0.2781666666666667,5.0
NASDAQ,C,0.25,1:10,0.2,1691,1686,5.3920000000000075,53.92000000000007,4,0.8894145476049675,0.8920521945432978,0.9090909090909091,-2.4336509973185696,431.3600000000006,43.13600000000006,-0.020040476549791405,-0.06455086230646792,-27.84465996451804,0.0,0.0,0.019,0.017833333333333333,
NASDAQ,C,0.25,1:10,0.5,1691,1686,5.3920000000000075,53.92000000000007,9,0.8894145476049675,0.8920521945432978,0.9090909090909091,-2.4336509973185696,970.5600000000013,97.05600000000014,-0.020040476549791405,-0.06455086230646792,-62.65048492016558,0.003,0.003,0.20583333333333334,0.1465,75.0
NASDAQ,C,0.25,1:10,1.0,1691,1686,5.3920000000000075,53.92000000000007,19,0.8894145476049675,0.8920521945432978,0.9090909090909091,-2.4336509973185696,2048.9600000000028,204.89600000000027,-0.020040476549791405,-0.06455086230646792,-132.26213483146066,0.06366666666666666,0.04716666666666667,0.3373333333333333,0.21066666666666667,26.0
NASDAQ,C,0.25,1:30,0.2,1691,1687,1.7973333333333357,53.92000000000007,4,0.0,0.951985773562537,0.967741935483871,-3.6627648942593356,431.3600000000006,14.378666666666685,-0.017464312579367907,-0.061974698336044395,-26.733405874236148,0.0,0.0,0.0,0.0,
NASDAQ,C,0.25,1:30,0.5,1691,1687,1.7973333333333357,53.92000000000007,9,0.0,0.951985773562537,0.967741935483871,-3.6627648942593356,970.5600000000013,32.35200000000004,-0.017464312579367907,-0.061974698336044395,-60.15016321703133,0.0,0.0,0.03283333333333333,0.035666666666666666,
NASDAQ,C,0.25,1:30,1.0,1691,1687,1.7973333333333357,53.92000000000007,19,0.0,0.951985773562537,0.967741935483871,-3.6627648942593356,2048.9600000000028,68.29866666666676,-0.017464312579367907,-0.061974698336044395,-126.98367790262171,0.0,0.0,0.197,0.1305,
NASDAQ,C,0.5,1:1,0.2,1691,1265,107.84000000000015,107.84000000000015,2,0.47368421052631576,0.5035573122529644,0.5,0.2530447007019885,431.3600000000006,431.3600000000006,-0.026100437689846802,-0.04835563056818506,-20.858684801892334,0.24266666666666667,0.16933333333333334,0.3145,0.2265,31.0
