ses,min,lado,rgo,si,mot,R,neta,res
8,44,-1,7.5,False,SL,-1.0,-1.1906666666666665,True
8,70,-1,6.2,True,SL,-1.0,-1.2306451612903226,True
8,74,1,6.0,False,SL,-1.0,-1.2383333333333333,True
8,78,1,8.0,True,SL,-1.0,-1.17875,True
8,80,-1,4.4,True,SL,-1.0,-1.325,True
8,84,-1,5.5,False,SL,-1.0,-1.26,True
8,94,1,2.4,False,TP,2.0,1.4041666666666668,True
8,98,1,3.6,True,SL,-1.0,-1.3972222222222221,True
8,102,1,3.9,False,SL,-1.0,-1.3666666666666667,True
8,130,-1,4.6,True,SL,-1.0,-1.3108695652173914,True
8,134,-1,2.3,False,SL,-1.0,-1.6217391304347828,True
8,149,1,4.2,True,SL,-1.0,-1.3404761904761904,True
8,161,-1,9.2,False,SL,-1.0,-1.1554347826086957,True
8,168,1,6.9,True,cierre,0.51,0.3027536231884058,False
8,173,1,6.3,True,cierre,0.22,-0.0069841269841269815,False
8,180,-1,3.3,True,SL,-1.0,-1.4333333333333333,True
8,193,1,4.7,True,cierre,-0.04,-0.34425531914893615,False
8,197,1,5.9,False,cierre,-0.31,-0.5523728813559322,False
8,201,-1,2.0,True,cierre,0.4,-0.31499999999999995,False
8,205,1,1.7,True,SL,-1.0,-1.8411764705882354,True
9,7,1,5.9,True,TP,2.0,1.7576271186440677,True
9,11,1,7.4,True,TP,2.0,1.8067567567567568,True
9,15,1,10.3,False,cierre,0.18,0.041165048543689325,False
9,22,1,3.2,True,SL,-1.0,-1.446875,True
9,24,-1,5.1,False,SL,-1.0,-1.280392156862745,True
9,32,-1,6.3,False,SL,-1.0,-1.226984126984127,True
9,36,-1,2.0,True,SL,-1.0,-1.7149999999999999,True
9,39,1,3.0,False,TP,2.0,1.5233333333333334,True
9,52,1,7.3,True,cierre,-0.34,-0.5358904109589041,False
9,57,-1,6.0,False,SL,-1.0,-1.2383333333333333,True
9,69,1,7.4,True,SL,-1.0,-1.1932432432432432,True
9,79,-1,5.2,False,SL,-1.0,-1.275,True
9,83,-1,7.9,True,SL,-1.0,-1.1810126582278482,True
9,87,-1,5.6,False,SL,-1.0,-1.2553571428571428,True
9,92,1,4.5,True,TP,2.0,1.6822222222222223,True
9,100,-1,2.9,False,SL,-1.0,-1.493103448275862,True
9,107,1,5.1,True,SL,-1.0,-1.280392156862745,True
9,117,-1,3.7,False,SL,-1.0,-1.3864864864864863,True
9,122,1,3.9,False,SL,-1.0,-1.3666666666666667,True
9,140,-1,2.2,False,SL,-1.0,-1.65,True
9,145,-1,3.5,True,SL,-1.0,-1.4085714285714286,True
9,155,-1,2.3,False,SL,-1.0,-1.6217391304347828,True
9,157,1,3.6,True,TP,2.0,1.6027777777777779,True
9,183,-1,5.7,True,cierre,-0.14,-0.39087719298245616,False
9,205,1,2.2,False,cierre,0.77,0.1200000000000001,False
10,0,1,3.7,False,TP,2.0,1.6135135135135137,True
10,16,-1,3.0,True,SL,-1.0,-1.4766666666666666,True
10,40,1,4.5,False,SL,-1.0,-1.3177777777777777,True
10,46,-1,7.3,True,TP,2.0,1.8041095890410959,True
10,50,-1,5.9,False,TP,2.0,1.7576271186440677,True
10,54,-1,3.3,True,TP,2.0,1.5666666666666667,True
10,58,-1,4.6,True,TP,2.0,1.6891304347826086,True
10,66,-1,1.8,True,TP,2.0,1.2055555555555557,True
10,84,1,3.7,False,SL,-1.0,-1.3864864864864863,True
10,88,1,3.7,False,SL,-1.0,-1.3864864864864863,True
10,91,-1,2.9,True,TP,2.0,1.506896551724138,True
10,108,-1,3.8,True,TP,2.0,1.6236842105263158,True
10,112,-1,7.0,True,cierre,0.43,0.22571428571428573,False
10,122,1,2.0,False,SL,-1.0,-1.7149999999999999,True
10,125,-1,3.5,True,SL,-1.0,-1.4085714285714286,True
10,129,-1,4.0,True,SL,-1.0,-1.3575,True
10,147,-1,5.8,False,SL,-1.0,-1.2465517241379311,True
10,151,1,2.9,True,SL,-1.0,-1.493103448275862,True
10,161,1,1.6,False,SL,-1.0,-1.8937499999999998,True
10,163,-1,2.2,True,SL,-1.0,-1.65,True
10,174,1,4.3,False,cierre,-0.63,-0.9625581395348837,False
10,178,1,4.7,True,cierre,-0.89,-1.1942553191489362,False
10,187,1,2.7,False,SL,-1.0,-1.5296296296296297,True
10,198,-1,3.3,True,cierre,0.76,0.32666666666666666,False
10,203,1,1.8,False,SL,-1.0,-1.7944444444444443,True
