i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
677,2020-02-14 03:59:00,-1,3383.734,3389.1,3359.44,5.3659999999999854,4.527394707417058,2,4H,2,-1.0,SL,-1.1118151323145735,SPX500,0.11181513231457353
752,2020-02-14 06:59:00,1,109.782,109.738,110.133,4.399999999999693,7.977272727273263,1,1D,1,-1.0,SL,-1.295454545454566,USDJPY,0.29545454545456606
681,2020-02-14 07:59:00,-1,3383.249,3386.1,3371.552,2.8510000000001128,4.10277095755847,2,4H,2,-1.0,SL,-1.2104524728165473,SPX500,0.21045247281654725
687,2020-02-14 07:59:00,-1,9632.0,9639.89,9591.72,7.889999999999418,5.105196451204516,2,4H,2,5.105196451204516,TP,4.915082382763437,NAS100,0.19011406844107867
741,2020-02-18 20:59:00,-1,9628.67,9647.89,9543.51,19.219999999999345,4.430801248699415,1,4H,1,-1.0,SL,-1.0780437044745084,NAS100,0.07804370447450838
816,2020-02-18 22:59:00,1,1.29984,1.29932,1.30418,5.20000000000076,8.34615384615222,1,4H,1,-1.0,SL,-1.2884615384614964,GBPUSD,0.2884615384614963
737,2020-02-19 00:59:00,-1,3375.355,3380.0,3355.437,4.644999999999982,4.288051668460753,1,4H,1,-1.0,SL,-1.1291711517761038,SPX500,0.12917115177610383
840,2020-02-19 22:59:00,1,1.29194,1.29119,1.29612,7.500000000000284,5.573333333332923,1,4H,1,-1.0,SL,-1.1999999999999924,GBPUSD,0.19999999999999243
845,2020-02-20 03:59:00,1,1.07969,1.07906,1.08372,6.300000000001305,6.396825396824037,1,1D,2,-1.0,SL,-1.190476190476151,EURUSD,0.19047619047615102
849,2020-02-20 07:59:00,1,1.07905,1.07768,1.08372,13.700000000000934,3.408759124087324,1,1D,2,3.408759124087324,TP,3.3211678832114173,EURUSD,0.08759124087590643
853,2020-02-20 11:59:00,1,1.07963,1.07864,1.08372,9.900000000000464,4.131313131312864,1,1D,2,-1.0,SL,-1.1212121212121156,EURUSD,0.12121212121211553
860,2020-02-20 18:59:00,1,1.07935,1.07898,1.08211,3.6999999999998145,7.459459459459492,2,4H,3,-1.0,SL,-1.3243243243243406,EURUSD,0.32432432432434055
860,2020-02-20 18:59:00,-1,112.012,112.10600000000001,111.511,9.40000000000083,5.329787234042134,1,4H,1,-1.0,SL,-1.1382978723404134,USDJPY,0.13829787234041332
862,2020-02-20 20:59:00,1,1.07896,1.0783800000000001,1.08211,5.799999999998029,5.431034482760443,2,4H,3,-1.0,SL,-1.2068965517242083,EURUSD,0.20689655172420823
863,2020-02-20 21:59:00,-1,112.059,112.18900000000001,111.511,13.000000000000966,4.215384615384316,1,4H,1,4.215384615384316,TP,4.115384615384324,USDJPY,0.09999999999999257
914,2020-02-25 00:59:00,1,1.08517,1.08471,1.0872,4.599999999999049,4.41304347826173,1,4H,2,-1.0,SL,-1.2608695652174453,EURUSD,0.2608695652174452
