par,tf,fecha,lado,ancho,obj,R,rr,coste,tp,N,fuera
GBPUSD,H12,2021-04-21 12:00:00,1,1.0,ext150,-1.0,1.3054945054945024,0.03516483516483475,0,-1.0351648351648348,False
GBPUSD,H12,2021-04-21 12:00:00,1,1.25,opuesto,0.32703296703295837,0.32703296703295837,0.0281318681318678,1,0.29890109890109057,False
GBPUSD,H12,2021-04-21 12:00:00,1,1.25,ext150,-1.0,1.044395604395602,0.0281318681318678,0,-1.0281318681318679,False
GBPUSD,H12,2021-04-21 12:00:00,1,1.5,opuesto,0.2725274725274653,0.2725274725274653,0.023443223443223166,1,0.24908424908424212,False
GBPUSD,H12,2021-04-21 12:00:00,1,1.5,ext150,-1.0,0.8703296703296682,0.023443223443223166,0,-1.0234432234432231,False
GBPUSD,H12,2021-04-21 12:00:00,1,2.0,opuesto,0.20439560439559898,0.20439560439559898,0.017582417582417374,1,0.1868131868131816,False
GBPUSD,H12,2021-04-21 12:00:00,1,2.0,ext150,-1.0,0.6527472527472512,0.017582417582417374,0,-1.0175824175824173,False
GBPUSD,H12,2021-04-22 00:00:00,-1,1.0,opuesto,0.16304347826085253,0.16304347826085253,0.028985507246376975,1,0.13405797101447556,False
GBPUSD,H12,2021-04-22 00:00:00,-1,1.0,ext150,0.35144927536233034,1.5570652173913366,0.028985507246376975,0,0.32246376811595334,False
GBPUSD,H12,2021-04-22 00:00:00,-1,1.25,opuesto,0.13043478260868202,0.13043478260868202,0.02318840579710158,1,0.10724637681158045,False
GBPUSD,H12,2021-04-22 00:00:00,-1,1.25,ext150,0.2811594202898643,1.2456521739130693,0.02318840579710158,0,0.2579710144927627,False
GBPUSD,H12,2021-04-22 00:00:00,-1,1.5,opuesto,0.10869565217390167,0.10869565217390167,0.01932367149758465,1,0.08937198067631702,False
GBPUSD,H12,2021-04-22 00:00:00,-1,1.5,ext150,0.23429951690822023,1.0380434782608912,0.01932367149758465,0,0.21497584541063558,False
GBPUSD,H12,2021-04-22 00:00:00,-1,2.0,opuesto,0.08152173913042626,0.08152173913042626,0.014492753623188488,1,0.06702898550723778,False
GBPUSD,H12,2021-04-22 00:00:00,-1,2.0,ext150,0.17572463768116517,0.7785326086956683,0.014492753623188488,0,0.16123188405797667,False
GBPUSD,H12,2021-04-23 00:00:00,-1,1.0,opuesto,-1.0,6.804347826086889,0.17391304347825484,0,-1.1739130434782548,False
GBPUSD,H12,2021-04-23 00:00:00,-1,1.0,medio,2.956521739130393,2.956521739130393,0.17391304347825484,1,2.782608695652138,False
GBPUSD,H12,2021-04-23 00:00:00,-1,1.0,ext150,-1.0,11.543478260869486,0.17391304347825484,0,-1.1739130434782548,False
GBPUSD,H12,2021-04-23 00:00:00,-1,1.25,opuesto,-1.0,5.443478260869511,0.1391304347826039,0,-1.139130434782604,False
GBPUSD,H12,2021-04-23 00:00:00,-1,1.25,medio,2.365217391304314,2.365217391304314,0.1391304347826039,1,2.2260869565217103,False
GBPUSD,H12,2021-04-23 00:00:00,-1,1.25,ext150,-1.0,9.234782608695589,0.1391304347826039,0,-1.139130434782604,False
GBPUSD,H12,2021-04-23 00:00:00,-1,1.5,opuesto,-1.0,4.536231884057925,0.11594202898550324,0,-1.1159420289855033,False
GBPUSD,H12,2021-04-23 00:00:00,-1,1.5,medio,1.9710144927535953,1.9710144927535953,0.11594202898550324,1,1.855072463768092,False
