dia,ts,i,fin,lado,entrada,stop,obj,riesgo,exceso,mecha,cuerpo,visto,A,B,C
2020-07-03,2020-07-03 07:44:00,37817,37868,1,1.12335,1.12239,1.12492,9.600000000000719,0.4999999999988347,2.5999999999992696,6.500000000000394,True,True,True,True
2020-07-09,2020-07-09 09:19:00,38984,39016,1,1.13248,1.13202,1.13706,4.599999999999049,3.6999999999998145,7.599999999998719,0.7999999999985796,False,False,False,False
2020-07-30,2020-07-30 06:24:00,43262,43329,1,1.17573,1.17539,1.17931,3.4000000000000696,2.4000000000001798,4.3999999999999595,0.9999999999998899,False,False,False,False
2020-07-31,2020-07-31 06:59:00,43556,43616,-1,1.19014,1.19083,1.1887599999999998,6.900000000000794,0.40000000000040004,4.00000000000178,4.699999999999704,False,True,True,True
2020-08-04,2020-08-04 06:44:00,44128,44191,-1,1.17728,1.17791,1.1760200000000003,6.299999999999084,0.5000000000010552,1.100000000000545,4.699999999999704,True,True,True,True
2020-08-14,2020-08-14 06:24:00,46425,46492,-1,1.18176,1.18276,1.1797599999999997,10.000000000001119,0.5000000000010552,4.900000000001015,5.9000000000009045,False,True,True,True
2020-08-18,2020-08-18 06:44:00,47004,47067,-1,1.18938,1.1905,1.1871400000000005,11.199999999997878,3.0999999999981043,7.499999999998064,7.199999999998319,False,False,False,True
2020-08-19,2020-08-19 07:24:00,47300,47355,1,1.19286,1.19211,1.19526,7.500000000000284,4.100000000000215,5.60000000000116,5.1000000000001044,True,False,False,True
2020-09-03,2020-09-03 06:09:00,50442,50512,1,1.18037,1.1794,1.18549,9.699999999999154,0.9999999999998899,2.100000000000435,8.199999999998209,False,True,True,True
2020-09-11,2020-09-11 07:29:00,52179,52233,-1,1.1842,1.18476,1.1830799999999997,5.60000000000116,0.4999999999988347,7.699999999999374,0.6000000000017103,False,False,True,False
2020-09-16,2020-09-16 06:49:00,53025,53087,-1,1.18513,1.18534,1.18471,2.100000000000435,0.1999999999990898,2.9999999999996696,1.1999999999989797,True,False,True,False
2020-09-24,2020-09-24 09:44:00,54783,54810,1,1.16405,1.16351,1.16797,5.399999999999849,5.700000000001815,8.20000000000043,1.80000000000069,False,False,False,False
2020-09-28,2020-09-28 08:49:00,55344,55382,-1,1.16421,1.16466,1.1633099999999998,4.500000000000615,2.5999999999992696,5.20000000000076,2.5999999999992696,False,False,False,False
2020-10-14,2020-10-14 07:24:00,58767,58822,1,1.17336,1.17276,1.17509,5.999999999999339,2.100000000000435,6.500000000000394,1.9999999999997797,False,False,False,False
