i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
117755,2023-03-01 05:39:00,-1,1.20425,1.20478,1.1922,5.299999999999194,22.73584905660745,1,1D,2,-1.0,SL,-1.2830188679245713,GBPUSD,0.2830188679245713
108181,2023-03-01 05:59:00,-1,12045.249,12050.597,11964.329,5.347999999999956,15.130890052356158,1,1D,1,-1.0,SL,-1.2804786836200472,NAS100,0.2804786836200472
117800,2023-03-01 06:09:00,-1,136.405,136.45,134.054,4.4999999999987494,52.24444444445894,1,1D,2,-1.0,SL,-1.2888888888889691,USDJPY,0.2888888888889692
117761,2023-03-01 06:39:00,-1,1.20494,1.20575,1.1922,8.100000000001994,15.72839506172449,1,1D,2,-1.0,SL,-1.1851851851851396,GBPUSD,0.18518518518513957
108185,2023-03-01 06:39:00,-1,12063.359,12078.089,11964.329,14.729999999999563,6.723014256619388,1,1D,1,-1.0,SL,-1.1018329938900233,NAS100,0.10183299389002338
117763,2023-03-01 06:59:00,-1,1.20516,1.20614,1.1922,9.799999999999809,13.224489795918709,1,1D,2,-1.0,SL,-1.1530612244897989,GBPUSD,0.1530612244897989
108187,2023-03-01 06:59:00,-1,12065.659,12072.907,11964.329,7.2479999999995925,13.980408388521747,1,1D,1,-1.0,SL,-1.2069536423841176,NAS100,0.2069536423841176
117827,2023-03-01 06:59:00,-1,1.06069,1.06156,1.05328,8.700000000001484,8.517241379308796,1,1D,1,-1.0,SL,-1.1379310344827351,EURUSD,0.13793103448273508
117806,2023-03-01 07:09:00,-1,136.292,136.36599999999999,134.054,7.399999999998386,30.243243243249836,1,1D,2,-1.0,SL,-1.175675675675714,USDJPY,0.17567567567571402
107952,2023-03-01 07:09:00,1,3974.99,3971.614,3991.977,3.375999999999749,5.031694312796606,1,12H,2,-1.0,SL,-1.1777251184834254,SPX500,0.17772511848342554
108191,2023-03-01 07:39:00,-1,12072.139,12086.397,11964.329,14.25800000000163,7.561369055967679,1,1D,1,-1.0,SL,-1.1052040959461236,NAS100,0.10520409594612348
108192,2023-03-01 07:49:00,-1,12080.819,12091.299,11964.329,10.480000000001382,11.115458015265688,1,1D,1,-1.0,SL,-1.1431297709923476,NAS100,0.14312977099234753
108195,2023-03-01 08:19:00,-1,12077.619,12091.989,11964.329,14.369999999998981,7.883785664579603,1,1D,1,-1.0,SL,-1.1043841336116984,NAS100,0.10438413361169842
117814,2023-03-01 08:29:00,-1,135.994,136.051,134.054,5.699999999998795,34.0350877193054,1,1D,2,-1.0,SL,-1.2280701754386447,USDJPY,0.22807017543864472
117840,2023-03-01 09:09:00,-1,1.06477,1.06582,1.05328,10.499999999999954,10.942857142857191,1,1D,1,-1.0,SL,-1.1142857142857148,EURUSD,0.11428571428571478
117820,2023-03-01 09:29:00,-1,135.78,135.85999999999999,134.054,7.999999999998408,21.57500000000428,1,1D,2,-1.0,SL,-1.1625000000000323,USDJPY,0.16250000000003234
107967,2023-03-01 09:39:00,1,3978.297,3976.041,3991.977,2.255999999999858,6.063829787234352,1,12H,2,-1.0,SL,-1.2659574468085273,SPX500,0.26595744680852734
117784,2023-03-01 11:29:00,1,1.20364,1.20238,1.21428,12.600000000000389,8.444444444444171,1,12H,1,-1.0,SL,-1.1190476190476153,GBPUSD,0.11904761904761538
108215,2023-03-01 12:39:00,-1,12094.379,12099.117,11964.329,4.737999999999374,27.448290417901703,1,1D,1,27.448290417901703,TP,27.131701139725216,NAS100,0.3165892781764876
117831,2023-03-01 13:19:00,-1,135.556,135.623,134.054,6.699999999997885,22.417910447768413,1,1D,2,-1.0,SL,-1.1940298507463298,USDJPY,0.1940298507463299
117789,2023-03-01 13:19:00,1,1.20675,1.2058,1.21428,9.500000000000064,7.926315789473669,1,12H,1,-1.0,SL,-1.1578947368421042,GBPUSD,0.1578947368421042
117795,2023-03-01 15:19:00,1,1.19879,1.19637,1.21428,24.200000000000887,6.4008264462807585,1,12H,1,-1.0,SL,-1.0619834710743778,GBPUSD,0.06198347107437789
117799,2023-03-01 15:59:00,1,1.20064,1.19943,1.21428,12.099999999999334,11.272727272727973,1,12H,1,-1.0,SL,-1.1239669421487672,GBPUSD,0.12396694214876716
117803,2023-03-01 16:39:00,-1,1.20155,1.20267,1.1922,11.200000000000099,8.348214285714185,1,1D,2,-1.0,SL,-1.1339285714285703,GBPUSD,0.13392857142857026
107995,2023-03-01 18:19:00,1,3957.523,3954.294,3991.977,3.229000000000269,10.670176525239038,1,12H,2,-1.0,SL,-1.1858160421182875,SPX500,0.1858160421182874
117851,2023-03-01 18:39:00,-1,136.082,136.134,134.054,5.19999999999925,39.000000000005464,1,1D,2,-1.0,SL,-1.250000000000036,USDJPY,0.2500000000000361
108009,2023-03-01 23:19:00,1,3953.9,3951.669,3991.977,2.231000000000222,17.0672344240233,1,12H,2,-1.0,SL,-1.2689376961003767,SPX500,0.26893769610037666
108017,2023-03-02 00:39:00,1,3958.439,3955.43,3991.977,3.0090000000000146,11.1458956463941,1,12H,2,-1.0,SL,-1.1994017946161506,SPX500,0.19940179461615057
117831,2023-03-02 01:19:00,1,1.20186,1.20125,1.20736,6.099999999999994,9.016393442623059,1,4H,3,-1.0,SL,-1.2459016393442626,GBPUSD,0.2459016393442625
