par,lado,R,neta,tam,prof,cierre,hora,rr
EURUSD,1,-1.0,-1.0711442786069627,2.324185248713512,0.04182041820418305,0.20541205412054936,16,3.2139303482585544
EURUSD,1,-1.0,-1.1444444444444377,0.5947071067499194,0.18499999999999056,0.3100000000000322,0,1.3939393939392648
EURUSD,-1,-1.0,-1.0629955947136565,1.925827814569498,0.19394773039892094,0.11829436038512713,12,2.8237885462555257
EURUSD,-1,4.592592592592791,4.3277777777779685,0.8033012379642435,0.03424657534246159,0.1506849315068462,8,4.592592592592791
EURUSD,1,-1.0,-1.11349206349206,0.8693213684800584,0.3516129032258314,0.05483870967742259,16,2.3253968253966564
EURUSD,-1,0.27966101694911266,0.1584745762711423,0.321051826937778,0.4380952380951495,0.6857142857143401,0,0.27966101694911266
EURUSD,1,0.5067567567568013,0.41013513513517486,0.47619047619050703,0.5170068027209723,0.4897959183673562,20,0.5067567567568013
EURUSD,-1,-1.0,-1.04496855345912,1.0591696632886383,0.07716049382718841,0.9043209876543084,8,0.09748427672957116
EURUSD,1,1.7031250000001248,1.5914062500001203,1.1118598382749707,0.0484848484848285,0.3393939393939341,12,1.7031250000001248
EURUSD,1,1.3113207547169081,1.1764150943395575,0.5283240387437709,0.36111111111112826,0.22777777777778668,0,1.3113207547169081
EURUSD,-1,1.4742268041238835,1.3268041237114996,0.6557859138361901,0.07623318385650536,0.3587443946188019,8,1.4742268041238835
EURUSD,-1,0.626016260162518,0.509756097560898,0.3423137876386608,0.8518518518519052,0.2870370370370751,0,0.626016260162518
EURUSD,1,-1.0,-1.571999999999809,0.4744713769984379,0.13043478260875163,0.05072463768117225,0,5.23999999999794
EURUSD,-1,1.1333333333333615,1.065238095238123,1.3777563173990361,0.046728971962611006,0.4439252336448564,12,1.1333333333333615
EURUSD,1,-1.0,-1.193243243243195,0.8162556443209742,0.11914893617023367,0.19574468085111169,20,2.5540540540533443
EURUSD,-1,0.39655172413795964,0.31436781609198616,0.44068394147716355,0.9440000000001648,0.4479999999999247,4,0.39655172413795964
