R,neta,mot,rgo,hniv,izq,velas,pos,i
-1.0,-1.1781043716527475,SL,8.029000000000508,16,0,15,1.1315217391304535,EURUSD
2.0,1.8769892473118233,TP,11.624999999999552,16,0,67,0.8043130990415298,EURUSD
2.0,1.8472548600726246,TP,9.361999999999426,22,3,53,1.006389776357816,EURUSD
-1.0,-1.1553166069295107,SL,9.206999999999965,22,0,60,0.8977635782747475,EURUSD
2.0,1.970373132782232,TP,48.26699999999961,15,0,52,1.224546722454672,EURUSD
-1.0,-1.0771388499298777,SL,18.537999999999055,23,0,49,0.7601957585644588,EURUSD
-1.0,-1.1085388994307515,SL,13.174999999998604,23,0,30,0.36344086021504957,EURUSD
2.0,1.9440181647353576,TP,25.543999999999567,23,0,50,0.27956989247310526,EURUSD
2.0,1.9332430792213224,TP,21.420999999999246,21,31,44,-0.10394265232976223,EURUSD
2.0,1.9273558547117027,TP,19.684999999998176,15,0,19,0.18566308243726792,EURUSD
2.0,1.9273558547117027,TP,19.684999999998176,1,0,19,0.18566308243726792,EURUSD
2.0,1.8409343715239517,TP,8.990000000002052,21,0,61,0.3615179760319502,EURUSD
-1.0,-1.1195052649172774,SL,11.965999999998811,21,0,27,0.416111850865509,EURUSD
-1.0,-1.2050179211469483,SL,6.9750000000001755,15,13,1,0.5912117177097277,EURUSD
-1.0,-1.2050179211469483,SL,6.9750000000001755,1,0,1,0.5912117177097277,EURUSD
-1.0,-1.1507484714316063,SL,9.485999999998551,19,0,90,-0.04061251664447451,EURUSD
2.0,1.9576019924098667,TP,33.72799999999953,19,6,46,0.14922813036019317,EURUSD
-1.0,-1.0627605881062083,SL,22.78500000000072,21,11,33,-0.04888507718696049,EURUSD
2.0,1.9749570943224406,TP,57.10199999999998,1,0,37,-0.9030874785591892,EURUSD
-1.0,-1.0669506999391403,SL,21.358999999998574,4,27,15,1.2013942680092904,EURUSD
-1.0,-1.0669506999391403,SL,21.358999999998574,21,10,15,1.2013942680092904,EURUSD
2.0,1.954054748746948,TP,31.12400000000015,17,16,23,-0.078850102669401,EURUSD
2.0,1.9537321642346395,TP,30.907000000000018,21,0,71,1.1906841339155594,EURUSD
-1.0,-1.052779213109912,SL,27.09400000000084,21,0,49,0.8326055312954936,EURUSD
-1.0,-1.0981468771448153,SL,14.570000000000416,17,0,56,0.7972972972972978,EURUSD
-1.0,-1.041707985766784,SL,34.286000000001145,7,46,80,1.037015276145719,EURUSD
-1.0,-1.041707985766784,SL,34.286000000001145,14,15,80,1.037015276145719,EURUSD
2.0,1.827232088921127,TP,8.277000000000978,7,0,7,1.012925969447715,EURUSD
-1.0,-1.0969097316346026,SL,14.755999999997993,7,17,7,0.431082981715894,EURUSD
-1.0,-1.0969097316346026,SL,14.755999999997993,14,17,7,0.431082981715894,EURUSD
-1.0,-1.0815000569930393,SL,17.546000000001616,7,0,24,0.6153305203938184,EURUSD
-1.0,-1.0815000569930393,SL,17.546000000001616,14,0,24,0.6153305203938184,EURUSD
2.0,1.8334691976243138,TP,8.5869999999999,20,0,41,1.1530993278566006,EURUSD
-1.0,-1.0783175420340634,SL,18.25900000000047,23,2,43,1.0276123443421772,EURUSD
