tf,ema,fib,rr,n,R,z,fuente
60,10,0.618,3.0,12418,-0.13335025197661546,-8.593331419554591,real
60,10,0.705,1.0,12174,0.0345959095664675,3.843835496291583,real
60,10,0.705,2.0,12052,0.005023437991573645,0.3769774075919359,real
60,10,0.705,3.0,11913,-0.07843213131011113,-4.821607272222058,real
60,10,0.786,1.0,10934,-0.04269501448475717,-4.429155955953773,real
60,10,0.786,2.0,10895,0.005925497741489041,0.41970724068178267,real
60,10,0.786,3.0,10829,-0.04429580666534052,-2.5463526302920383,real
60,20,0.382,1.0,15389,-0.15503065290478704,-19.19285150300461,real
60,20,0.382,2.0,14693,-0.18191695830667629,-16.017594455798328,real
60,20,0.382,3.0,14003,-0.2810509528174766,-20.77384304945911,real
60,20,0.5,1.0,14966,-0.08237779809262621,-10.010643671955174,real
60,20,0.5,2.0,14454,-0.13397454095480832,-11.471834029348301,real
60,20,0.5,3.0,14001,-0.18860401864793988,-13.291935964352641,real
60,20,0.618,1.0,14235,-0.02458509563260383,-2.917037319361612,real
60,20,0.618,2.0,13970,-0.09982943625172383,-8.2694915562899,real
60,20,0.618,3.0,13652,-0.16275335368971805,-11.101443772288555,real
60,20,0.705,1.0,13403,-0.01201712682071866,-1.38594301073812,real
60,20,0.705,2.0,13274,-0.05396569877944022,-4.28717799633123,real
60,20,0.705,3.0,13119,-0.12078803252478178,-7.886056942765528,real
60,20,0.786,1.0,12027,-0.06875731090088068,-7.447931183906403,real
60,20,0.786,2.0,11982,-0.03740484615791291,-2.796782251641498,real
60,20,0.786,3.0,11911,-0.0928667826033589,-5.673635174075513,real
60,50,0.382,1.0,16585,-0.2757946183096681,-35.84645807416314,real
60,50,0.382,2.0,15878,-0.30582703901059755,-29.163891375843736,real
60,50,0.382,3.0,15199,-0.39372840463025083,-32.008842184294714,real
60,50,0.5,1.0,16192,-0.21050256701724496,-26.614623176157387,real
60,50,0.5,2.0,15684,-0.2604116798832998,-24.055057800069513,real
60,50,0.5,3.0,15222,-0.309248502573296,-23.825459987047136,real
60,50,0.618,1.0,15445,-0.1552134219185375,-18.97814904485339,real
60,50,0.618,2.0,15180,-0.2187052843955034,-19.398573480626066,real
60,50,0.618,3.0,14855,-0.2848609675390688,-21.16019154731313,real
60,50,0.705,1.0,14548,-0.13033838798186853,-15.425534057835993,real
60,50,0.705,2.0,14421,-0.16965387404105803,-14.343215196845925,real
60,50,0.705,3.0,14268,-0.2252559762820607,-15.826374226621603,real
60,50,0.786,1.0,13009,-0.1751186566641182,-19.499090684790907,real
60,50,0.786,2.0,12964,-0.13879661315972952,-10.949599272354305,real
60,50,0.786,3.0,12897,-0.189781121746546,-12.374638044721909,real
60,100,0.382,1.0,16996,-0.3475716787108287,-46.45978769424368,real
60,100,0.382,2.0,16368,-0.37994457828128525,-37.97618404934316,real
60,100,0.382,3.0,15777,-0.4537466084947158,-38.8923480579832,real
60,100,0.5,1.0,16662,-0.2855417459373939,-36.94953709543073,real
60,100,0.5,2.0,16197,-0.33835352230952037,-32.683684404555535,real
60,100,0.5,3.0,15791,-0.37832330046625057,-30.666852167962798,real
60,100,0.618,1.0,15940,-0.23268411988394963,-28.968596855247668,real
60,100,0.618,2.0,15707,-0.2893178910366666,-26.660861863050172,real
60,100,0.618,3.0,15405,-0.35752107515499076,-27.891936542545345,real
60,100,0.705,1.0,15028,-0.21197738270234134,-25.44367549986472,real
60,100,0.705,2.0,14926,-0.25023192839053265,-21.947045510546413,real
60,100,0.705,3.0,14784,-0.30222782564611334,-22.219629821987642,real
60,100,0.786,1.0,13417,-0.24474282296152988,-27.62010113171874,real
60,100,0.786,2.0,13376,-0.21227741815193504,-17.24924526769597,real
60,100,0.786,3.0,13324,-0.26150374157428885,-17.71775452376995,real
60,200,0.382,1.0,17324,-0.390374067522555,-53.29507509346818,real
60,200,0.382,2.0,16746,-0.4286342419226773,-44.34091158746644,real
60,200,0.382,3.0,16197,-0.5030086586536123,-45.04390878080221,real
60,200,0.5,1.0,17029,-0.33131140220380334,-43.677528765824974,real
60,200,0.5,2.0,16595,-0.38269106675813336,-38.07258748940144,real
60,200,0.5,3.0,16223,-0.4283899380313173,-36.09007653160334,real
60,200,0.618,1.0,16332,-0.28807416425461463,-36.483889432029336,real
60,200,0.618,2.0,16114,-0.3351176597929788,-31.737672565414126,real
60,200,0.618,3.0,15832,-0.403392779264257,-32.55155267750267,real
60,200,0.705,1.0,15392,-0.2635151126031246,-32.05984603226528,real
60,200,0.705,2.0,15298,-0.2978938895257254,-26.7793196997995,real
60,200,0.705,3.0,15166,-0.34130777370125326,-25.76762870483849,real
60,200,0.786,1.0,13665,-0.29547021032183335,-33.728482114489125,real
60,200,0.786,2.0,13628,-0.25577981742143197,-21.17611797671927,real
60,200,0.786,3.0,13580,-0.3033315216019107,-21.025347044517247,real
240,10,0.382,1.0,3662,-0.030582070213181555,-1.8506044438437244,real
240,10,0.382,2.0,3521,-0.0703613809085407,-2.9812683560367237,real
240,10,0.382,3.0,3367,-0.15556405035565019,-5.451069062492768,real
240,10,0.5,1.0,3536,0.04166621280376705,2.485140149632991,real
240,10,0.5,2.0,3481,-0.0076514840271376,-0.316751773036443,real
240,10,0.5,3.0,3377,-0.03679969154225217,-1.2328736310577593,real
240,10,0.618,1.0,3366,0.1560862058026945,9.251006244973127,real
240,10,0.618,2.0,3332,0.052296236369948186,2.085982788316218,real
240,10,0.618,3.0,3291,-0.0017254541086550623,-0.056219771738138045,real
240,10,0.705,1.0,3251,0.2115292526805998,12.529289700324643,real
240,10,0.705,2.0,3244,0.1349675056287641,5.225760535123676,real
240,10,0.705,3.0,3225,0.05658193690145131,1.7859913368582634,real
240,10,0.786,1.0,3135,0.14769849029451865,8.448565345554822,real
240,10,0.786,2.0,3130,0.2604571194416182,9.7335034199398,real
240,10,0.786,3.0,3129,0.09052430984565761,2.7678394420036336,real
240,20,0.382,1.0,3979,-0.08048808843886333,-5.0795332505867945,real
240,20,0.382,2.0,3831,-0.101789076621157,-4.537666387178741,real
240,20,0.382,3.0,3644,-0.19359161971182387,-7.170957217045713,real
240,20,0.5,1.0,3844,-0.0072754901518462395,-0.45075096547705595,real
240,20,0.5,2.0,3783,-0.042244913340029555,-1.8375833262319599,real
240,20,0.5,3.0,3662,-0.06885412944249034,-2.427964950621566,real
240,20,0.618,1.0,3663,0.09821494402208827,6.0010016479332355,real
240,20,0.618,2.0,3628,-0.00036861047408101653,-0.015498335519460296,real
240,20,0.618,3.0,3580,-0.03494047243896787,-1.1995815540915518,real
240,20,0.705,1.0,3533,0.15263341436878455,9.266516357280716,real
240,20,0.705,2.0,3526,0.08236155438457082,3.348995748615371,real
240,20,0.705,3.0,3506,0.005446719674587371,0.1817921510128047,real
240,20,0.786,1.0,3403,0.12642744411712417,7.4849063512000855,real
240,20,0.786,2.0,3398,0.2128983546525964,8.314420464312601,real
240,20,0.786,3.0,3397,0.03251350920350906,1.0510453263193476,real
240,50,0.382,1.0,4197,-0.1812034616872976,-11.840185367205917,real
240,50,0.382,2.0,4055,-0.20255351176972192,-9.592702425055133,real
240,50,0.382,3.0,3865,-0.30605503916867416,-12.313204238967753,real
240,50,0.5,1.0,4066,-0.11276955104533697,-7.186463774178873,real
240,50,0.5,2.0,4017,-0.1457791651151555,-6.71966206421884,real
240,50,0.5,3.0,3893,-0.17311315395515475,-6.540745475924448,real
240,50,0.618,1.0,3908,-0.0315815160238794,-1.9654793114709315,real
240,50,0.618,2.0,3876,-0.09200551054836074,-4.08112794170901,real
240,50,0.618,3.0,3841,-0.1204745050620103,-4.405816700726212,real
240,50,0.705,1.0,3784,0.029518918346082265,1.8112738068511718,real
240,50,0.705,2.0,3777,-0.022014144872476504,-0.9430134858094144,real
240,50,0.705,3.0,3761,-0.07939921855776427,-2.8129758797994833,real
240,50,0.786,1.0,3666,-0.0018230644338897899,-0.10935209912297023,real
240,50,0.786,2.0,3661,0.09164508674250452,3.754940245687291,real
240,50,0.786,3.0,3660,-0.05641190048658285,-1.9376214509928096,real
240,100,0.382,1.0,4249,-0.2697038320614328,-18.03189558578014,real
240,100,0.382,2.0,4124,-0.29270007371604706,-14.491560641068638,real
240,100,0.382,3.0,3954,-0.3803971414290238,-16.135630133914052,real
240,100,0.5,1.0,4136,-0.1997733527496801,-12.95919862039661,real
240,100,0.5,2.0,4094,-0.24632973931275634,-11.870335666460678,real
240,100,0.5,3.0,3981,-0.2702983082162541,-10.778164536795915,real
240,100,0.618,1.0,4001,-0.1229320295788931,-7.747761056942502,real
240,100,0.618,2.0,3969,-0.17714163635819488,-8.14811273828441,real
240,100,0.618,3.0,3942,-0.2144617196559355,-8.240878354156866,real
240,100,0.705,1.0,3891,-0.06714883772722989,-4.151537770738838,real
240,100,0.705,2.0,3884,-0.12001110705498727,-5.333469616809072,real
240,100,0.705,3.0,3868,-0.15399087888712937,-5.674158789835037,real
240,100,0.786,1.0,3788,-0.08726364869605495,-5.288569886151913,real
240,100,0.786,2.0,3783,-0.006703326587815791,-0.28339082527558584,real
240,100,0.786,3.0,3782,-0.1465729515671363,-5.264435525920394,real
