fecha,d_open,d_high,d_low,d_close,asia_high,asia_low,londres_high,londres_low,ny_high,ny_low,asia_rango_p
2026-05-04,1.17407,1.17419,1.16809,1.16894,1.17419,1.17199,1.17371,1.16888,1.17179,1.16809,22.0
2026-05-05,1.16897,1.17136,1.16764,1.1693,1.16938,1.16764,1.16977,1.16794,1.17136,1.16852,17.4
2026-05-06,1.16927,1.17966,1.16915,1.17496,1.17428,1.16915,1.17966,1.17243,1.177,1.17417,51.3
2026-05-07,1.17496,1.17783,1.17224,1.17266,1.17633,1.17462,1.17783,1.17448,1.17779,1.17224,17.1
2026-05-08,1.17266,1.1788,1.17227,1.17838,1.17386,1.17227,1.17734,1.17368,1.1788,1.17562,15.9
2026-05-11,1.17605,1.17878,1.17485,1.17836,1.17719,1.17485,1.17821,1.17499,1.17878,1.17643,23.4
2026-05-12,1.17838,1.17876,1.17216,1.17375,1.17876,1.17522,1.17657,1.17348,1.1741,1.17216,35.4
2026-05-13,1.17377,1.17417,1.16954,1.1713,1.17417,1.17318,1.17342,1.16954,1.17179,1.1697,9.9
2026-05-14,1.17131,1.17214,1.16657,1.167,1.17185,1.17096,1.17214,1.16993,1.17056,1.16657,8.9
2026-05-15,1.167,1.1671,1.16168,1.16234,1.1671,1.16326,1.16554,1.1617,1.16378,1.16168,38.4
2026-05-18,1.16204,1.16608,1.16082,1.16587,1.16261,1.16082,1.16495,1.16218,1.16608,1.16287,17.9
2026-05-19,1.16588,1.16616,1.15919,1.16068,1.16616,1.16334,1.16457,1.16109,1.16238,1.15919,28.2
2026-05-20,1.16069,1.1645,1.15826,1.16231,1.16128,1.15916,1.16058,1.15833,1.1645,1.15826,21.2
2026-05-21,1.1623,1.16353,1.15763,1.16178,1.16352,1.16155,1.16353,1.15938,1.163,1.15763,19.7
2026-05-22,1.16184,1.16197,1.15881,1.16057,1.16197,1.16071,1.16157,1.15932,1.16183,1.15881,12.6
2026-05-25,1.1633,1.16527,1.16296,1.16396,1.16488,1.1631,1.16506,1.16296,1.16527,1.16354,17.8
2026-05-26,1.16395,1.16451,1.16163,1.16303,1.1643,1.16273,1.16451,1.16239,1.16365,1.16163,15.7
2026-05-27,1.16298,1.16614,1.16221,1.1628,1.16442,1.16298,1.16492,1.16329,1.16614,1.16221,14.4
2026-05-28,1.1628,1.1661,1.15861,1.16508,1.16302,1.15861,1.16226,1.15985,1.1661,1.16155,44.1
2026-05-29,1.16508,1.16857,1.16248,1.16546,1.16563,1.16341,1.16543,1.16248,1.16857,1.16403,22.2
2026-06-01,1.16582,1.16648,1.16067,1.1632,1.16584,1.16415,1.16648,1.16415,1.16505,1.16067,16.9
2026-06-02,1.16322,1.16555,1.16134,1.16276,1.16396,1.16283,1.16527,1.16369,1.16555,1.16134,11.3
2026-06-03,1.16287,1.16335,1.15947,1.15975,1.16335,1.16184,1.16244,1.16051,1.16184,1.15947,15.1
2026-06-04,1.15974,1.16451,1.15945,1.16123,1.16129,1.15945,1.1645,1.15984,1.16451,1.16081,18.4
2026-06-05,1.16123,1.16442,1.15179,1.15193,1.16192,1.16097,1.16442,1.16129,1.16427,1.15179,9.5
2026-06-08,1.15102,1.15545,1.14999,1.15361,1.15397,1.15089,1.15438,1.14999,1.15545,1.15276,30.8
2026-06-09,1.15359,1.1578,1.15269,1.15381,1.15481,1.15269,1.15741,1.15364,1.1578,1.15285,21.2
2026-06-10,1.15386,1.15731,1.1533,1.15351,1.15555,1.1533,1.15596,1.15354,1.15731,1.15334,22.5
2026-06-11,1.15351,1.15896,1.15028,1.15759,1.1556,1.15255,1.15555,1.1523,1.15896,1.15028,30.5
2026-06-12,1.1576,1.15894,1.15569,1.15641,1.15864,1.15572,1.15894,1.15569,1.15835,1.15599,29.2
2026-06-15,1.16048,1.16221,1.15835,1.15893,1.16221,1.15941,1.16178,1.1597,1.16204,1.15835,28.0
2026-06-16,1.15901,1.16196,1.15748,1.16061,1.1595,1.15751,1.16129,1.15748,1.16196,1.15878,19.9
2026-06-17,1.16075,1.16166,1.14778,1.15022,1.16166,1.16075,1.16147,1.15853,1.16027,1.14778,9.1
2026-06-18,1.15023,1.15282,1.14512,1.14602,1.15262,1.15,1.15282,1.14541,1.14875,1.14512,26.2
2026-06-19,1.14628,1.14806,1.14178,1.14683,1.14655,1.14178,1.14678,1.14289,1.14806,1.14566,47.7
