lado,t,ent,stop,obj,rgoP,largo,gana,Rb,Rn,anio
venta,2024-08-26 03:30:00,1.11827,1.11947,1.1158700000000004,11.999999999998678,False,1,2,1.8808333333333203,2024
compra,2024-08-26 22:15:00,1.11631,1.11575,1.1174299999999997,5.599999999998939,True,1,2,1.7446428571428088,2024
venta,2024-08-27 06:30:00,1.11641,1.11722,1.1147899999999995,8.100000000001994,False,0,-1,-1.1765432098764999,2024
venta,2024-08-27 11:45:00,1.11605,1.11786,1.1124299999999998,18.100000000000893,False,0,-1,-1.0790055248618746,2024
venta,2024-08-30 08:45:00,1.10749,1.10773,1.10701,2.4000000000001798,False,0,-1,-1.5958333333332888,2024
compra,2024-09-02 00:15:00,1.1051,1.1044,1.1064999999999998,6.999999999999229,True,0,-1,-1.2042857142857368,2024
compra,2024-09-03 06:45:00,1.10614,1.10538,1.1076599999999996,7.599999999998719,True,0,-1,-1.1881578947368738,2024
venta,2024-09-10 06:00:00,1.10351,1.10391,1.10271,3.9999999999995595,False,0,-1,-1.3575000000000395,2024
compra,2024-09-10 23:00:00,1.10221,1.10182,1.1029899999999997,3.8999999999989043,True,0,-1,-1.3666666666667697,2024
compra,2024-09-12 08:15:00,1.10169,1.10059,1.1038900000000003,11.000000000001009,True,1,2,1.8700000000000119,2024
venta,2024-09-12 22:15:00,1.1071,1.1075,1.1063,3.9999999999995595,False,0,-1,-1.3575000000000395,2024
compra,2024-09-13 07:30:00,1.10869,1.1084,1.1092699999999998,2.8999999999990145,True,0,-1,-1.4931034482760297,2024
venta,2024-09-13 15:30:00,1.10832,1.11017,1.1046199999999997,18.500000000001293,False,0,-1,-1.0772972972972918,2024
venta,2024-09-16 01:45:00,1.10877,1.10923,1.1078500000000002,4.599999999999049,False,0,-1,-1.3108695652174556,2024
compra,2024-09-16 19:30:00,1.11258,1.1116,1.1145399999999999,9.799999999999809,True,0,-1,-1.1459183673469415,2024
venta,2024-09-17 06:45:00,1.11208,1.11296,1.11032,8.799999999999919,False,0,-1,-1.1625000000000014,2024
compra,2024-09-19 15:45:00,1.11468,1.11164,1.1207599999999998,30.399999999999316,True,0,-1,-1.0470394736842117,2024
compra,2024-09-20 15:30:00,1.11546,1.11379,1.1187999999999996,16.699999999998383,True,0,-1,-1.0856287425149784,2024
venta,2024-09-23 06:00:00,1.11608,1.1165,1.1152399999999998,4.20000000000087,False,1,2,1.65952380952388,2024
compra,2024-09-23 10:30:00,1.11148,1.10831,1.1178200000000003,31.70000000000117,True,1,2,1.9548895899053644,2024
venta,2024-09-24 10:45:00,1.1128,1.11459,1.10922,17.899999999999583,False,0,-1,-1.0798882681564264,2024
compra,2024-09-25 11:45:00,1.11959,1.11809,1.1225900000000002,15.000000000000568,True,0,-1,-1.0953333333333297,2024
compra,2024-09-27 18:45:00,1.11677,1.11463,1.12105,21.400000000000308,True,0,-1,-1.0668224299065412,2024
compra,2024-09-30 07:45:00,1.11722,1.1156,1.1204600000000005,16.20000000000177,True,1,2,1.911728395061738,2024
venta,2024-10-01 07:00:00,1.11133,1.11439,1.1052099999999998,30.600000000000627,False,1,2,1.9532679738562102,2024
compra,2024-10-04 18:45:00,1.09726,1.09512,1.1015399999999995,21.399999999998087,True,0,-1,-1.066822429906548,2024
venta,2024-10-08 10:30:00,1.0983,1.09948,1.0959400000000001,11.799999999999589,False,1,2,1.8788135593220296,2024
compra,2024-10-10 19:30:00,1.09305,1.09,1.09915,30.49999999999997,True,0,-1,-1.0468852459016393,2024
compra,2024-10-11 15:15:00,1.09498,1.0926,1.0997400000000002,23.800000000000487,True,0,-1,-1.060084033613444,2024
compra,2024-10-16 01:15:00,1.08873,1.08821,1.0897700000000001,5.20000000000076,True,0,-1,-1.27499999999996,2024
venta,2024-10-16 15:30:00,1.0871,1.08974,1.08182,26.399999999999757,False,1,2,1.9458333333333329,2024
compra,2024-10-23 15:00:00,1.07853,1.07612,1.08335,24.100000000000232,True,1,2,1.9406639004149384,2024
venta,2024-10-24 05:45:00,1.07888,1.07935,1.0779400000000001,4.699999999999704,False,1,2,1.6957446808510448,2024
venta,2024-10-25 15:15:00,1.08202,1.08375,1.07856,17.300000000000093,False,1,2,1.9173410404624283,2024
venta,2024-10-29 11:15:00,1.07881,1.08263,1.0711700000000002,38.19999999999934,False,0,-1,-1.0374345549738226,2024
venta,2024-10-30 19:45:00,1.08555,1.08713,1.0823900000000002,15.799999999999148,False,0,-1,-1.090506329113929,2024
venta,2024-11-01 02:00:00,1.08757,1.08885,1.0850099999999996,12.800000000001699,False,0,-1,-1.1117187499999852,2024
compra,2024-11-01 06:00:00,1.08753,1.08708,1.0884300000000002,4.500000000000615,True,0,-1,-1.3177777777777344,2024
compra,2024-11-04 02:30:00,1.08913,1.08699,1.09341,21.400000000000308,True,1,2,1.9331775700934588,2024
compra,2024-11-05 01:30:00,1.08769,1.08724,1.0885900000000002,4.500000000000615,True,1,2,1.6822222222222656,2024
compra,2024-11-06 15:00:00,1.07226,1.06824,1.0802999999999998,40.19999999999912,True,1,2,1.9644278606965166,2024
