dia,ts,i,fin,lado,rama,entrada,stop,obj,riesgo,R,motivo,rr,coste_R,neto
2023-12-07,2023-12-07 08:09:00,283887,283945,-1,máximo,1.0776,1.07837,1.0760599999999996,7.7000000000015945,-1.0,SL,2.0,0.15584415584412356,-1.1558441558441235
2023-12-08,2023-12-08 07:54:00,284172,284233,1,mínimo,1.07779,1.07737,1.08005,4.20000000000087,-1.0,SL,5.380952380951097,0.2857142857142265,-1.2857142857142265
2023-12-11,2023-12-11 08:14:00,284464,284521,1,mínimo,1.07573,1.07525,1.07739,4.8000000000003595,3.4583333333330635,TP,3.4583333333330635,0.24999999999998126,3.208333333333082
2023-12-12,2023-12-12 07:14:00,284740,284809,-1,máximo,1.07801,1.07839,1.0772499999999998,3.8000000000004697,-1.0,SL,2.0,0.3157894736841715,-1.3157894736841715
2023-12-13,2023-12-13 11:14:00,285075,285096,1,mínimo,1.07746,1.07727,1.07998,1.900000000001345,3.7368421052604517,cierre Londres,13.263157894726692,0.6315789473679739,3.1052631578924776
2023-12-14,2023-12-14 12:14:00,285375,285384,-1,máximo,1.0933,1.09407,1.0917599999999996,7.7000000000015945,1.2077922077917957,cierre Londres,2.0,0.15584415584412356,1.0519480519476723
2023-12-15,2023-12-15 08:59:00,285624,285672,1,mínimo,1.0956,1.09483,1.10036,7.699999999999374,-1.0,SL,6.181818181818811,0.1558441558441685,-1.1558441558441686
2023-12-18,2023-12-18 07:59:00,285900,285960,-1,máximo,1.09216,1.0927499999999999,1.0909800000000003,5.899999999998684,-1.0,SL,2.0,0.20338983050851994,-1.20338983050852
2023-12-19,2023-12-19 07:54:00,286187,286248,-1,máximo,1.09319,1.09353,1.0925100000000005,3.399999999997849,-1.0,SL,2.0,0.35294117647081147,-1.3529411764708115
2023-12-20,2023-12-20 11:39:00,286519,286535,1,mínimo,1.09422,1.09379,1.09828,4.299999999999304,-1.0,SL,9.441860465117696,0.2790697674419056,-1.2790697674419056
2023-12-21,2023-12-21 09:14:00,286778,286823,1,mínimo,1.09388,1.09342,1.09558,4.599999999999049,3.695652173913883,TP,3.695652173913883,0.2608695652174452,3.4347826086964375
2023-12-22,2023-12-22 10:49:00,287085,287111,-1,máximo,1.10175,1.10201,1.1012300000000002,2.5999999999992696,-1.0,SL,2.0,0.4615384615385912,-1.4615384615385911
2023-12-26,2023-12-26 09:24:00,287424,287467,1,mínimo,1.10116,1.10086,1.10286,2.9999999999996696,-1.0,SL,5.666666666667407,0.40000000000004404,-1.400000000000044
2023-12-27,2023-12-27 07:24:00,287688,287755,-1,máximo,1.10477,1.10499,1.1043300000000003,2.1999999999988695,2.0,TP,2.0,0.5454545454548257,1.4545454545451744
2023-12-28,2023-12-28 07:39:00,287978,288042,-1,máximo,1.11181,1.11265,1.11013,8.399999999999519,-1.0,SL,2.0,0.14285714285715104,-1.142857142857151
2023-12-29,2023-12-29 10:14:00,288297,288330,1,mínimo,1.10531,1.10464,1.10842,6.699999999999484,-0.22388059701508367,cierre Londres,4.641791044776396,0.17910447761195408,-0.40298507462703775
2024-01-03,2024-01-03 08:19:00,288850,288906,-1,máximo,1.09633,1.09664,1.09571,3.1000000000003247,2.0,TP,2.0,0.3870967741935078,1.6129032258064921
2024-01-04,2024-01-04 09:54:00,289157,289194,-1,máximo,1.09645,1.097,1.0953499999999998,5.5000000000005045,-1.0,SL,2.0,0.21818181818179816,-1.2181818181817983
