tf,ema,fib,rr,lado,n,R,z,fuente
60,20,0.618,2.0,todo,13957,-0.20404580436494585,-17.32164892762985,real
60,20,0.618,2.0,compras,6863,-0.23213974816178756,-13.963213675701425,real
60,20,0.618,2.0,ventas,7094,-0.17686667604837908,-10.602626510533584,real
60,20,0.618,3.0,todo,13647,-0.20870763400963005,-14.463044616009146,real
60,20,0.618,3.0,compras,6703,-0.2522900796824876,-12.495966348786874,real
60,20,0.618,3.0,ventas,6944,-0.1666377703366513,-8.092575384537918,real
60,20,0.705,1.0,todo,13377,-0.3211882280373013,-37.01607366622975,real
60,20,0.705,1.0,compras,6597,-0.34541208906446763,-28.17649115903407,real
60,20,0.705,1.0,ventas,6780,-0.2976181968874169,-24.246678725043683,real
60,20,0.705,2.0,todo,13258,-0.2522943745612136,-20.97048419276235,real
60,20,0.705,2.0,compras,6536,-0.2762894705863979,-16.28704888795506,real
60,20,0.705,2.0,ventas,6722,-0.2289632309104245,-13.424886772224387,real
60,20,0.705,3.0,todo,13111,-0.2178195220490752,-14.663883742862568,real
60,20,0.705,3.0,compras,6465,-0.27052767594461946,-13.080288037048177,real
60,20,0.705,3.0,ventas,6646,-0.16654684450849536,-7.823273972243459,real
60,20,0.786,1.0,todo,12011,-0.4507992052208173,-50.126689121119966,real
60,20,0.786,1.0,compras,5980,-0.46497939911173153,-36.68231962100906,real
60,20,0.786,1.0,ventas,6031,-0.43673892343211457,-34.2321650057057,real
60,20,0.786,2.0,todo,11948,-0.3559735476245763,-28.71671880045774,real
60,20,0.786,2.0,compras,5960,-0.3861233282265585,-22.281376603707184,real
60,20,0.786,2.0,ventas,5988,-0.3259647479606127,-18.394694301161415,real
60,20,0.786,3.0,todo,11897,-0.3169598977053105,-20.82624425100542,real
60,20,0.786,3.0,compras,5942,-0.32911366208952286,-15.369526481882367,real
60,20,0.786,3.0,ventas,5955,-0.3048326654683684,-14.0912552655353,real
60,50,0.382,1.0,todo,16573,-0.3242222518389091,-42.537420353897424,real
60,50,0.382,1.0,compras,8113,-0.333650430507353,-30.80251962784765,real
60,50,0.382,1.0,ventas,8460,-0.3151807845177407,-29.385717425120493,real
60,50,0.382,2.0,todo,15876,-0.3251890499696668,-31.252376987290138,real
60,50,0.382,2.0,compras,7764,-0.3448331748911917,-23.45215797217833,real
60,50,0.382,2.0,ventas,8112,-0.30638764638353294,-20.818705030722445,real
60,50,0.382,3.0,todo,15198,-0.3976278953107552,-32.39450520501214,real
60,50,0.382,3.0,compras,7466,-0.39364502302881066,-22.49687504040904,real
60,50,0.382,3.0,ventas,7732,-0.40147374689598514,-23.308827512605244,real
60,50,0.5,1.0,todo,16176,-0.30063088575012054,-38.44899339265135,real
60,50,0.5,1.0,compras,7945,-0.3107680888887846,-28.00946054615174,real
60,50,0.5,1.0,ventas,8231,-0.2908459168597444,-26.395164082561124,real
60,50,0.5,2.0,todo,15682,-0.2958856310852561,-27.676148886591037,real
60,50,0.5,2.0,compras,7700,-0.32607305846729806,-21.705716798727806,real
60,50,0.5,2.0,ventas,7982,-0.26676471015795433,-17.552514403472763,real
60,50,0.5,3.0,todo,15222,-0.32711737657145656,-25.41201920712134,real
60,50,0.5,3.0,compras,7459,-0.34014012181799863,-18.67395249557447,real
60,50,0.5,3.0,ventas,7763,-0.3146046035721062,-17.29719791518747,real
60,50,0.618,1.0,todo,15410,-0.33706521042077087,-41.96852746450563,real
60,50,0.618,1.0,compras,7604,-0.33432284225648135,-29.320320603029568,real
60,50,0.618,1.0,ventas,7806,-0.3397366128703298,-30.026441905552645,real
60,50,0.618,2.0,todo,15167,-0.301061270139692,-27.39097739770134,real
60,50,0.618,2.0,compras,7477,-0.314372153440565,-20.247422877347844,real
60,50,0.618,2.0,ventas,7690,-0.2881190758041098,-18.52014041613156,real
60,50,0.618,3.0,todo,14853,-0.3197551951007362,-24.107310412861793,real
60,50,0.618,3.0,compras,7309,-0.350675447531067,-18.890508076738467,real
60,50,0.618,3.0,ventas,7544,-0.28979812656769166,-15.309924015402416,real
60,50,0.705,1.0,todo,14523,-0.3983166376330976,-48.37517038429337,real
60,50,0.705,1.0,compras,7182,-0.41684125579946474,-35.95045082561395,real
60,50,0.705,1.0,ventas,7341,-0.38019324740413024,-32.53032284335036,real
60,50,0.705,2.0,todo,14405,-0.34107300589242473,-30.333147753878045,real
60,50,0.705,2.0,compras,7119,-0.35423662186891397,-22.33048108239804,real
60,50,0.705,2.0,ventas,7286,-0.32821110881081245,-20.59576549905012,real
60,50,0.705,3.0,todo,14263,-0.3065744070664012,-22.205429137388027,real
60,50,0.705,3.0,compras,7048,-0.3422167928935963,-17.755623601437627,real
60,50,0.705,3.0,ventas,7215,-0.27175700785502604,-13.758455828845923,real
60,50,0.786,1.0,todo,12994,-0.5072241950999425,-59.39697079979792,real
60,50,0.786,1.0,compras,6497,-0.5222057591094352,-43.60801296739973,real
