slf,rr,phi,ctr,sl,tp,riesgo,premio,din_ajuste,din_fuera,est_ajuste,est_fuera,usd_ajuste,usd_fuera,dias
0.75,1.0,0.5,3,161.76000000000022,161.76000000000022,970.5600000000013,970.5600000000013,0.316,0.3527,0.41435,0.44185,-0.9123512195121382,12.886792792792702,9.0
1.0,1.5,1.0,5,215.6800000000003,143.78666666666686,2156.800000000003,1437.8666666666686,0.31565,0.2934,0.40375,0.37415,18.20316097560987,5.394034034033996,5.0
1.0,2.0,0.25,1,215.6800000000003,107.84000000000015,431.3600000000006,215.6800000000003,0.31405,0.24535,0.3825,0.3194,3.44330731707323,-1.844969969969972,68.0
0.75,1.0,0.65,4,161.76000000000022,161.76000000000022,1294.0800000000017,1294.0800000000017,0.3132,0.34505,0.4016,0.421,-1.2164682926828605,17.18239039039024,6.0
0.5,2.0,0.5,5,107.84000000000015,53.92000000000007,1078.4000000000015,539.2000000000007,0.31315,0.24015,0.4183,0.3205,-2.9220487804877715,-47.095480480480624,9.0
0.75,2.0,0.65,4,161.76000000000022,80.88000000000011,1294.0800000000017,647.0400000000009,0.3119,0.32745,0.4012,0.40965,-11.651246829268105,-13.139915915915937,8.0
0.35,1.0,0.35,5,75.4880000000001,75.4880000000001,754.880000000001,754.880000000001,0.30975,0.2455,0.4138,0.33325,2.3112000000000563,-28.18905405405401,10.0
0.5,1.5,0.25,2,107.84000000000015,71.89333333333343,431.3600000000006,287.5733333333337,0.3068,0.2087,0.43705,0.29455,3.37470178861793,-9.751083083083127,40.0
0.75,1.5,0.35,2,161.76000000000022,107.84000000000015,647.0400000000009,431.3600000000006,0.30555,0.2952,0.423,0.40505,1.3349736585366438,-0.44640840840845414,22.0
0.75,1.5,0.25,2,161.76000000000022,107.84000000000015,647.0400000000009,431.3600000000006,0.30505,0.297,0.4233,0.40935,1.3349736585366438,-0.44640840840845414,23.0
1.0,1.0,0.8,4,215.6800000000003,215.6800000000003,1725.4400000000023,1725.4400000000023,0.30075,0.3025,0.3812,0.37255,19.732167804878078,12.82099699699686,7.0
0.75,1.0,0.35,2,161.76000000000022,161.76000000000022,647.0400000000009,647.0400000000009,0.29785,0.33775,0.4039,0.45265,-0.6082341463414302,8.59119519519512,17.0
1.0,5.0,0.8,4,215.6800000000003,43.13600000000006,1725.4400000000023,345.0880000000005,0.29725,0.3088,0.39245,0.392,-16.799344390243675,-22.68301501501475,13.0
0.35,1.5,0.35,5,75.4880000000001,50.3253333333334,754.880000000001,503.25333333333396,0.29625,0.19565,0.40295,0.25655,-2.2755837398374417,-47.975120120120145,13.0
0.75,1.0,0.8,5,161.76000000000022,161.76000000000022,1617.6000000000022,1617.6000000000022,0.2959,0.3238,0.3634,0.3941,-1.5205853658536252,21.477987987987742,6.0
0.75,3.0,0.65,4,161.76000000000022,53.92000000000007,1294.0800000000017,431.3600000000006,0.293,0.24375,0.3847,0.31555,-13.600249756097433,-42.871063063063055,12.0
0.75,1.0,0.25,2,161.76000000000022,161.76000000000022,647.0400000000009,647.0400000000009,0.2927,0.33105,0.40475,0.45555,-0.6082341463414302,8.59119519519512,17.0
1.0,5.0,1.0,5,215.6800000000003,43.13600000000006,2156.800000000003,431.3600000000006,0.29175,0.2815,0.39825,0.39005,-20.999180487804598,-28.353768768768443,8.0
0.35,1.0,0.25,3,75.4880000000001,75.4880000000001,452.92800000000057,452.92800000000057,0.2915,0.22505,0.41665,0.30005,1.3867200000000104,-16.91343243243243,23.0
0.75,2.0,0.5,3,161.76000000000022,80.88000000000011,970.5600000000013,485.28000000000065,0.2907,0.2991,0.38515,0.3921,-8.738435121951095,-9.854936936936964,14.0
1.0,3.0,0.35,2,215.6800000000003,71.89333333333343,862.7200000000012,287.5733333333337,0.2902,0.24555,0.4222,0.3375,-0.0009118699185522174,-12.4383723723723,27.0
1.0,3.0,0.5,2,215.6800000000003,71.89333333333343,862.7200000000012,287.5733333333337,0.2891,0.24575,0.419,0.34105,-0.0009118699185522174,-12.4383723723723,27.0
0.5,2.0,0.35,3,107.84000000000015,53.92000000000007,647.0400000000009,323.52000000000044,0.2848,0.17485,0.39975,0.24635,-1.7532292682926958,-28.257288288288418,25.0
0.75,3.0,0.5,3,161.76000000000022,53.92000000000007,970.5600000000013,323.52000000000044,0.2781,0.212,0.38145,0.2845,-10.200187317073107,-32.15329729729731,20.0
0.75,5.0,0.8,5,161.76000000000022,32.35200000000005,1617.6000000000022,323.52000000000044,0.274,0.2981,0.35415,0.37295,-30.584165853658337,-26.20710210210195,15.0
