id,opera,lado,exceso,mecha,cuerpo,hora,rgo
S49,1,-1,0.20000000000131024,2.100000000000435,2.1999999999988695,8,4.299999999999304
S50,0,-1,32.90000000000015,34.30000000000044,1.4999999999987246,11,2.8999999999990145
S51,1,-1,6.6000000000010495,9.40000000000163,1.9999999999997797,11,4.500000000000615
S52,0,-1,20.299999999999763,25.300000000001432,4.999999999999449,10,7.099999999999884
S53,1,1,1.4999999999987246,1.7000000000000348,7.099999999999884,13,8.300000000001084
S54,0,1,2.80000000000058,4.699999999999704,0.20000000000131024,8,2.4000000000001798
S55,1,1,12.600000000000389,15.600000000000058,7.600000000000939,11,10.000000000001119
S56,1,1,0.20000000000131024,2.9999999999996696,2.4000000000001798,9,4.899999999998794
S57,0,1,1.2999999999996348,2.4000000000001798,3.20000000000098,9,5.20000000000076
S58,1,1,0.8000000000008001,1.100000000000545,5.20000000000076,11,6.500000000000394
S59,0,1,1.1999999999989797,3.2999999999994145,1.5999999999993797,11,2.5999999999992696
S60,1,-1,25.299999999999212,29.999999999998916,9.299999999998754,13,14.099999999999113
S61,0,1,0.10000000000065512,0.6000000000017103,0.8000000000008001,12,2.100000000000435
S62,0,1,6.399999999999739,8.500000000000174,0.700000000000145,11,3.5000000000007248
S63,1,1,5.800000000000249,8.500000000000174,2.5999999999992696,12,3.6999999999998145
S64,0,-1,2.4999999999986144,2.8999999999990145,3.1000000000003247,8,4.299999999999304
S65,0,-1,16.00000000000046,18.399999999998418,0.3999999999981796,11,2.8999999999990145
S66,0,-1,1.9999999999997797,3.1000000000003247,1.40000000000029,8,2.6999999999999247
S67,0,1,13.399999999998968,14.599999999997948,1.3000000000018552,9,2.6999999999999247
S68,1,1,0.2999999999997449,3.6999999999998145,2.6999999999999247,8,6.900000000000794
S69,1,1,6.6000000000010495,12.700000000001044,8.399999999999519,10,10.399999999999299
S70,0,-1,1.5999999999993797,3.4999999999985043,0.10000000000065512,8,1.7000000000000348
S71,1,-1,0.2999999999997449,0.8000000000008001,4.199999999998649,10,5.599999999998939
S72,1,1,0.30000000000196536,1.2000000000012,1.500000000000945,8,2.6999999999999247
S73,0,1,6.699999999999484,8.399999999999519,1.900000000001345,9,4.20000000000087
S74,0,-1,1.1999999999989797,4.599999999999049,1.900000000001345,9,4.999999999999449
S75,1,1,3.5000000000007248,4.8000000000003595,3.900000000001125,11,6.200000000000649
S76,0,1,1.500000000000945,2.2999999999995246,1.3000000000018552,9,2.700000000002145
S77,0,-1,1.7000000000000348,3.60000000000138,2.2999999999995246,9,3.5000000000007248
S78,0,-1,0.7999999999985796,3.2999999999994145,1.900000000001345,8,3.5000000000007248
S79,0,1,1.4999999999987246,3.8000000000004697,1.0999999999983245,8,3.1999999999987594
S80,0,-1,5.9000000000009045,8.20000000000043,1.4999999999987246,9,4.699999999999704
S81,1,1,7.899999999998464,8.999999999999009,4.300000000001525,11,5.800000000000249
S82,0,-1,2.6999999999999247,4.199999999998649,1.2999999999996348,9,3.5999999999991594
S83,0,1,4.100000000000215,5.299999999999194,2.5999999999992696,8,3.8000000000004697
S84,1,-1,3.4999999999985043,5.299999999999194,6.099999999999994,9,7.099999999999884
S85,0,-1,6.700000000001705,8.20000000000043,1.500000000000945,9,3.1000000000003247
S86,1,-1,5.300000000001415,7.7000000000015945,5.5000000000005045,8,6.900000000000794
S87,1,-1,18.299999999999983,21.299999999999653,5.1000000000001044,10,8.399999999999519
S88,0,1,1.2999999999996348,3.4000000000000696,0.9999999999998899,13,4.299999999999304
S89,1,-1,5.700000000001815,13.199999999999878,14.199999999999768,13,15.899999999999803
S90,1,-1,30.000000000001137,31.90000000000026,5.999999999999339,10,6.999999999999229
