par,t,d,rr,R,neta,tp,p_D5,p_D10,p_D20,p_W3,p_W6,p_W12,bd,fuera
EURUSD,2020-05-15 00:00:00,1,2.346153846153835,0.5512820512820312,0.5054487179486981,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-05-15 12:00:00,-1,3.2087628865979267,-1.0,-1.0737113402061835,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-05-16 00:00:00,-1,1.2101226993864467,-1.0,-1.043865030674846,0,-1,-1,-1,1,1,1,1,False
EURUSD,2020-05-21 12:00:00,-1,7.685567010308407,-1.0,-1.1474226804123502,0,-1,-1,-1,1,1,1,1,False
EURUSD,2020-05-22 00:00:00,-1,1.2900505902192527,1.2900505902192527,1.2659359190556776,1,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-05-23 00:00:00,1,7.781249999998943,-1.0,-1.1117187499999852,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-05-25 12:00:00,1,0.8220140515222781,0.8220140515222781,0.7885245901639643,1,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-05-26 00:00:00,-1,5.062500000000412,-1.0,-1.1117187500000045,0,1,1,1,1,1,1,1,False
EURUSD,2020-05-27 00:00:00,-1,7.20520231213866,-1.0,-1.0826589595375717,0,0,-1,-1,1,1,1,1,False
EURUSD,2020-05-27 12:00:00,1,0.6151079136690466,0.6151079136690466,0.5979616306954255,1,0,-1,-1,1,1,1,1,False
EURUSD,2020-05-28 12:00:00,-1,3.5088339222615423,-1.0,-1.050530035335691,0,0,-1,-1,1,1,1,1,False
EURUSD,2020-05-30 00:00:00,-1,2.59879518072298,-1.0,-1.0344578313253023,0,0,-1,-1,1,1,1,1,False
EURUSD,2020-06-01 12:00:00,-1,2.276595744680829,-1.0,-1.0338061465721045,0,0,-1,-1,0,0,0,1,False
EURUSD,2020-06-03 00:00:00,-1,10.083333333331604,-1.0,-1.132407407407384,0,-1,-1,-1,0,0,0,1,False
EURUSD,2020-06-03 12:00:00,-1,1.756756756756818,-1.0,-1.042942942942945,0,-1,-1,-1,0,0,0,1,False
EURUSD,2020-06-05 12:00:00,-1,4.534303534303528,0.45738045738045496,0.4276507276507251,0,-1,-1,-1,0,0,0,1,False
EURUSD,2020-06-09 00:00:00,-1,4.944827586207146,-1.0,-1.0986206896551758,0,1,1,1,0,0,0,1,False
