tf,ema,fib,rr,n,bruto,zb,neto,zn,coste
240,50,0.705,3.0,3761,-0.005583621377293273,-0.19804384142266845,-0.07939921855776427,-2.8129758797994833,0.07381559718047102
240,50,0.786,1.0,3666,0.10038188761593017,6.107894620538327,-0.0018230644338897899,-0.10935209912297023,0.10220495204981996
240,50,0.786,2.0,3661,0.19393608303742146,7.989913281427223,0.09164508674250452,3.754940245687291,0.10229099629491693
240,50,0.786,3.0,3660,0.04590163934426229,1.5796159248143768,-0.05641190048658285,-1.9376214509928096,0.10231353983084515
240,100,0.382,1.0,4249,-0.23417274652859496,-15.69911674180903,-0.2697038320614328,-18.03189558578014,0.03553108553283786
240,100,0.382,2.0,4124,-0.2565470417070805,-12.718173220445214,-0.29270007371604706,-14.491560641068638,0.03615303200896658
240,100,0.382,3.0,3954,-0.3434496712190187,-14.574548355667691,-0.3803971414290238,-16.135630133914052,0.036947470210005086
240,100,0.5,1.0,4136,-0.15570599613152805,-10.136139022193026,-0.1997733527496801,-12.95919862039661,0.04406735661815205
240,100,0.5,2.0,4094,-0.20200293111871032,-9.749199310627608,-0.24632973931275634,-11.870335666460678,0.044326808194046
240,100,0.5,3.0,3981,-0.22532027128862095,-8.992786493445058,-0.2702983082162541,-10.778164536795915,0.04497803692763313
240,100,0.618,1.0,4001,-0.06473381654586353,-4.102731242779546,-0.1229320295788931,-7.747761056942502,0.05819821303302958
240,100,0.618,2.0,3969,-0.11866969009826153,-5.470470243724899,-0.17714163635819488,-8.14811273828441,0.05847194625993332
240,100,0.618,3.0,3942,-0.15575849822425164,-5.990591964044517,-0.2144617196559355,-8.240878354156866,0.058703221431683834
240,100,0.705,1.0,3891,0.008995116936520175,0.5610469228643513,-0.06714883772722989,-4.151537770738838,0.07614395466375007
240,100,0.705,2.0,3884,-0.04376930998970134,-1.9509948350217008,-0.12001110705498727,-5.333469616809072,0.07624179706528593
240,100,0.705,3.0,3868,-0.07755946225439504,-2.862526123846969,-0.15399087888712937,-5.674158789835037,0.07643141663273434
240,100,0.786,1.0,3788,0.018479408658922915,1.1373912639327608,-0.08726364869605495,-5.288569886151913,0.10574305735497788
240,100,0.786,2.0,3783,0.09912767644726407,4.217500503491084,-0.006703326587815791,-0.28339082527558584,0.10583100303507985
240,100,0.786,3.0,3782,-0.040719196192490745,-1.466025417877076,-0.1465729515671363,-5.264435525920394,0.10585375537464554
240,200,0.382,1.0,4299,-0.29937194696441033,-20.569976855061153,-0.3364482743939383,-23.038340878897806,0.03707632742952799
240,200,0.382,2.0,4184,-0.32887189292543023,-17.013559208920682,-0.3665496093379862,-18.929669926529918,0.037677716412556
240,200,0.382,3.0,4024,-0.40059642147117297,-17.796920862279784,-0.43907173488181217,-19.494304026303716,0.03847531341063924
240,200,0.5,1.0,4191,-0.22357432593653065,-14.847858491259833,-0.26953996669178476,-17.827263487170026,0.045965640755254125
240,200,0.5,2.0,4153,-0.2754635203467373,-13.82380817594016,-0.32167315431831234,-16.112172737602336,0.04620963397157506
240,200,0.5,3.0,4047,-0.30417593278972077,-12.760170662602855,-0.351027357842767,-14.70830687786643,0.04685142505304623
240,200,0.618,1.0,4079,-0.13115959794067172,-8.448736024101514,-0.1917623219058339,-12.2705307767339,0.06060272396516214
240,200,0.618,2.0,4048,-0.1825592885375494,-8.694795663311831,-0.24343924519469104,-11.564228707617954,0.060879956657141625
240,200,0.618,3.0,4026,-0.21410829607550919,-8.546825411657982,-0.2751833120085486,-10.972086768537286,0.06107501593303941
240,200,0.705,1.0,3983,-0.0464474014561888,-2.9341412762842696,-0.12559966709313078,-7.853572293443831,0.07915226563694198
240,200,0.705,2.0,3976,-0.10890342052313884,-5.0086346448927666,-0.18815656092476332,-8.61997143938085,0.07925314040162448
240,200,0.705,3.0,3959,-0.13816620358676435,-5.285547604369336,-0.2176265303024864,-8.307873973496022,0.07946032671572208
240,200,0.786,1.0,3881,-0.03220819376449369,-2.007278401285692,-0.14209968849875143,-8.704967797750543,0.10989149473425773
240,200,0.786,2.0,3876,0.03715170278637771,1.620877027170738,-0.07283097891762258,-3.153751203967948,0.1099826817040003
240,200,0.786,3.0,3875,-0.12051612903225807,-4.527910422679666,-0.2305220884206213,-8.632939302781471,0.11000595938836323
