par,dia,asia,ses_alto,ses_bajo
EURUSD,2021-01-28,27.500000000000302,NY,ASIA
EURUSD,2021-01-31,16.199999999999548,ASIA,NY
EURUSD,2021-02-01,25.499999999998302,ASIA,NY
EURUSD,2021-02-02,22.400000000000198,ASIA,NY
EURUSD,2021-02-03,43.10000000000036,ASIA,NY
EURUSD,2021-02-04,19.599999999999618,NY,ASIA
EURUSD,2021-02-07,22.899999999999032,NY,LONDRES
EURUSD,2021-02-08,37.70000000000051,LONDRES,ASIA
EURUSD,2021-02-09,24.900000000001032,LONDRES,ASIA
EURUSD,2021-02-10,19.299999999999873,NY,ASIA
EURUSD,2021-02-11,20.899999999999253,ASIA,NY
EURUSD,2021-02-14,23.699999999999832,LONDRES,ASIA
EURUSD,2021-02-15,21.799999999998487,LONDRES,NY
EURUSD,2021-02-16,27.599999999998737,ASIA,NY
EURUSD,2021-02-17,16.900000000001913,NY,ASIA
EURUSD,2021-02-18,31.30000000000077,LONDRES,ASIA
EURUSD,2021-02-21,30.29999999999866,NY,LONDRES
EURUSD,2021-02-22,18.000000000000238,ASIA,LONDRES
EURUSD,2021-02-23,22.200000000001108,LONDRES,NY
EURUSD,2021-02-24,32.70000000000106,NY,ASIA
EURUSD,2021-02-25,53.7999999999994,ASIA,NY
EURUSD,2021-02-28,26.500000000000412,ASIA,NY
EURUSD,2021-03-01,46.00000000000159,NY,LONDRES
EURUSD,2021-03-02,28.69999999999928,LONDRES,NY
EURUSD,2021-03-03,19.499999999998963,ASIA,NY
EURUSD,2021-03-04,20.100000000000673,ASIA,NY
EURUSD,2021-03-07,53.500000000001876,ASIA,NY
EURUSD,2021-03-08,52.69999999999886,LONDRES,ASIA
EURUSD,2021-03-09,28.799999999999937,NY,ASIA
EURUSD,2021-03-10,30.600000000000627,NY,ASIA
EURUSD,2021-03-11,50.99999999999882,ASIA,LONDRES
EURUSD,2021-03-14,49.59999999999853,ASIA,NY
EURUSD,2021-03-15,23.299999999999432,LONDRES,NY
EURUSD,2021-03-16,17.000000000000348,LONDRES,LONDRES
EURUSD,2021-03-17,46.10000000000003,ASIA,NY
EURUSD,2021-03-18,35.10000000000124,ASIA,NY
EURUSD,2021-03-21,25.199999999998557,NY,ASIA
EURUSD,2021-03-22,38.09999999999869,ASIA,NY
EURUSD,2021-03-23,33.199999999999896,ASIA,LONDRES
EURUSD,2021-03-24,23.600000000001398,ASIA,NY
EURUSD,2021-03-25,17.400000000000748,NY,ASIA
EURUSD,2021-03-28,18.299999999999983,LONDRES,NY
EURUSD,2021-03-29,32.79999999999949,ASIA,NY
EURUSD,2021-03-30,23.399999999997867,NY,ASIA
EURUSD,2021-03-31,20.999999999999908,NY,ASIA
EURUSD,2021-04-01,14.899999999999913,LONDRES,NY
EURUSD,2021-04-04,25.199999999998557,NY,LONDRES
EURUSD,2021-04-05,21.900000000001363,NY,LONDRES
EURUSD,2021-04-06,17.899999999999583,NY,ASIA
EURUSD,2021-04-07,20.799999999998597,NY,ASIA
EURUSD,2021-04-08,35.70000000000073,ASIA,NY
EURUSD,2021-04-11,19.199999999999218,NY,LONDRES
EURUSD,2021-04-12,32.90000000000015,NY,NY
EURUSD,2021-04-13,21.200000000001218,NY,ASIA
EURUSD,2021-04-14,20.100000000000673,LONDRES,NY
EURUSD,2021-04-15,24.299999999999322,LONDRES,ASIA
EURUSD,2021-04-18,38.40000000000065,LONDRES,ASIA
EURUSD,2021-04-19,37.10000000000102,LONDRES,NY
EURUSD,2021-04-20,19.000000000000128,ASIA,LONDRES
EURUSD,2021-04-21,17.599999999999838,NY,NY
EURUSD,2021-04-22,24.100000000000232,NY,ASIA
EURUSD,2021-04-25,28.200000000000447,ASIA,NY
EURUSD,2021-04-26,18.899999999999473,LONDRES,LONDRES
EURUSD,2021-04-27,31.399999999999206,NY,LONDRES
EURUSD,2021-04-28,33.49999999999964,ASIA,NY
EURUSD,2021-04-29,16.300000000000203,ASIA,NY
EURUSD,2021-05-02,26.699999999999502,NY,ASIA
EURUSD,2021-05-03,27.800000000000047,ASIA,LONDRES
EURUSD,2021-05-04,33.70000000000095,ASIA,LONDRES
EURUSD,2021-05-05,27.300000000001212,NY,ASIA
EURUSD,2021-05-06,17.000000000000348,NY,ASIA
EURUSD,2021-05-09,26.299999999999102,NY,LONDRES
EURUSD,2021-05-10,23.400000000000087,NY,LONDRES
EURUSD,2021-05-11,33.799999999999386,NY,NY
EURUSD,2021-05-12,28.600000000000847,LONDRES,LONDRES
EURUSD,2021-05-13,40.10000000000069,NY,ASIA
EURUSD,2021-05-16,25.199999999998557,LONDRES,ASIA
EURUSD,2021-05-17,38.09999999999869,NY,ASIA
EURUSD,2021-05-18,27.800000000000047,LONDRES,LONDRES
EURUSD,2021-05-19,28.900000000000592,NY,ASIA
EURUSD,2021-05-20,17.300000000000093,ASIA,NY
EURUSD,2021-05-23,20.299999999999763,NY,LONDRES
EURUSD,2021-05-24,41.799999999998505,NY,ASIA
EURUSD,2021-05-25,21.100000000000563,ASIA,NY
EURUSD,2021-05-26,27.199999999998337,LONDRES,ASIA
EURUSD,2021-05-27,21.699999999997832,NY,NY
EURUSD,2021-05-31,19.399999999998307,NY,LONDRES
EURUSD,2021-06-01,20.800000000000818,ASIA,LONDRES
EURUSD,2021-06-02,28.800000000002157,ASIA,NY
EURUSD,2021-06-03,28.099999999999792,NY,LONDRES
EURUSD,2021-06-06,21.199999999998997,NY,LONDRES
EURUSD,2021-06-07,18.000000000000238,ASIA,LONDRES
EURUSD,2021-06-08,15.700000000000713,NY,ASIA
EURUSD,2021-06-09,19.000000000000128,NY,NY
EURUSD,2021-06-10,21.199999999998997,ASIA,NY
EURUSD,2021-06-13,16.700000000000603,NY,LONDRES
EURUSD,2021-06-14,22.999999999999687,LONDRES,NY
EURUSD,2021-06-15,18.20000000000155,ASIA,NY
EURUSD,2021-06-16,32.90000000000015,ASIA,NY
EURUSD,2021-06-17,39.59999999999963,ASIA,NY
EURUSD,2021-06-20,37.0999999999988,NY,ASIA
EURUSD,2021-06-21,26.399999999999757,NY,LONDRES
EURUSD,2021-06-22,26.399999999999757,NY,LONDRES
EURUSD,2021-06-23,20.600000000001728,NY,ASIA
EURUSD,2021-06-24,22.899999999999032,NY,ASIA
EURUSD,2021-06-27,21.900000000001363,LONDRES,NY
EURUSD,2021-06-28,21.899999999999142,ASIA,NY
EURUSD,2021-06-29,15.000000000000568,ASIA,NY
EURUSD,2021-06-30,22.999999999999687,NY,ASIA
EURUSD,2021-07-01,12.500000000001954,NY,NY
EURUSD,2021-07-04,15.099999999999003,LONDRES,ASIA
EURUSD,2021-07-05,36.800000000001276,ASIA,NY
EURUSD,2021-07-06,18.899999999999473,NY,NY
EURUSD,2021-07-07,23.400000000000087,NY,ASIA
EURUSD,2021-07-08,24.800000000000377,NY,LONDRES
EURUSD,2021-07-11,24.300000000001543,ASIA,LONDRES
EURUSD,2021-07-12,22.300000000001763,ASIA,NY
EURUSD,2021-07-13,24.199999999998667,NY,ASIA
EURUSD,2021-07-14,25.299999999999212,LONDRES,NY
EURUSD,2021-07-15,15.000000000000568,LONDRES,LONDRES
EURUSD,2021-07-18,16.599999999999948,NY,NY
EURUSD,2021-07-19,26.500000000000412,LONDRES,NY
EURUSD,2021-07-20,22.600000000001508,NY,LONDRES
EURUSD,2021-07-21,14.600000000000168,NY,NY
EURUSD,2021-07-22,17.700000000000493,LONDRES,LONDRES
EURUSD,2021-07-25,21.599999999999397,NY,ASIA
EURUSD,2021-07-26,24.100000000000232,NY,LONDRES
EURUSD,2021-07-27,24.299999999999322,LONDRES,NY
EURUSD,2021-07-28,22.900000000001253,NY,ASIA
