dia,i,fin,lado,entrada,stop,obj,riesgo,hora,dist_niv,dist_niv_R,sitio,dist_obj,atrae_contra,atrae_favor,cuerpo,cuerpo_pct,mecha_arriba,mecha_abajo,mecha_niv,mecha_niv_R,dentro,exceso,rango_asia,atr,dsem,R,motivo,rr,neto,ts,mecha_rechazo,ac,limpio,R240,M240,R360,M360,min_tp,min_sl,prim_sl,prim_tp
2025-06-04,394668,394720,-1,1.13934,1.13957,1.13888,2.2999999999995246,9,0.2999999999997449,0.1304347826086117,1.0082644628099102,4.599999999999049,0.6956521739129176,3.1304347826095773,1.1999999999989797,0.3428571428567803,0.6571428571432196,0.0,3.8000000000004697,1.6521739130440238,0,0.8999999999992347,36.30000000000022,5.116666666666695,2,2.0,TP,2.0,1.4782608695651096,2025-06-04,0.6571428571432196,0.6956521739129176,0,2.000000000000965,TP,2.000000000000965,TP,8.0,53.0,,8.0
2025-06-06,395232,395296,1,1.14321,1.14275,1.14572,4.60000000000127,8,1.500000000000945,0.3260869565218545,0.0563909774436422,25.10000000000012,4.173913043477421,0.1086956521736297,1.900000000001345,0.4318181818184914,0.2045454545452825,0.363636363636226,2.100000000000435,0.4565217391304033,1,0.2999999999997449,26.600000000001067,3.112500000000036,4,-1.0,SL,5.456521739128955,-1.2608695652173192,2025-06-06,0.363636363636226,4.173913043477421,0,-1.0,SL,-1.0,SL,,24.0,24.0,
2025-06-09,395524,395584,-1,1.14271,1.14305,1.14203,3.4000000000000696,8,1.7999999999984695,0.5294117647054214,1.054878048780442,6.800000000000139,inf,9.35294117647028,0.3000000000019653,0.1428571428580491,0.5714285714279672,0.2857142857139836,4.199999999998649,1.2352941176466363,0,1.7999999999984695,32.79999999999949,3.1749999999999834,0,2.0,TP,2.0,1.647058823529419,2025-06-09,0.5714285714279672,99.0,0,1.999999999999347,TP,1.999999999999347,TP,16.0,97.0,,16.0
2025-06-12,396420,396448,-1,1.15569,1.15599,1.1550900000000002,2.9999999999996696,11,24.300000000001543,8.100000000001407,1.5282608695652582,5.999999999999339,inf,19.16666666666925,1.1999999999989797,0.2352941176468539,0.4509803921567603,0.3137254901963857,30.49999999999997,10.166666666667776,0,24.800000000000377,45.999999999999375,6.437499999999985,3,-1.0,SL,2.0,-1.400000000000044,2025-06-12,0.4509803921567603,99.0,0,-1.0,SL,-1.0,SL,,8.0,8.0,
2025-06-13,396728,396735,1,1.14974,1.14925,1.16143,4.899999999998794,13,14.300000000000423,2.91836734693958,-0.1393762183235917,116.89999999999978,2.204081632653542,1.6734693877556015,3.5999999999991594,0.444444444444353,0.3456790123457602,0.2098765432098867,20.999999999999908,4.285714285715321,0,15.300000000000312,102.59999999999935,7.59583333333332,4,2.5714285714292835,cierre,23.857142857148684,2.32653061224555,2025-06-13,0.2098765432098867,2.204081632653542,0,12.653061224492877,cierre,9.346938775512562,cierre,,,,
2025-06-16,396964,397023,-1,1.15695,1.15757,1.1557099999999998,6.200000000000649,9,7.299999999998974,1.1774193548384209,1.1901041666666368,12.4000000000013,inf,5.483870967741115,4.00000000000178,0.8510638297876663,0.0851063829783414,0.0638297872339923,13.60000000000028,2.1935483870965893,0,8.099999999999774,38.40000000000065,6.36250000000014,0,-1.0,SL,2.0,-1.1935483870967538,2025-06-16,0.0851063829783414,99.0,0,-1.0,SL,-1.0,SL,,15.0,15.0,
2025-06-17,397303,397310,-1,1.15709,1.15745,1.1563699999999997,3.60000000000138,13,3.8000000000004697,1.0555555555552814,1.1532258064516432,7.20000000000276,4.333333333331688,4.611111111109329,1.500000000000945,0.50000000000037,0.0666666666663706,0.4333333333332593,6.40000000000196,1.777777777777641,0,5.100000000000104,24.79999999999816,3.749999999999957,1,2.0,TP,2.0,1.6666666666667944,2025-06-17,0.0666666666663706,4.333333333331688,0,2.0,TP,2.0,TP,24.0,66.0,,24.0
2025-06-18,397541,397598,-1,1.15179,1.15244,1.1504900000000005,6.499999999998174,9,10.00000000000112,1.538461538462143,1.2976190476190783,12.999999999996348,4.215384615385745,6.676923076924969,3.2999999999994145,0.7499999999998739,0.2500000000001262,0.0,15.499999999999403,2.384615384615963,0,11.000000000001007,33.60000000000029,4.287500000000055,2,2.0,TP,2.0,1.815384615384564,2025-06-18,0.2500000000001262,4.215384615385745,0,2.0,TP,2.0,TP,67.0,,,67.0
2025-06-23,398451,398462,1,1.14673,1.14583,1.15142,9.00000000000123,13,2.8999999999990145,0.3222222222220687,-0.0659090909090658,46.90000000000083,1.4333333333331524,0.7666666666666502,5.100000000000104,0.6623376623377297,0.2077922077921441,0.1298701298701261,10.900000000000354,1.211111111110985,0,7.500000000000284,44.00000000000181,6.062500000000211,0,0.5999999999999013,cierre,5.211111111110491,0.4666666666665862,2025-06-23,0.1298701298701261,1.4333333333331524,0,-1.0,SL,-1.0,SL,177.0,90.0,90.0,
2025-06-24,398725,398750,-1,1.16127,1.16188,1.16005,6.099999999999994,11,1.2999999999996348,0.213114754098301,0.9675000000000092,12.199999999999989,inf,5.131147540983738,4.80000000000036,0.800000000000148,0.0166666666664076,0.1833333333334443,3.8000000000004697,0.6229508196722088,1,0.1000000000006551,40.00000000000004,5.741666666666719,1,2.0,TP,2.0,1.80327868852459,2025-06-24,0.0166666666664076,99.0,0,2.0,TP,2.0,TP,15.0,268.0,,15.0
