slf,rr,phi,ctr,sl,tp,riesgo,premio,din_ajuste,din_fuera,est_ajuste,est_fuera,usd_ajuste,usd_fuera,dias
0.75,5.0,0.8,9,34.43362500000012,6.886725000000024,1549.5131250000054,309.9026250000011,0.21175,0.22985,0.26375,0.28445,-54.372209429824494,-49.806449324324134,17.0
0.75,2.0,0.35,4,34.43362500000012,17.21681250000006,688.6725000000024,344.3362500000012,0.20985,0.2385,0.29785,0.3424,-14.985769980506685,-10.608719969969789,27.0
1.0,3.0,0.5,4,45.91150000000016,15.303833333333387,918.2300000000032,306.07666666666773,0.2095,0.19395,0.2825,0.268,-18.70454840805694,-26.585840840840564,26.0
1.0,5.0,0.5,4,45.91150000000016,9.182300000000032,918.2300000000032,183.64600000000064,0.20305,0.10685,0.2791,0.14205,-12.578302144249294,-35.0935765765764,40.0
0.5,1.5,0.35,6,22.95575000000008,15.303833333333387,688.6725000000024,459.1150000000016,0.202,0.21205,0.27945,0.2908,-28.147716861598422,-27.564924924924885,18.0
0.75,1.5,0.25,3,34.43362500000012,22.95575000000008,516.5043750000018,344.3362500000012,0.20095,0.24835,0.2723,0.3562,-12.715537280701684,-5.300388513513335,35.0
0.5,1.0,0.25,4,22.95575000000008,22.95575000000008,459.1150000000016,459.1150000000016,0.1995,0.2373,0.2847,0.334,-16.28286549707604,-10.246644144144023,27.0
0.35,1.0,0.25,6,16.069025000000057,16.069025000000057,482.07075000000174,482.07075000000174,0.18985,0.16375,0.26255,0.2168,-23.35732383040932,-34.232902027027066,21.0
0.35,1.5,0.35,9,16.069025000000057,10.712683333333372,723.1061250000026,482.07075000000174,0.1895,0.16485,0.2516,0.2181,-41.83364692982436,-54.94610810810808,15.0
0.75,5.0,0.65,8,34.43362500000012,6.886725000000024,1377.3450000000048,275.46900000000096,0.1874,0.2014,0.24215,0.26585,-48.33085282651065,-44.272399399399234,19.0
0.75,2.0,0.25,3,34.43362500000012,17.21681250000006,516.5043750000018,258.2521875000009,0.1842,0.2232,0.2518,0.30565,-11.23932748538002,-7.95653997747735,46.0
0.75,3.0,0.35,4,34.43362500000012,11.47787500000004,688.6725000000024,229.5575000000008,0.17945,0.1482,0.2394,0.19845,-16.459800194931603,-25.061734234234105,38.0
0.5,2.0,0.35,6,22.95575000000008,11.47787500000004,688.6725000000024,344.3362500000012,0.17685,0.16795,0.2443,0.2374,-29.082620614034983,-33.22378941441444,23.0
1.0,3.0,0.35,3,45.91150000000016,15.303833333333387,688.6725000000024,229.5575000000008,0.1757,0.154,0.24065,0.21325,-14.028411306042702,-19.93938063063042,42.0
0.5,3.0,0.5,9,22.95575000000008,7.651916666666693,1033.0087500000036,344.3362500000012,0.17375,0.1726,0.23405,0.2408,-48.99892909356722,-51.97106418918915,18.0
1.0,2.0,0.25,2,45.91150000000016,22.95575000000008,459.1150000000016,229.5575000000008,0.17035,0.19675,0.21565,0.2659,-7.757668128654855,-6.770882132131962,64.0
