ins,ventana,stop,k,ts,lado,rgo,R,mot,neta
XAUUSD,londres,A,2,2025-11-05 11:05:00,-1,102.5,-0.28682926829268823,cierre,-0.33560975609756627
XAUUSD,londres,A,2,2025-11-06 08:05:00,1,61.79999999999836,2.0,TP,1.919093851132684
XAUUSD,londres,A,2,2025-11-06 10:15:00,-1,12.699999999999818,-1.0,SL,-1.3937007874015803
XAUUSD,londres,A,2,2025-11-06 10:55:00,-1,16.499999999996362,2.0,TP,1.6969696969696302
XAUUSD,londres,A,2,2025-11-07 08:30:00,-1,29.50000000000273,-1.0,SL,-1.169491525423713
XAUUSD,londres,A,2,2025-11-07 08:45:00,-1,8.999999999996362,2.0,TP,1.44444444444422
XAUUSD,londres,A,2,2025-11-07 08:55:00,1,23.570000000004256,2.0,TP,1.7878659312686
XAUUSD,londres,A,2,2025-11-07 09:20:00,-1,21.30000000000109,-1.0,SL,-1.2347417840375468
XAUUSD,londres,A,2,2025-11-07 10:00:00,1,34.470000000001164,-1.0,SL,-1.1450536698578424
XAUUSD,londres,A,2,2025-11-07 10:35:00,-1,59.00000000000091,-0.07796610169492021,cierre,-0.1627118644067833
XAUUSD,londres,A,2,2025-11-10 09:00:00,-1,13.000000000001819,-1.0,SL,-1.3846153846153308
XAUUSD,londres,A,2,2025-11-10 09:10:00,1,49.600000000000364,-1.0,SL,-1.1008064516129026
XAUUSD,londres,A,2,2025-11-10 09:40:00,1,25.300000000002,-1.0,SL,-1.1976284584980081
XAUUSD,londres,A,2,2025-11-10 10:05:00,-1,54.30000000000291,-1.0,SL,-1.0920810313075457
XAUUSD,londres,A,2,2025-11-10 10:45:00,-1,52.69999999999982,0.6110056925995846,cierre,0.5161290322580283
XAUUSD,londres,A,2,2025-11-11 08:20:00,1,28.900000000003274,-1.0,SL,-1.1730103806228178
XAUUSD,londres,A,2,2025-11-11 09:05:00,1,61.400000000003274,1.159609120521093,cierre,1.078175895765397
XAUUSD,londres,A,2,2025-11-12 08:05:00,-1,7.399999999997817,-1.0,SL,-1.6756756756758748
