slf,rr,riesgo,sl,tp,ajuste,fuera,f1,f2,R,dias
0.75,1.0,0.005,161.76000000000022,161.76000000000022,0.00012233,0.0008606250000000002,0.0085,0.10125,-0.004031906535615832,93.0
0.25,3.0,0.01,53.92000000000007,17.973333333333358,9.542e-05,5.3025e-05,0.00175,0.0303,-0.08357142379768481,83.0
0.5,1.5,0.005,107.84000000000015,71.89333333333343,8.19e-05,3.817e-05,0.0011,0.0347,-0.0485698328150109,96.0
0.25,2.0,0.0075,53.92000000000007,26.960000000000036,7.7395e-05,3.2695e-05,0.0013,0.02515,-0.10721962689692653,82.5
0.35,1.5,0.005,75.4880000000001,50.3253333333334,4.46775e-05,1.325e-06,0.0001,0.01325,-0.10064529477548759,77.5
0.5,3.0,0.0075,107.84000000000015,35.946666666666715,2.055e-05,1.0755e-05,0.00045,0.0239,-0.05410424333829368,97.0
0.25,5.0,0.015,53.92000000000007,10.784000000000015,1.7729999999999998e-05,1.08225e-05,0.00065,0.01665,-0.08325990122169638,87.0
0.75,3.0,0.0075,161.76000000000022,53.92000000000007,1.4175e-05,1.2899999999999998e-05,0.0006,0.0215,-0.050438197841758604,101.0
0.75,1.5,0.005,161.76000000000022,107.84000000000015,1.10925e-05,4.8127499999999996e-05,0.00115,0.04185,-0.01799951843534934,101.0
0.25,1.5,0.005,53.92000000000007,35.946666666666715,8.864999999999999e-06,1.515e-06,0.00015,0.0101,-0.11286427376931812,95.0
0.5,5.0,0.01,107.84000000000015,21.56800000000003,8.19e-06,1.6274999999999999e-06,0.00015,0.01085,-0.057613228027730896,101.0
0.35,3.0,0.0075,75.4880000000001,25.1626666666667,6.6325000000000004e-06,1.1925e-06,0.00015,0.00795,-0.08505486463572504,100.0
1.0,1.0,0.005,215.6800000000003,215.6800000000003,5.15e-06,0.0001385475,0.00245,0.05655,-0.005551629151406714,99.0
1.0,5.0,0.01,215.6800000000003,43.13600000000006,4.2875e-06,5.56e-06,0.0002,0.0278,-0.02612841652854616,102.0
1.0,3.0,0.0075,215.6800000000003,71.89333333333343,2.465e-06,1.0780000000000002e-05,0.0004,0.02695,-0.027399819608183756,102.0
0.35,2.0,0.005,75.4880000000001,37.74400000000005,2.0475e-06,0.0,0.0,0.0049,-0.08327632687795875,
0.35,5.0,0.01,75.4880000000001,15.09760000000002,1.8e-06,0.0,0.0,0.0052,-0.0701380853087084,
0.75,5.0,0.01,161.76000000000022,32.35200000000005,1.7250000000000002e-06,1.32275e-05,0.00055,0.02405,-0.033510819796057044,102.0
0.25,3.0,0.0075,53.92000000000007,17.973333333333358,1.7100000000000001e-06,3.4e-07,5e-05,0.0068,-0.08357142379768481,97.5
0.5,2.0,0.005,107.84000000000015,53.92000000000007,1.645e-06,6.25e-07,0.0001,0.00625,-0.06963601676602425,100.5
1.0,1.5,0.005,215.6800000000003,143.78666666666686,1.32e-06,2.0300000000000002e-05,0.0007,0.029,-0.01048125276611923,101.0
1.0,2.0,0.005,215.6800000000003,107.84000000000015,6.2e-07,6.05e-07,5e-05,0.0121,-0.01725929610990814,102.5
0.25,3.0,0.005,53.92000000000007,17.973333333333358,0.0,0.0,0.0,0.00015,-0.08357142379768481,
