ts,dir,entrada,rr,riesgo_pips,motivo,pips,R,bruto
2025-08-28 08:30:00,largo,1.16409,3.0,13.000000000000789,TP,37.80000000000236,2.907692307692313,3.0
2025-08-29 08:45:00,corto,1.16755,3.0,15.600000000000058,SL,-16.800000000000058,-1.0769230769230766,-1.0
2025-09-01 13:00:00,largo,1.17137,3.0,9.600000000000719,SL,-10.800000000000718,-1.1249999999999907,-1.0
2025-09-03 06:45:00,corto,1.16328,3.0,11.099999999999444,SL,-12.299999999999443,-1.1081081081081134,-1.0
2025-09-03 12:30:00,corto,1.16457,3.0,19.899999999999363,SL,-21.099999999999362,-1.0603015075376903,-1.0
2025-09-05 14:15:00,corto,1.17337,3.0,26.500000000000412,SL,-27.70000000000041,-1.0452830188679239,-1.0
2025-09-10 06:30:00,corto,1.17113,3.0,8.099999999999774,TP,23.099999999999323,2.8518518518518476,3.0
2025-09-12 09:15:00,largo,1.1723,3.0,11.499999999999844,SL,-12.699999999999843,-1.104347826086958,-1.0
2025-09-15 13:00:00,corto,1.17629,3.0,11.200000000000099,SL,-12.400000000000098,-1.107142857142856,-1.0
2025-09-17 12:30:00,largo,1.18392,3.0,7.600000000000939,TP,21.60000000000282,2.8421052631579142,3.0
2025-09-18 06:30:00,largo,1.17966,3.0,17.399999999998528,SL,-18.599999999998527,-1.068965517241385,-1.0
2025-09-19 07:15:00,largo,1.17741,3.0,17.80000000000115,SL,-19.000000000001148,-1.0674157303370742,-1.0
2025-09-23 09:30:00,corto,1.18029,3.0,10.499999999999954,SL,-11.699999999999953,-1.1142857142857148,-1.0
2025-09-24 14:30:00,largo,1.17442,3.0,17.199999999999438,SL,-18.399999999999437,-1.0697674418604675,-1.0
2025-09-26 06:30:00,corto,1.16747,3.0,9.999999999998899,SL,-11.199999999998898,-1.1200000000000132,-1.0
2025-09-26 13:15:00,corto,1.16804,3.0,14.899999999999913,SL,-16.099999999999913,-1.0805369127516782,-1.0
2025-09-29 07:30:00,corto,1.17257,3.0,8.500000000000174,SL,-9.700000000000173,-1.1411764705882324,-1.0
2025-09-29 13:45:00,corto,1.17406,3.0,14.799999999999258,SL,-15.999999999999257,-1.0810810810810851,-1.0
2025-10-01 07:15:00,corto,1.17534,3.0,26.100000000000012,tiempo,21.099999999999543,0.8084291187739285,0.8544061302681814
2025-10-08 06:45:00,largo,1.16166,3.0,10.799999999999699,SL,-11.999999999999698,-1.111111111111114,-1.0
2025-10-10 12:00:00,largo,1.15718,3.0,13.800000000001589,TP,40.20000000000476,2.9130434782608794,3.0
2025-10-13 06:45:00,corto,1.1614,3.0,16.700000000000603,TP,48.9000000000018,2.9281437125748524,3.0
2025-10-15 13:15:00,largo,1.16204,3.0,11.099999999999444,TP,32.099999999998325,2.891891891891886,2.9999999999999996
2025-10-17 08:45:00,corto,1.16968,3.0,32.49999999999975,tiempo,79.39999999999955,2.443076923076928,2.4800000000000053
2025-10-21 10:45:00,largo,1.16179,3.0,12.600000000000389,SL,-13.800000000000388,-1.0952380952380922,-1.0
2025-10-22 12:00:00,largo,1.15903,3.0,9.099999999999664,SL,-10.299999999999663,-1.1318681318681367,-1.0
2025-10-23 08:30:00,corto,1.15982,3.0,8.899999999998354,SL,-10.099999999998353,-1.134831460674182,-1.0
2025-10-24 06:30:00,largo,1.16104,3.0,10.600000000000609,TP,30.600000000001828,2.8867924528301954,3.0
2025-10-27 07:15:00,largo,1.1627,3.0,10.40000000000152,TP,30.000000000004558,2.8846153846154015,3.0
2025-10-28 07:15:00,largo,1.16582,3.0,9.300000000000974,SL,-10.500000000000973,-1.1290322580645025,-1.0
2025-10-29 08:30:00,largo,1.16374,3.0,19.899999999999363,SL,-21.099999999999362,-1.0603015075376903,-1.0
2025-11-03 15:15:00,corto,1.15096,3.0,13.700000000000934,SL,-14.900000000000933,-1.0875912408759063,-1.0
2025-11-04 10:30:00,largo,1.15092,3.0,11.299999999998533,SL,-12.499999999998533,-1.1061946902655004,-1.0
2025-11-05 13:15:00,corto,1.14865,3.0,7.900000000000684,SL,-9.100000000000684,-1.151898734177202,-0.9999999999999999
