i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,riesgo_u,R,coste_R,R_neto,ins,coste,uni
226,227,1,False,1918.108,1913.967,1918.925,1.0,1.0,5.068543451652157,2023-01-17 00:59:00,81.70000000000073,5.068543451652157,0.42839657282741356,4.640146878824743,XAUUSD,35.0,u
231,232,1,False,1910.975,1907.987,1913.155,1.0,1.0,1.370642201834744,2023-01-17 05:59:00,218.00000000000637,1.370642201834744,0.16055045871559165,1.2100917431191522,XAUUSD,35.0,u
234,235,1,False,1909.515,1907.065,1911.895,1.0,1.0,1.0294117647059526,2023-01-17 08:59:00,237.99999999998818,1.0294117647059526,0.14705882352941907,0.8823529411765336,XAUUSD,35.0,u
149,150,1,True,4142.339,4153.389,4140.349,1.0,1.0,5.552763819096178,2023-01-17 10:59:00,1.9899999999997817,5.552763819096178,1.005025125628251,4.547738693467927,GRXEUR,2.0,p
236,237,1,True,1906.115,1910.495,1904.175,1.0,1.0,2.2577319587627622,2023-01-17 10:59:00,194.00000000000546,2.2577319587627622,0.18041237113401554,2.0773195876287467,XAUUSD,35.0,u
238,239,1,False,1909.285,1905.935,1913.785,0.0,0.0,0.7444444444444748,2023-01-17 12:59:00,450.0,-1.0,0.07777777777777778,-1.0777777777777777,XAUUSD,35.0,u
152,153,1,False,4154.389,4146.359,4158.499,0.0,0.0,1.9537712895378065,2023-01-17 13:58:00,4.109999999999673,-1.0,0.4866180048662188,-1.4866180048662188,GRXEUR,2.0,p
158,159,1,True,4176.049,4179.199,4172.039,1.0,1.0,0.785536159600864,2023-01-17 19:59:00,4.010000000000218,0.785536159600864,0.4987531172069554,0.28678304239390856,GRXEUR,2.0,p
246,247,1,False,1909.095,1903.675,1910.675,1.0,1.0,3.430379746835647,2023-01-17 20:59:00,157.99999999999272,3.430379746835647,0.22151898734178235,3.2088607594938647,XAUUSD,35.0,u
248,249,1,True,1908.558,1909.075,1907.527,0.0,0.0,0.5014548981572049,2023-01-17 23:59:00,103.0999999999949,-1.0,0.33947623666345034,-1.3394762366634503,XAUUSD,35.0,u
