F,obj,mot,R,neta,rgo,lado,anio
0.705,1:2,SL,-1.0,-1.0844388489633872,5.921444999999949,-1,2020
0.79,nivel,SL,-1.0,-1.1075914365823776,4.647210000000086,-1,2020
0.79,1:2,SL,-1.0,-1.1075914365823776,4.647210000000086,-1,2020
0.5,nivel,TP,0.2967781178871506,0.24772388352563957,10.192799999999806,1,2020
0.5,1:2,fuera,-0.039537712895357534,-0.08859194725686856,10.192799999999806,1,2020
0.618,nivel,TP,0.6142466197765031,0.5531832575007645,8.188216000000011,1,2020
0.618,1:2,fuera,0.3784199146675957,0.3173565523918571,8.188216000000011,1,2020
0.705,nivel,TP,0.9697895461575747,0.8952767851021196,6.710260000000289,1,2020
0.705,1:2,TP,2.0,1.9254872389445448,6.710260000000289,1,2020
0.5,nivel,TP,0.9693795163700604,0.8684550482420007,4.954199999999673,1,2020
0.5,1:2,TP,2.0,1.8990755318719403,4.954199999999673,1,2020
0.618,nivel,TP,1.4515097714147842,1.325877653413062,3.979874000000109,1,2020
0.618,1:2,TP,2.0,1.8743678819982779,3.979874000000109,1,2020
0.705,nivel,TP,1.9914625565115711,1.838159566949957,3.26151499999969,1,2020
0.705,1:2,TP,2.0,1.846697010438386,3.26151499999969,1,2020
0.79,nivel,TP,2.811702289748109,2.616364609500272,2.5596700000000965,1,2020
0.79,1:2,TP,2.0,1.804662319752163,2.5596700000000965,1,2020
0.5,nivel,SL,-1.0,-1.295403521209998,1.6925999999998567,-1,2020
0.5,1:2,TP,2.0,1.704596478790002,1.6925999999998567,-1,2020
0.618,nivel,SL,-1.0,-1.3677222255726635,1.3597219999996923,-1,2020
0.618,1:2,TP,2.0,1.6322777744273365,1.3597219999996923,-1,2020
0.705,nivel,SL,-1.0,-1.448714209432928,1.1142949999998564,-1,2020
0.705,1:2,TP,2.0,1.551285790567072,1.1142949999998564,-1,2020
0.79,nivel,SL,-1.0,-1.571748750728914,0.8745100000001003,-1,2020
0.79,1:2,TP,2.0,1.428251249271086,0.8745100000001003,-1,2020
0.5,nivel,TP,0.22083389015103666,0.16515212258900508,8.979599999999664,1,2020
0.5,1:2,SL,-1.0,-1.0556817675620316,8.979599999999664,1,2020
0.618,nivel,TP,0.5197102367024758,0.4503968330982899,7.213612000000012,1,2020
0.618,1:2,SL,-1.0,-1.069313403604186,7.213612000000012,1,2020
0.705,nivel,TP,0.8544312255458856,0.7698513254516601,5.911569999999756,1,2020
0.705,1:2,SL,-1.0,-1.0845799000942256,5.911569999999756,1,2020
0.79,nivel,TP,1.3629043035181123,1.2551331404948265,4.639459999999872,1,2020
0.79,1:2,SL,-1.0,-1.1077711630232858,4.639459999999872,1,2020
0.5,nivel,TP,0.3851074927061493,0.3443596890127678,12.270599999999831,1,2020
0.5,1:2,fuera,1.5628820106596661,1.5221342069662847,12.270599999999831,1,2020
0.618,nivel,TP,0.7242001983894283,0.6734767913022305,9.857381999999689,1,2020
0.618,1:2,TP,2.0,1.9492765929128022,9.857381999999689,1,2020
0.705,nivel,TP,0.20944845629779985,0.14755305828253729,8.07814499999995,1,2020
0.705,1:2,TP,2.0,1.9381046019847374,8.07814499999995,1,2020
0.79,nivel,TP,0.5410714201213943,0.462204703295495,6.339809999999943,1,2020
0.79,1:2,TP,2.0,1.9211332831741008,6.339809999999943,1,2020
0.5,nivel,SL,-1.0,-1.114879147137218,4.352399999999761,1,2020
0.5,1:2,SL,-1.0,-1.114879147137218,4.352399999999761,1,2020
0.618,nivel,SL,-1.0,-1.1430030877226733,3.4964279999999235,1,2020
0.618,1:2,SL,-1.0,-1.1430030877226733,3.4964279999999235,1,2020
0.705,nivel,SL,-1.0,-1.1744999703350276,2.8653299999996307,1,2020
0.705,1:2,SL,-1.0,-1.1744999703350276,2.8653299999996307,1,2020
0.79,nivel,SL,-1.0,-1.2223467363946035,2.248739999999998,1,2020
0.79,1:2,SL,-1.0,-1.2223467363946035,2.248739999999998,1,2020
0.5,nivel,TP,0.7922031473534137,0.7283363989373072,7.828799999999774,-1,2020
0.5,1:2,SL,-1.0,-1.0638667484161064,7.828799999999774,-1,2020
0.618,nivel,TP,0.08199282063546182,0.0024906441838776494,6.289135999999871,-1,2020
