ts,ses,arriba,motivo,rr,riesgo_p,bruto,R
2021-05-28 13:45:00,NuevaYork,False,TP,1.3451327433628655,33.90000000000004,1.3451327433628655,1.3097345132743698
2021-06-01 05:00:00,Asia,False,SL,2.9047619047613007,4.20000000000087,-1.0,-1.2857142857142265
2021-06-01 07:00:00,Asia,True,SL,1.7741935483877092,6.199999999998429,-1.0,-1.1935483870968233
2021-06-01 08:00:00,NuevaYork,True,SL,1.9805825242719326,20.599999999999508,-1.0,-1.0582524271844673
2021-06-01 21:00:00,Londres,False,SL,6.043478260870825,4.599999999999049,-1.0,-1.2608695652174453
2021-06-02 09:00:00,Asia,False,SL,2.586666666666639,7.500000000000284,-1.0,-1.159999999999994
2021-06-02 15:30:00,Londres,True,TP,7.6615384615379725,6.500000000000394,7.6615384615379725,7.476923076922598
2021-06-03 12:30:00,Londres,False,SL,3.6769230769234866,12.999999999998568,-1.0,-1.0923076923077024
2021-06-03 14:30:00,NuevaYork,False,SL,14.339999999995008,5.00000000000167,-1.0,-1.2399999999999198
2021-06-04 00:15:00,NuevaYork,False,SL,5.9727272727281004,10.999999999998789,-1.0,-1.1090909090909211
2021-06-04 06:30:00,Asia,False,TP,1.8130841121491603,10.700000000001264,1.8130841121491603,1.7009345794388933
2021-06-07 13:30:00,Londres,True,SL,9.0,3.4000000000000696,-1.0,-1.352941176470581
2021-06-07 14:45:00,NuevaYork,True,SL,11.599999999996744,6.00000000000156,-1.0,-1.199999999999948
2021-06-08 06:00:00,Asia,False,SL,2.076923076923944,6.499999999998174,-1.0,-1.1846153846154366
2021-06-08 12:30:00,Londres,True,SL,1.7956989247308208,9.300000000000974,-1.0,-1.1290322580645025
2021-06-09 06:45:00,Asia,True,SL,1.1071428571430366,8.399999999999519,-1.0,-1.142857142857151
2021-06-09 10:45:00,NuevaYork,True,SL,4.458333333333064,4.8000000000003595,-1.0,-1.2499999999999813
2021-06-09 14:15:00,NuevaYork,True,TP,2.0,20.000000000000018,2.0,1.94
2021-06-10 08:00:00,NuevaYork,False,SL,3.8461538461541087,10.399999999999299,-1.0,-1.1153846153846232
2021-06-10 12:45:00,Londres,True,TP,3.1142857142856175,10.499999999999954,3.1142857142856175,2.9999999999999027
2021-06-11 06:15:00,Asia,True,TP,2.6567164179108236,6.699999999999484,2.6567164179108236,2.47761194029887
2021-06-11 12:30:00,Londres,False,SL,3.972602739726,14.600000000000168,-1.0,-1.0821917808219168
2021-06-11 14:45:00,Londres,False,SL,0.8867924528304773,10.599999999998388,-1.0,-1.1132075471698284
2021-06-11 17:15:00,Londres,False,TP,6.054545454544999,5.5000000000005045,6.054545454544999,5.836363636363201
2021-06-15 08:30:00,NuevaYork,True,tiempo,2.4634146341462393,16.40000000000086,0.3658536585365259,0.29268292682921265
2021-06-16 11:15:00,Asia,False,SL,1.5538461538465218,6.499999999998174,-1.0,-1.1846153846154366
2021-06-16 21:30:00,Asia,False,SL,3.64583333333289,4.8000000000003595,-1.0,-1.2499999999999813
2021-06-17 00:15:00,Londres,False,SL,2.4181818181814916,11.000000000001009,-1.0,-1.109090909090899
2021-06-17 06:15:00,Asia,False,SL,0.805405405405441,18.499999999999073,-1.0,-1.064864864864868
2021-06-17 09:00:00,Asia,False,SL,1.1243781094526633,20.100000000000673,-1.0,-1.0597014925373114
2021-06-17 14:15:00,Londres,False,SL,6.923076923077481,10.399999999999299,-1.0,-1.1153846153846232
2021-06-18 05:45:00,Asia,False,SL,1.7719298245616462,11.399999999999189,-1.0,-1.1052631578947443
2021-06-18 07:00:00,NuevaYork,False,SL,2.302439024390401,20.499999999998852,-1.0,-1.0585365853658568
2021-06-18 12:30:00,Londres,False,SL,1.4024390243903684,24.599999999999067,-1.0,-1.0487804878048799
2021-06-18 13:45:00,NuevaYork,False,SL,5.786666666666461,7.500000000000284,-1.0,-1.159999999999994
2021-06-21 06:45:00,Asia,True,SL,2.4298245614036285,11.399999999999189,-1.0,-1.1052631578947443
2021-06-21 14:45:00,NuevaYork,True,tiempo,5.1803278688534915,12.199999999997768,0.6393442622952014,0.5409836065574783
2021-06-22 16:00:00,Londres,True,SL,5.490196078431091,5.1000000000001044,-1.0,-1.235294117647054
2021-06-22 18:45:00,NuevaYork,True,SL,4.5126050420166095,11.900000000000244,-1.0,-1.1008403361344516
2021-06-22 19:15:00,NuevaYork,True,SL,7.873239436619824,7.099999999999884,-1.0,-1.169014084507045
2021-06-24 07:45:00,Asia,True,SL,0.9922480620154531,12.900000000000134,-1.0,-1.0930232558139525
2021-06-24 13:15:00,Londres,True,SL,1.4606060606061373,16.499999999999293,-1.0,-1.0727272727272759
2021-06-25 14:00:00,NuevaYork,True,TP,2.5925925925927085,13.499999999999623,2.5925925925927085,2.5037037037038163
2021-06-25 18:45:00,NuevaYork,False,SL,6.6119402985082045,6.699999999999484,-1.0,-1.1791044776119541
2021-06-28 07:15:00,Asia,True,TP,2.0,8.799999999999919,2.0,1.8636363636363624
2021-06-28 12:45:00,NuevaYork,False,SL,1.6666666666665961,20.999999999999908,-1.0,-1.0571428571428574
2021-06-29 13:15:00,Londres,False,SL,2.1879194630871392,14.899999999999913,-1.0,-1.0805369127516782
2021-06-30 15:00:00,Londres,False,SL,2.7071428571426974,14.000000000000679,-1.0,-1.0857142857142814
2021-06-30 15:45:00,NuevaYork,False,SL,11.962264150945238,5.299999999999194,-1.0,-1.226415094339657
2021-07-01 06:45:00,NuevaYork,False,SL,2.068062827224993,19.100000000000783,-1.0,-1.0628272251308875
2021-07-02 06:30:00,Londres,False,SL,5.17808219177983,7.300000000001194,-1.0,-1.1643835616438085
2021-07-02 12:15:00,Londres,False,SL,3.5666666666654208,6.00000000000156,-1.0,-1.199999999999948
2021-07-02 13:15:00,Londres,True,SL,0.7938596491229027,22.799999999998377,-1.0,-1.0526315789473721
2021-07-02 18:45:00,NuevaYork,True,SL,7.325301204818156,8.300000000001084,-1.0,-1.144578313252993
2021-07-06 04:30:00,NuevaYork,True,SL,2.5967741935479367,6.200000000000649,-1.0,-1.193548387096754
2021-07-06 07:30:00,Londres,True,TP,1.2537313432835788,20.100000000000673,1.2537313432835788,1.1940298507462674
2021-07-06 13:45:00,Londres,False,SL,4.968000000000145,12.499999999999734,-1.0,-1.096000000000002
2021-07-06 16:30:00,NuevaYork,False,SL,5.155339805824738,10.300000000000864,-1.0,-1.1165048543689222
2021-07-07 13:45:00,NuevaYork,False,SL,7.666666666668414,7.199999999998319,-1.0,-1.1666666666667054
2021-07-07 14:45:00,Londres,False,TP,1.214659685864018,19.099999999998563,1.214659685864018,1.1518324607331232
2021-07-08 10:15:00,NuevaYork,True,SL,3.4166666666667087,13.199999999999878,-1.0,-1.0909090909090917
2021-07-09 05:00:00,NuevaYork,False,SL,8.525000000000722,3.9999999999995595,-1.0,-1.3000000000000331
2021-07-09 13:00:00,NuevaYork,True,SL,4.1578947368428745,7.599999999998719,-1.0,-1.1578947368421317
2021-07-12 07:00:00,Asia,False,SL,0.5654761904761519,16.80000000000126,-1.0,-1.071428571428566
2021-07-13 03:30:00,NuevaYork,True,TP,6.236363636363144,5.5000000000005045,6.236363636363144,6.018181818181345
2021-07-13 10:00:00,NuevaYork,False,SL,5.428571428572184,6.299999999999084,-1.0,-1.1904761904762182
2021-07-13 12:15:00,Londres,False,SL,1.1783439490447816,15.699999999998493,-1.0,-1.0764331210191156
2021-07-13 14:15:00,Londres,False,SL,0.781250000000005,41.59999999999941,-1.0,-1.0288461538461544
2021-07-13 18:15:00,NuevaYork,False,SL,6.364583333332919,9.600000000000719,-1.0,-1.1249999999999907
2021-07-14 05:15:00,Asia,True,SL,3.3846153846163043,3.8999999999989043,-1.0,-1.307692307692394
2021-07-14 19:45:00,NuevaYork,True,SL,5.508474576272749,5.899999999998684,-1.0,-1.20338983050852
2021-07-15 12:15:00,Londres,False,SL,4.177777777778222,8.999999999999009,-1.0,-1.133333333333348
2021-07-15 16:15:00,NuevaYork,False,SL,4.590909090910039,6.599999999998829,-1.0,-1.181818181818214
