conf,ses,clave,lado,t,ent,stop,rgo,obj,tent,gano,rgoP,cpc,Rb,Rn
C1,ny,hi,-1,2025-06-30 16:45:00,1.17404,1.17509,0.0010499999999999954,1.17194,2025-06-30 14:45:00,0,10.499999999999954,13.619047619047679,-1.0,-1.1361904761904769
C2,ny,hi,-1,2025-06-30 16:50:00,1.17404,1.17509,0.0010499999999999954,1.17194,2025-06-30 14:50:00,0,10.499999999999954,13.619047619047679,-1.0,-1.1361904761904769
C1,ny,lo,1,2025-07-01 18:10:00,1.17703,1.17656,0.00046999999999997044,1.17797,2025-07-01 16:10:00,0,4.699999999999704,30.42553191489553,-1.0,-1.3042553191489552
C2,ny,lo,1,2025-07-01 19:10:00,1.17721,1.17656,0.0006500000000000394,1.1785100000000002,2025-07-01 17:10:00,1,6.500000000000394,21.999999999998664,2.0,1.7800000000000133
C1,ny,hi,-1,2025-07-02 18:10:00,1.17874,1.17938,0.000640000000000196,1.1774599999999995,2025-07-02 16:10:00,0,6.40000000000196,22.343749999993157,-1.0,-1.2234374999999316
C2,ny,hi,-1,2025-07-02 18:15:00,1.1787,1.17938,0.0006800000000000139,1.17734,2025-07-02 16:15:00,0,6.800000000000139,21.02941176470545,-1.0,-1.2102941176470545
C1,ny,lo,1,2025-07-03 14:15:00,1.17869,1.17821,0.00048000000000003595,1.17965,2025-07-03 12:15:00,0,4.8000000000003595,29.791666666664437,-1.0,-1.2979166666666444
C2,ny,lo,1,2025-07-03 14:20:00,1.17877,1.17821,0.000560000000000116,1.1798900000000003,2025-07-03 12:20:00,0,5.60000000000116,25.535714285709,-1.0,-1.25535714285709
C1,ny,lo,1,2025-07-04 15:00:00,1.17676,1.17663,0.00012999999999996348,1.17702,2025-07-04 13:00:00,1,1.2999999999996348,110.00000000003091,2.0,0.899999999999691
C2,ny,lo,1,2025-07-04 15:05:00,1.17688,1.17663,0.00024999999999986144,1.1773799999999996,2025-07-04 13:05:00,1,2.4999999999986144,57.2000000000317,2.0,1.4279999999996829
C1,ny,hi,-1,2025-07-04 16:05:00,1.17827,1.17871,0.00043999999999999595,1.17739,2025-07-04 14:05:00,0,4.3999999999999595,32.5000000000003,-1.0,-1.3250000000000028
C2,ny,hi,-1,2025-07-04 16:10:00,1.17827,1.17871,0.00043999999999999595,1.17739,2025-07-04 14:10:00,1,4.3999999999999595,32.5000000000003,2.0,1.6749999999999972
C1,ny,lo,1,2025-07-07 14:35:00,1.17227,1.17179,0.0004799999999998139,1.1732299999999996,2025-07-07 12:35:00,0,4.799999999998139,29.791666666678218,-1.0,-1.297916666666782
C2,ny,lo,1,2025-07-07 14:40:00,1.17227,1.17179,0.0004799999999998139,1.1732299999999996,2025-07-07 12:40:00,1,4.799999999998139,29.791666666678218,2.0,1.702083333333218
C1,ny,lo,1,2025-07-08 14:35:00,1.17242,1.172,0.00042000000000008697,1.1732600000000002,2025-07-08 12:35:00,0,4.20000000000087,34.047619047611995,-1.0,-1.34047619047612
C1,ny,lo,1,2025-07-10 14:10:00,1.17128,1.17078,0.000500000000000167,1.1722800000000004,2025-07-10 12:10:00,0,5.00000000000167,28.599999999990448,-1.0,-1.2859999999999046
C2,ny,lo,1,2025-07-10 15:00:00,1.17131,1.17078,0.0005300000000001415,1.1723700000000004,2025-07-10 13:00:00,0,5.300000000001415,26.981132075464497,-1.0,-1.2698113207546449
C1,ny,hi,-1,2025-07-11 15:45:00,1.16959,1.17026,0.0006700000000001705,1.1682499999999996,2025-07-11 13:45:00,0,6.700000000001705,21.343283582084123,-1.0,-1.2134328358208413
C2,ny,hi,-1,2025-07-11 15:50:00,1.16946,1.17026,0.0008000000000001339,1.1678599999999997,2025-07-11 13:50:00,1,8.00000000000134,17.87499999999701,2.0,1.82125000000003
C1,ny,lo,1,2025-07-15 14:00:00,1.16686,1.16667,0.00018999999999991246,1.1672399999999998,2025-07-15 12:00:00,0,1.8999999999991246,75.26315789477152,-1.0,-1.7526315789477152
C2,ny,lo,1,2025-07-15 14:20:00,1.167,1.16667,0.00032999999999994145,1.16766,2025-07-15 12:20:00,0,3.2999999999994145,43.333333333341024,-1.0,-1.4333333333334102
C1,ny,lo,1,2025-07-16 14:30:00,1.16096,1.15944,0.0015199999999999658,1.164,2025-07-16 12:30:00,0,15.199999999999658,9.407894736842318,-1.0,-1.0940789473684231
C1,ny,hi,-1,2025-07-16 20:55:00,1.16279,1.16301,0.000220000000000109,1.1623499999999998,2025-07-16 18:55:00,0,2.20000000000109,64.9999999999678,-1.0,-1.649999999999678
C2,ny,hi,-1,2025-07-16 21:00:00,1.16272,1.16301,0.0002900000000001235,1.1621399999999997,2025-07-16 19:00:00,0,2.900000000001235,49.31034482756521,-1.0,-1.493103448275652
C1,ny,lo,1,2025-07-17 14:30:00,1.15733,1.15566,0.0016700000000000603,1.16067,2025-07-17 12:30:00,1,16.700000000000603,8.562874251496696,2.0,1.9143712574850331
C2,ny,lo,1,2025-07-17 14:35:00,1.15792,1.15566,0.0022600000000001508,1.1624400000000004,2025-07-17 12:35:00,1,22.600000000001508,6.327433628318162,2.0,1.9367256637168184
C1,ny,hi,-1,2025-07-18 14:30:00,1.16462,1.16519,0.0005699999999999594,1.16348,2025-07-18 12:30:00,0,5.699999999999594,25.0877192982474,-1.0,-1.250877192982474
C2,ny,hi,-1,2025-07-18 14:35:00,1.16451,1.16519,0.0006800000000000139,1.16315,2025-07-18 12:35:00,0,6.800000000000139,21.02941176470545,-1.0,-1.2102941176470545
C1,ny,hi,-1,2025-07-21 14:10:00,1.16682,1.16733,0.0005100000000000104,1.1658,2025-07-21 12:10:00,0,5.1000000000001044,28.039215686273934,-1.0,-1.2803921568627392
C2,ny,hi,-1,2025-07-21 14:15:00,1.1667,1.16733,0.0006299999999999084,1.1654400000000003,2025-07-21 12:15:00,0,6.299999999999084,22.698412698416,-1.0,-1.22698412698416
C1,ny,lo,1,2025-07-22 15:10:00,1.16831,1.16788,0.00042999999999993044,1.1691699999999998,2025-07-22 13:10:00,0,4.299999999999304,33.25581395349375,-1.0,-1.3325581395349375
C2,ny,lo,1,2025-07-22 15:15:00,1.16842,1.16788,0.0005399999999999849,1.1695,2025-07-22 13:15:00,1,5.399999999999849,26.48148148148222,2.0,1.7351851851851778
C1,ny,lo,1,2025-07-23 14:30:00,1.17245,1.17198,0.00046999999999997044,1.17339,2025-07-23 12:30:00,0,4.699999999999704,30.42553191489553,-1.0,-1.3042553191489552
C2,ny,lo,1,2025-07-23 14:45:00,1.17256,1.17198,0.0005800000000000249,1.17372,2025-07-23 12:45:00,0,5.800000000000249,24.655172413792044,-1.0,-1.2465517241379205
C1,ny,hi,-1,2025-07-23 17:55:00,1.17466,1.17579,0.0011299999999998533,1.1724000000000003,2025-07-23 15:55:00,0,11.299999999998533,12.654867256638811,-1.0,-1.126548672566388
C1,ny,lo,1,2025-07-24 14:30:00,1.1745,1.17417,0.0003300000000001635,1.1751600000000004,2025-07-24 12:30:00,0,3.300000000001635,43.33333333331186,-1.0,-1.4333333333331186
C2,ny,lo,1,2025-07-24 15:05:00,1.17494,1.17417,0.0007700000000001594,1.1764800000000004,2025-07-24 13:05:00,1,7.7000000000015945,18.571428571424725,2.0,1.8142857142857527
C1,ny,hi,-1,2025-07-24 15:30:00,1.17629,1.17733,0.0010399999999999299,1.1742100000000002,2025-07-24 13:30:00,0,10.399999999999299,13.750000000000927,-1.0,-1.1375000000000093
C2,ny,hi,-1,2025-07-24 15:35:00,1.17629,1.17733,0.0010399999999999299,1.1742100000000002,2025-07-24 13:35:00,0,10.399999999999299,13.750000000000927,-1.0,-1.1375000000000093
C1,ny,lo,1,2025-07-25 15:05:00,1.17214,1.17028,0.0018599999999999728,1.17586,2025-07-25 13:05:00,1,18.599999999999728,7.688172043010865,2.0,1.9231182795698913
C2,ny,lo,1,2025-07-25 15:20:00,1.17252,1.17028,0.0022400000000000198,1.177,2025-07-25 13:20:00,1,22.400000000000198,6.383928571428515,2.0,1.936160714285715
C1,ny,lo,1,2025-07-28 16:30:00,1.16439,1.16418,0.00021000000000004349,1.1648100000000001,2025-07-28 14:30:00,0,2.100000000000435,68.09523809522399,-1.0,-1.68095238095224
C2,ny,lo,1,2025-07-28 16:45:00,1.16452,1.16418,0.00034000000000000696,1.1652,2025-07-28 14:45:00,0,3.4000000000000696,42.0588235294109,-1.0,-1.420588235294109
