dia,hora,lado,rngA,ent,stop,tp,rgo,rr,R,neta,res,dow
2020-12-29,2020-12-29 09:10:00,-1,23.699999999999832,1.2242549999999999,1.22461,1.22353,3.5500000000010523,2.0422535211257737,-1.0,-1.4028169014083312,SL,1
2021-01-05,2021-01-05 09:55:00,-1,29.700000000001392,1.2275049999999998,1.22797,1.22613,4.650000000001597,2.956989247310606,-1.0,-1.3075268817203245,SL,1
2021-01-05,2021-01-05 09:55:00,-1,29.700000000001392,1.2275049999999998,1.2278499999999999,1.22671,3.450000000000397,2.304347826086341,-1.0,-1.4144927536231406,SL,1
2021-01-11,2021-01-11 08:55:00,-1,29.599999999998516,1.21903,1.21993,1.21712,8.999999999999009,2.122222222222543,2.122222222222543,1.9633333333336365,TP,0
2021-01-26,2021-01-26 09:50:00,1,19.199999999999218,1.212945,1.21256,1.21376,3.849999999998577,2.1168831168839257,-1.0,-1.3714285714287087,SL,1
2021-01-26,2021-01-26 09:50:00,1,19.199999999999218,1.212945,1.21256,1.21376,3.849999999998577,2.1168831168839257,-1.0,-1.3714285714287087,SL,1
2021-01-28,2021-01-28 08:10:00,1,23.500000000000743,1.21006,1.20797,1.21696,20.899999999999253,3.301435406698744,1.181818181818317,1.1133971291867357,abierta,3
2021-02-09,2021-02-09 08:20:00,-1,32.90000000000015,1.20769,1.20832,1.20491,6.300000000001305,4.412698412697506,-1.0,-1.22698412698408,SL,1
2021-02-09,2021-02-09 08:20:00,-1,32.90000000000015,1.20769,1.20845,1.20491,7.600000000000939,3.6578947368416594,-1.0,-1.1881578947368188,SL,1
2021-02-10,2021-02-10 09:25:00,-1,20.900000000001473,1.21269,1.21313,1.21088,4.3999999999999595,4.113636363636605,-1.0,-1.3250000000000028,SL,2
2021-02-10,2021-02-10 09:25:00,-1,20.900000000001473,1.21269,1.21317,1.21088,4.8000000000003595,3.770833333333237,-1.0,-1.2979166666666444,SL,2
2021-02-11,2021-02-11 10:10:00,-1,14.199999999999768,1.21257,1.2129699999999999,1.2117,3.9999999999995595,2.1750000000000553,-1.0,-1.3575000000000395,SL,3
2021-02-11,2021-02-11 10:10:00,-1,14.199999999999768,1.21257,1.21298,1.2117,4.100000000000215,2.1219512195119044,-1.0,-1.3487804878048597,SL,3
2021-02-12,2021-02-12 09:25:00,1,14.699999999998603,1.210655,1.21113,1.21237,4.750000000000032,3.610526315789262,-1.0,-1.3010526315789455,SL,4
2021-02-24,2021-02-24 09:40:00,-1,20.899999999999253,1.216395,1.21722,1.21473,8.250000000000757,2.0181818181813975,-1.0,-1.1733333333333174,SL,2
2021-02-24,2021-02-24 09:40:00,-1,20.899999999999253,1.216395,1.21673,1.21512,3.3500000000019625,3.805970149251248,3.805970149251248,3.3791044776097072,TP,2
2021-03-03,2021-03-03 08:05:00,-1,10.900000000000354,1.209075,1.20958,1.20806,5.050000000001997,2.0099009900981915,-1.0,-1.283168316831571,SL,2
2021-03-24,2021-03-24 08:30:00,1,17.099999999998783,1.183805,1.18291,1.19369,8.950000000000902,11.044692737428967,-1.0,-1.1597765363128332,SL,2
2021-03-31,2021-03-31 10:05:00,-1,21.799999999998487,1.17436,1.17281,1.17112,15.500000000001624,2.090322580645027,-1.0,-1.0922580645161193,SL,2
2021-03-31,2021-03-31 10:05:00,-1,21.799999999998487,1.17436,1.17278,1.17112,15.800000000001369,2.0506329113923107,-1.0,-1.090506329113916,SL,2
2021-04-01,2021-04-01 09:55:00,-1,18.400000000000638,1.173575,1.1734499999999999,1.17251,1.2500000000015277,8.519999999990336,-1.0,-2.143999999998602,SL,3
2021-04-01,2021-04-01 09:55:00,-1,18.400000000000638,1.173575,1.17346,1.17251,1.1500000000008725,9.260869565211179,-1.0,-2.2434782608686215,SL,3
2021-04-07,2021-04-07 07:55:00,-1,12.199999999999989,1.187235,1.18806,1.17951,8.249999999998536,9.363636363638003,-1.0,-1.173333333333364,SL,2
2021-04-14,2021-04-14 08:40:00,-1,15.400000000000968,1.19623,1.1970399999999999,1.18776,8.099999999999774,10.456790123457054,-1.0,-1.176543209876548,SL,2
2021-05-28,2021-05-28 08:40:00,1,11.699999999998933,1.218555,1.21766,1.22149,8.950000000000902,3.2793296089381165,-1.0,-1.1597765363128332,SL,4
2021-05-28,2021-05-28 08:40:00,1,11.699999999998933,1.218555,1.21796,1.22149,5.950000000001232,4.932773109242524,-1.0,-1.2403361344537318,SL,4
2021-06-01,2021-06-01 09:10:00,-1,14.100000000001334,1.22311,1.22411,1.21845,10.000000000001119,4.659999999999365,-1.0,-1.142999999999984,SL,1
2021-06-01,2021-06-01 09:10:00,-1,14.100000000001334,1.22311,1.22424,1.21845,11.300000000000754,4.123893805309359,-1.0,-1.1265486725663632,SL,1
2021-06-04,2021-06-04 09:40:00,1,20.000000000000018,1.211405,1.21081,1.21285,5.950000000001232,2.428571428570789,-1.0,-1.2403361344537318,SL,4
2021-06-04,2021-06-04 09:40:00,1,20.000000000000018,1.211405,1.21093,1.21285,4.750000000000032,3.042105263157703,-1.0,-1.3010526315789455,SL,4
2021-06-07,2021-06-07 08:45:00,1,12.700000000001044,1.21618,1.21547,1.21856,7.099999999999884,3.3521126760564615,-1.0,-1.2014084507042286,SL,0
2021-06-07,2021-06-07 09:55:00,1,12.700000000001044,1.21591,1.21553,1.21683,3.8000000000004697,2.421052631578732,-1.0,-1.3763157894736378,SL,0
2021-06-08,2021-06-08 08:45:00,1,16.80000000000126,1.2171750000000001,1.21757,1.21814,3.949999999999232,2.443037974683722,-1.0,-1.3620253164557665,SL,1
2021-06-08,2021-06-08 08:45:00,1,16.80000000000126,1.2171750000000001,1.21762,1.21814,4.449999999998067,2.168539325843375,-1.0,-1.3213483146068812,SL,1
2021-06-09,2021-06-09 07:50:00,-1,14.100000000001334,1.21808,1.21878,1.21642,6.999999999999229,2.371428571428825,-1.0,-1.2042857142857368,SL,2
2021-06-10,2021-06-10 09:50:00,1,18.000000000000238,1.21673,1.21587,1.22179,8.60000000000083,5.883720930231807,-1.0,-1.166279069767426,SL,3
2021-06-11,2021-06-11 08:30:00,-1,19.699999999998052,1.218145,1.21928,1.21433,11.349999999998861,3.361233480176658,3.361233480176658,3.2352422907493326,TP,4
2021-06-14,2021-06-14 08:30:00,1,16.700000000000603,1.2108750000000001,1.20932,1.21929,15.550000000001951,5.4115755627001825,0.8135048231509265,0.7215434083599412,abierta,0
2021-06-16,2021-06-16 08:05:00,-1,12.199999999999989,1.2127050000000001,1.21309,1.21165,3.849999999998577,2.7402597402614033,-1.0,-1.3714285714287087,SL,2
2021-06-16,2021-06-16 08:10:00,-1,12.199999999999989,1.21231,1.21307,1.21013,7.600000000000939,2.8684210526313176,-1.0,-1.1881578947368188,SL,2
2021-06-18,2021-06-18 08:45:00,1,20.400000000000418,1.190645,1.18965,1.20062,9.949999999998571,10.025125628142211,-1.0,-1.1437185929648448,SL,4
2021-06-18,2021-06-18 08:50:00,1,20.400000000000418,1.1911,1.19017,1.20062,9.300000000000974,10.236559139783845,-1.0,-1.1537634408601989,SL,4
2021-06-21,2021-06-21 08:05:00,-1,28.799999999999937,1.18742,1.1882,1.18558,7.800000000000029,2.358974358974147,-1.0,-1.1833333333333327,SL,0
2021-06-21,2021-06-21 08:05:00,-1,28.799999999999937,1.18742,1.18857,1.18476,11.499999999999844,2.3130434782608007,-1.0,-1.1243478260869582,SL,0
2021-06-24,2021-06-24 08:55:00,-1,13.999999999998458,1.1933850000000001,1.19365,1.19262,2.649999999999597,2.8867924528311057,-1.0,-1.539622641509516,SL,3
2021-06-24,2021-06-24 08:55:00,-1,13.999999999998458,1.1933850000000001,1.19363,1.19262,2.449999999998287,3.122448979594537,-1.0,-1.5836734693881631,SL,3
2021-06-28,2021-06-28 09:10:00,-1,21.900000000001363,1.19366,1.19448,1.192,8.20000000000043,2.0243902439023267,2.0243902439023267,1.8499999999998968,TP,0
