dia,cierre_min,lado,ent,sl,tp,rgo,toque,arriba,R,mot,neta,examen
2023-08-08,580,1,1.09775,1.09736,1.0985300000000002,3.900000000001125,1,False,2.0,TP,1.633333333333439,False
2023-08-09,490,-1,1.09754,1.09792,1.0967799999999999,3.8000000000004697,0,True,-1.0,SL,-1.3763157894736378,True
2023-08-09,520,-1,1.0978,1.09796,1.0974800000000002,1.5999999999993797,1,True,2.0,TP,1.1062499999996536,True
2023-08-11,500,-1,1.09966,1.09984,1.0993000000000004,1.7999999999984695,0,True,-1.0,SL,-1.7944444444451197,False
2023-08-14,485,1,1.09296,1.09269,1.0935,2.6999999999999247,0,False,-1.0,SL,-1.5296296296296443,False
2023-08-14,490,1,1.09299,1.09274,1.0934899999999996,2.4999999999986144,1,False,-1.0,SL,-1.5720000000003171,False
2023-08-15,485,-1,1.09174,1.09189,1.0914399999999997,1.500000000000945,0,True,2.0,TP,1.0466666666672673,False
2023-08-15,490,-1,1.09148,1.09185,1.09074,3.6999999999998145,1,True,-1.0,SL,-1.3864864864865059,False
2023-08-16,485,-1,1.0915,1.09193,1.0906399999999996,4.300000000001525,0,True,-1.0,SL,-1.3325581395347657,False
2023-08-16,500,-1,1.09171,1.09188,1.09137,1.7000000000000348,1,True,-1.0,SL,-1.841176470588218,False
2023-08-18,550,1,1.08689,1.08644,1.0877899999999996,4.499999999998394,1,False,2.0,TP,1.6822222222221088,False
2023-08-21,565,-1,1.08852,1.08885,1.0878599999999996,3.300000000001635,1,True,-1.0,SL,-1.4333333333331186,False
2023-08-22,515,-1,1.09164,1.092,1.0909199999999997,3.60000000000138,1,True,-1.0,SL,-1.3972222222220698,False
2023-08-23,540,-1,1.08613,1.08646,1.0854700000000002,3.2999999999994145,1,True,-1.0,SL,-1.4333333333334102,False
2023-08-25,615,1,1.07778,1.07743,1.0784799999999997,3.4999999999985043,1,False,2.0,TP,1.5914285714283969,False
2023-08-30,605,1,1.08583,1.08551,1.0864700000000003,3.20000000000098,0,False,2.0,TP,1.5531250000001369,False
2023-09-04,490,-1,1.07872,1.07909,1.0779799999999995,3.700000000002035,0,True,-1.0,SL,-1.386486486486274,False
2023-09-05,490,1,1.07828,1.07805,1.0787399999999998,2.2999999999995246,0,False,-1.0,SL,-1.6217391304349111,False
2023-09-06,510,-1,1.07381,1.07394,1.07355,1.2999999999996348,1,True,2.0,TP,0.899999999999691,False
2023-09-07,520,1,1.07189,1.0715,1.0726700000000002,3.900000000001125,0,False,-1.0,SL,-1.366666666666561,False
2023-09-07,540,1,1.07165,1.07148,1.07199,1.7000000000000348,1,False,-1.0,SL,-1.841176470588218,False
2023-09-08,480,-1,1.07239,1.07261,1.0719499999999997,2.20000000000109,0,True,-1.0,SL,-1.649999999999678,True
2023-09-08,495,-1,1.07259,1.07279,1.07219,1.9999999999997797,1,True,2.0,TP,1.2849999999999213,True
2023-09-12,520,1,1.07376,1.07337,1.0745400000000003,3.900000000001125,1,False,-1.0,SL,-1.366666666666561,False
2023-09-15,485,-1,1.06545,1.06568,1.06499,2.2999999999995246,1,True,-1.0,SL,-1.6217391304349111,False
2023-09-18,545,1,1.06626,1.0658,1.0671799999999998,4.599999999999049,1,False,-1.0,SL,-1.3108695652174556,False
2023-09-19,540,1,1.06785,1.06762,1.0683099999999999,2.2999999999995246,0,False,2.0,TP,1.3782608695650889,False
2023-09-19,560,1,1.06788,1.0675,1.06864,3.8000000000004697,1,False,2.0,TP,1.6236842105263622,False
