entrada,salida,px_ent,px_sal,lotes,atr,motivo,noches,bruto,coste,neto,capital
2025-04-16 20:55:00,2025-04-17 01:31:00,3342.625,3329.2516105263157,0.9994397400486785,13.173389473684251,stop,1,-1336.5896899148727,40.977029341995824,-1377.5667192568685,130282.52279213298
2025-04-21 00:33:00,2025-04-21 05:00:00,3357.6549999999997,3375.9750000000004,1.0367998486499395,12.565831578947405,tiempo,0,1899.4173227267531,6.220799091899637,1893.1965236348535,132175.71931576784
2025-04-21 06:03:00,2025-04-21 11:00:00,3385.895,3394.3450000000003,1.0718804278234675,12.331200000000038,tiempo,0,905.7389615108593,6.431282566940805,899.3076789439185,133075.02699471175
2025-04-21 12:02:00,2025-04-21 17:00:00,3405.9249999999997,3414.215,1.0756291511530083,12.371831578947402,tiempo,0,891.6965663058888,6.453774906918049,885.2427913989708,133960.26978611073
2025-04-21 19:09:00,2025-04-21 19:45:00,3430.2149999999997,3417.594642105263,1.0785540233335502,12.420357894736869,stop,0,-1361.1737783277463,6.471324140001301,-1367.6451024677476,132592.624683643
2025-04-22 03:03:00,2025-04-22 07:14:00,3476.105,3462.636957894737,0.9993382869281516,13.268042105263186,stop,0,-1345.913012574981,5.99602972156891,-1351.9090422965498,131240.71564134644
2025-05-05 09:58:00,2025-05-05 14:00:00,3307.495,3313.885,0.973982942300813,13.474642105263172,tiempo,0,622.3751001302513,5.843897653804878,616.5312024764464,131857.24684382288
2025-05-05 19:21:00,2025-05-06 01:00:00,3328.615,3329.3050000000003,0.9642167302730185,13.675063157894744,tiempo,1,66.53095438888738,39.532885941193754,26.998068447693626,131884.24491227057
2025-05-06 12:38:00,2025-05-06 17:00:00,3386.9449999999997,3408.215,0.9391887452298981,14.04235789473685,tiempo,0,1997.6544611040345,5.635132471379389,1992.019328632655,133876.26424090323
2025-05-06 19:40:00,2025-05-06 22:07:00,3417.7949999999996,3403.7771157894736,0.9688622527240286,13.817884210526326,stop,0,-1358.1398874634872,5.813173516344172,-1363.9530609798314,132512.3111799234
2025-05-20 12:35:00,2025-05-20 13:05:00,3249.705,3235.1421684210527,0.9226057581442098,14.362831578947374,stop,0,-1343.5752269621044,5.535634548865259,-1349.1108615109697,131163.20031841242
2025-05-20 18:26:00,2025-05-21 00:00:00,3287.935,3290.1850000000004,0.9285364391284903,14.125800000000014,tiempo,1,208.92069880395255,38.0699940042681,170.85070479968445,131334.05102321212
2025-05-21 05:46:00,2025-05-21 10:00:00,3314.685,3313.165,0.9141730867647716,14.366431578947374,tiempo,0,-138.95430918824363,5.485038520588629,-144.43934770883226,131189.61167550329
2025-05-21 19:06:00,2025-05-22 01:00:00,3320.6549999999997,3323.385,0.9621971941804082,13.634378947368427,tiempo,1,262.6798340112969,39.45008496139673,223.2297490499002,131412.8414245532
2025-05-22 03:18:00,2025-05-22 05:47:00,3344.698,3331.1430631578946,0.9840019685472149,13.354936842105278,stop,0,-1333.808453616472,5.904011811283289,-1339.7124654277552,130073.12895912543
2025-05-23 11:49:00,2025-05-23 16:00:00,3345.3979999999997,3361.3250000000003,1.0349514098512935,12.568042105263176,tiempo,0,1648.3671104702162,6.209708459107761,1642.1574020111084,131715.28636113653
2025-05-23 17:26:00,2025-05-25 22:00:00,3364.598,3352.0788210526316,1.0691888389954183,12.319178947368432,stop,2,-1338.5366403912644,81.25835176365179,-1419.7949921549161,130295.49136898162
2025-05-29 16:09:00,2025-05-29 18:24:00,3328.348,3317.2408421052633,1.1945870099841014,10.907157894736836,stop,0,-1326.8466538894822,7.167522059904608,-1334.0141759493868,128961.47719303223
2025-06-02 06:18:00,2025-06-02 11:00:00,3330.975,3348.1980000000003,1.1520936030854019,11.1936631578947,tiempo,0,1984.250812594035,6.912561618512411,1977.3382509755227,130938.81544400775
2025-06-02 12:22:00,2025-06-02 17:00:00,3360.298,3371.248,1.1428381416073328,11.457336842105235,tiempo,0,1251.4077650600605,6.857028849643997,1244.5507362104165,132183.36618021817
2025-06-02 18:54:00,2025-06-03 00:00:00,3379.365,3387.025,1.159406862506418,11.40094736842102,tiempo,1,888.1056566799521,47.535681362763135,840.5699753171889,133023.93615553537
