conf,ses,clave,lado,t,tent,ent,stop,rgo,obj,gano,rgoP,cpc,Rb,Rn
C2,londres,lo,1,2020-01-15 10:10:00,2020-01-15 09:10:00,1.11288,1.11257,0.00031000000000003247,1.1135000000000002,0,3.1000000000003247,46.12903225805968,-1.0,-1.4612903225805969
C1,londres,lo,1,2020-01-15 11:05:00,2020-01-15 10:05:00,1.11264,1.11252,0.00012000000000012001,1.1128800000000003,0,1.2000000000012,119.16666666654748,-1.0,-2.191666666665475
C2,londres,lo,1,2020-01-15 11:15:00,2020-01-15 10:15:00,1.11268,1.11252,0.00015999999999993797,1.1129999999999998,1,1.5999999999993797,89.37500000003465,2.0,1.1062499999996536
C1,londres,lo,1,2020-01-15 11:15:00,2020-01-15 10:15:00,1.11286,1.11249,0.00036999999999998145,1.1136,1,3.6999999999998145,38.648648648650585,2.0,1.6135135135134941
C2,londres,lo,1,2020-01-15 11:20:00,2020-01-15 10:20:00,1.11287,1.11249,0.00038000000000004697,1.1136300000000001,1,3.8000000000004697,37.63157894736377,2.0,1.6236842105263622
C1,londres,hi,-1,2020-01-16 09:50:00,2020-01-16 08:50:00,1.11578,1.11637,0.0005900000000000905,1.1145999999999998,0,5.9000000000009045,24.237288135589505,-1.0,-1.242372881355895
C2,londres,hi,-1,2020-01-16 09:55:00,2020-01-16 08:55:00,1.11578,1.11637,0.0005900000000000905,1.1145999999999998,0,5.9000000000009045,24.237288135589505,-1.0,-1.242372881355895
C1,londres,hi,-1,2020-01-16 09:55:00,2020-01-16 08:55:00,1.11562,1.11584,0.00021999999999988695,1.1151800000000003,0,2.1999999999988695,65.0000000000334,-1.0,-1.6500000000003339
C2,londres,hi,-1,2020-01-16 10:00:00,2020-01-16 09:00:00,1.11553,1.11584,0.00031000000000003247,1.1149099999999998,0,3.1000000000003247,46.12903225805968,-1.0,-1.4612903225805969
C1,londres,hi,-1,2020-01-16 10:10:00,2020-01-16 09:10:00,1.11569,1.11586,0.00017000000000000348,1.11535,0,1.7000000000000348,84.1176470588218,-1.0,-1.841176470588218
C2,londres,hi,-1,2020-01-16 10:15:00,2020-01-16 09:15:00,1.11558,1.11586,0.000280000000000058,1.11502,0,2.80000000000058,51.071428571418,-1.0,-1.51071428571418
C1,londres,hi,-1,2020-01-16 10:15:00,2020-01-16 09:15:00,1.11563,1.11585,0.000220000000000109,1.1151899999999997,0,2.20000000000109,64.9999999999678,-1.0,-1.649999999999678
C2,londres,hi,-1,2020-01-16 10:25:00,2020-01-16 09:25:00,1.11558,1.11585,0.00026999999999999247,1.11504,0,2.6999999999999247,52.96296296296444,-1.0,-1.5296296296296443
C1,londres,hi,-1,2020-01-16 10:25:00,2020-01-16 09:25:00,1.11537,1.11593,0.000560000000000116,1.1142499999999997,0,5.60000000000116,25.535714285709,-1.0,-1.25535714285709
C2,londres,hi,-1,2020-01-16 10:30:00,2020-01-16 09:30:00,1.11537,1.11593,0.000560000000000116,1.1142499999999997,0,5.60000000000116,25.535714285709,-1.0,-1.25535714285709
C1,londres,hi,-1,2020-01-16 11:40:00,2020-01-16 10:40:00,1.11574,1.11632,0.0005800000000000249,1.11458,0,5.800000000000249,24.655172413792044,-1.0,-1.2465517241379205
C2,londres,hi,-1,2020-01-16 11:45:00,2020-01-16 10:45:00,1.11573,1.11632,0.0005899999999998684,1.1145500000000004,0,5.899999999998684,24.237288135598625,-1.0,-1.2423728813559862
C1,londres,hi,-1,2020-01-16 11:55:00,2020-01-16 10:55:00,1.11573,1.11591,0.00017999999999984695,1.1153700000000004,0,1.7999999999984695,79.444444444512,-1.0,-1.7944444444451197
C2,londres,hi,-1,2020-01-16 12:35:00,2020-01-16 11:35:00,1.11561,1.11591,0.00029999999999996696,1.11501,0,2.9999999999996696,47.666666666671915,-1.0,-1.4766666666667192
C1,londres,hi,-1,2020-01-16 12:05:00,2020-01-16 11:05:00,1.11572,1.11596,0.00024000000000001798,1.11524,0,2.4000000000001798,59.58333333332887,-1.0,-1.5958333333332888
C2,londres,hi,-1,2020-01-16 12:35:00,2020-01-16 11:35:00,1.11566,1.11596,0.00029999999999996696,1.1150600000000002,0,2.9999999999996696,47.666666666671915,-1.0,-1.4766666666667192
C1,londres,hi,-1,2020-01-16 12:10:00,2020-01-16 11:10:00,1.11573,1.11585,0.00011999999999989797,1.1154900000000003,0,1.1999999999989797,119.166666666768,-1.0,-2.19166666666768
C2,londres,hi,-1,2020-01-16 12:30:00,2020-01-16 11:30:00,1.11567,1.11585,0.000180000000000069,1.1153099999999998,0,1.80000000000069,79.44444444441399,-1.0,-1.7944444444441399
C1,londres,hi,-1,2020-01-16 12:30:00,2020-01-16 11:30:00,1.11567,1.11606,0.0003900000000001125,1.1148899999999997,0,3.900000000001125,36.66666666665609,-1.0,-1.366666666666561
C2,londres,hi,-1,2020-01-16 12:35:00,2020-01-16 11:35:00,1.11567,1.11606,0.0003900000000001125,1.1148899999999997,0,3.900000000001125,36.66666666665609,-1.0,-1.366666666666561
C1,londres,hi,-1,2020-01-16 12:45:00,2020-01-16 11:45:00,1.11576,1.11591,0.00014999999999987246,1.1154600000000003,0,1.4999999999987246,95.33333333341439,-1.0,-1.953333333334144
C2,londres,hi,-1,2020-01-16 13:20:00,2020-01-16 12:20:00,1.11575,1.11591,0.00015999999999993797,1.1154300000000001,0,1.5999999999993797,89.37500000003465,-1.0,-1.8937500000003464
C1,londres,hi,-1,2020-01-16 13:05:00,2020-01-16 12:05:00,1.11578,1.11599,0.00021000000000004349,1.11536,0,2.100000000000435,68.09523809522399,-1.0,-1.68095238095224
C2,londres,hi,-1,2020-01-16 13:10:00,2020-01-16 12:10:00,1.11578,1.11599,0.00021000000000004349,1.11536,0,2.100000000000435,68.09523809522399,-1.0,-1.68095238095224
C1,londres,hi,-1,2020-01-16 13:20:00,2020-01-16 12:20:00,1.11568,1.11619,0.0005100000000000104,1.11466,0,5.1000000000001044,28.039215686273934,-1.0,-1.2803921568627392
C1,londres,hi,-1,2020-01-20 08:05:00,2020-01-20 07:05:00,1.11009,1.11013,4.0000000000040004e-05,1.11001,0,0.40000000000040004,357.49999999964245,-1.0,-4.574999999996424
C2,londres,hi,-1,2020-01-20 08:10:00,2020-01-20 07:10:00,1.11003,1.11013,9.999999999998899e-05,1.10983,1,0.9999999999998899,143.00000000001575,2.0,0.5699999999998426
C1,londres,hi,-1,2020-01-20 08:25:00,2020-01-20 07:25:00,1.10986,1.11023,0.00036999999999998145,1.10912,1,3.6999999999998145,38.648648648650585,2.0,1.6135135135134941
C2,londres,hi,-1,2020-01-20 08:30:00,2020-01-20 07:30:00,1.10975,1.11023,0.00048000000000003595,1.10879,1,4.8000000000003595,29.791666666664437,2.0,1.7020833333333556
C1,londres,lo,1,2020-01-20 09:55:00,2020-01-20 08:55:00,1.1089,1.10886,4.0000000000040004e-05,1.10898,1,0.40000000000040004,357.49999999964245,2.0,-1.5749999999964244
C2,londres,lo,1,2020-01-20 10:50:00,2020-01-20 09:50:00,1.10913,1.10886,0.00026999999999999247,1.10967,0,2.6999999999999247,52.96296296296444,-1.0,-1.5296296296296443
C1,londres,lo,1,2020-01-20 10:50:00,2020-01-20 09:50:00,1.1089,1.10821,0.0006900000000000794,1.1102800000000002,0,6.900000000000794,20.724637681157034,-1.0,-1.2072463768115704
