ts,salida_ts,dir,entrada,sl,tp,riesgo_pips,motivo,pips,R
2025-07-21 12:25:00,2025-07-21 13:06:00,corto,1.16666,1.16743,1.16589,7.699999999999374,TP,6.499999999999374,0.8441558441558314
2025-07-22 06:30:00,2025-07-22 06:55:00,largo,1.16891,1.1684,1.1694199999999997,5.099999999997884,SL,-6.299999999997884,-1.2352941176471566
2025-07-22 06:55:00,2025-07-22 07:53:00,largo,1.16907,1.16829,1.16985,7.800000000000029,SL,-9.000000000000028,-1.153846153846153
2025-07-22 13:35:00,2025-07-22 13:54:00,largo,1.16908,1.16778,1.1703799999999998,12.999999999998568,TP,11.799999999998569,0.9076923076922976
2025-07-23 13:40:00,2025-07-23 13:52:00,largo,1.17164,1.17099,1.17229,6.500000000000394,TP,5.300000000000394,0.8153846153846266
2025-07-24 15:55:00,2025-07-24 20:46:00,corto,1.17645,1.17792,1.17498,14.700000000000824,TP,13.500000000000824,0.9183673469387801
2025-07-25 09:20:00,2025-07-25 10:20:00,largo,1.17382,1.17317,1.1744700000000001,6.500000000000394,SL,-7.7000000000003945,-1.1846153846153735
2025-08-01 09:35:00,2025-08-01 09:44:00,largo,1.14027,1.14002,1.1405199999999998,2.4999999999986144,SL,-3.6999999999986146,-1.480000000000266
2025-08-01 12:30:00,2025-08-04 12:34:00,largo,1.15089,1.1390500000000001,1.1627299999999998,118.3999999999985,tiempo,77.10000000000002,0.6511824324324409
2025-08-06 06:35:00,2025-08-06 06:50:00,corto,1.15843,1.15892,1.1579400000000002,4.899999999998794,TP,3.699999999998794,0.7551020408162662
2025-08-07 15:45:00,2025-08-07 20:26:00,largo,1.16391,1.16098,1.16684,29.300000000000992,TP,28.100000000000993,0.959044368600684
2025-08-08 15:25:00,2025-08-08 15:47:00,corto,1.16642,1.16687,1.16597,4.500000000000615,TP,3.3000000000006144,0.7333333333333697
2025-08-08 15:50:00,2025-08-08 16:19:00,corto,1.16603,1.16687,1.1651899999999997,8.40000000000174,TP,7.200000000001739,0.8571428571428867
2025-08-11 15:45:00,2025-08-12 01:11:00,largo,1.16045,1.1589,1.162,15.499999999999403,TP,14.299999999999404,0.9225806451612873
2025-08-19 07:20:00,2025-08-19 07:52:00,corto,1.16745,1.16822,1.1666800000000002,7.699999999999374,SL,-8.899999999999373,-1.1558441558441683
2025-08-21 15:20:00,2025-08-22 03:31:00,largo,1.1613,1.16,1.1626,13.000000000000789,SL,-14.200000000000788,-1.0923076923076867
2025-08-22 15:55:00,2025-08-22 17:15:00,corto,1.17122,1.17331,1.1691299999999998,20.900000000001473,SL,-22.100000000001472,-1.0574162679425796
2025-08-27 07:50:00,2025-08-27 08:09:00,largo,1.16026,1.15951,1.16101,7.500000000000284,SL,-8.700000000000284,-1.159999999999994
2025-08-28 06:25:00,2025-08-28 07:04:00,corto,1.16384,1.16459,1.16309,7.500000000000284,SL,-8.700000000000284,-1.159999999999994
2025-08-28 08:25:00,2025-08-28 09:05:00,corto,1.16326,1.16464,1.16188,13.799999999999368,SL,-14.999999999999368,-1.0869565217391344
2025-08-29 06:55:00,2025-08-29 07:54:00,largo,1.16672,1.16601,1.16743,7.099999999999884,TP,5.899999999999884,0.830985915492955
2025-08-29 14:40:00,2025-08-29 14:50:00,corto,1.16953,1.17019,1.1688699999999999,6.6000000000010495,TP,5.400000000001049,0.8181818181818471
2025-08-29 15:05:00,2025-08-29 20:46:00,corto,1.16992,1.17099,1.1688500000000002,10.699999999999044,TP,9.499999999999044,0.8878504672897096
2025-09-03 07:25:00,2025-09-03 07:38:00,largo,1.16177,1.16071,1.16283,10.600000000000609,TP,9.40000000000061,0.8867924528301953
2025-09-03 07:45:00,2025-09-03 08:56:00,largo,1.1632,1.16071,1.1656900000000001,24.900000000001032,TP,23.700000000001033,0.9518072289156647
2025-09-03 14:45:00,2025-09-03 15:11:00,corto,1.16661,1.16811,1.1651099999999999,15.000000000000568,SL,-16.200000000000568,-1.079999999999997
2025-09-03 15:55:00,2025-09-03 16:18:00,corto,1.1675,1.1683,1.1667,7.999999999999119,TP,6.799999999999119,0.8499999999999834
2025-09-08 06:15:00,2025-09-08 06:51:00,corto,1.17161,1.17241,1.1708100000000001,7.999999999999119,SL,-9.199999999999118,-1.1500000000000163
2025-09-09 07:05:00,2025-09-09 07:41:00,corto,1.17639,1.17691,1.1758700000000002,5.199999999998539,TP,3.999999999998539,0.7692307692307043
2025-09-09 14:10:00,2025-09-09 14:34:00,largo,1.17363,1.17259,1.1746699999999999,10.399999999999299,SL,-11.599999999999298,-1.1153846153846232
2025-09-09 15:25:00,2025-09-09 17:43:00,largo,1.17243,1.17146,1.1734000000000002,9.700000000001374,SL,-10.900000000001373,-1.123711340206168
