ts,R,equity,ano,plaza,riesgo_pips,motivo,dir
2021-04-02 07:50:00,0.5714285714286602,5984.812297617104,2021,Londres,2.80000000000058,TP,corto
2021-04-02 09:15:00,-1.352941176470581,5903.841307708168,2021,Londres,3.4000000000000696,SL,corto
2021-04-02 12:40:00,0.9368421052631584,5959.150978906698,2021,NY,19.000000000000128,TP,corto
2021-04-02 13:30:00,0.8588235294117675,6010.329569666721,2021,NY,8.500000000000174,TP,largo
2021-04-02 14:30:00,0.7818181818181137,6057.319419029565,2021,NY,5.499999999998284,TP,largo
2021-04-07 07:20:00,-1.122448979591839,5989.329099020049,2021,Londres,9.799999999999809,SL,corto
2021-04-08 14:45:00,0.8124999999999923,6037.992397949587,2021,NY,6.399999999999739,TP,corto
2021-04-13 08:50:00,-1.1463414634146265,5968.776387534068,2021,Londres,8.20000000000043,SL,largo
2021-04-13 09:25:00,-1.111111111111114,5902.4566498948,2021,Londres,10.799999999999699,SL,largo
2021-04-15 07:30:00,0.830985915492955,5951.505233323503,2021,Londres,7.099999999999884,TP,corto
2021-04-15 09:25:00,0.8799999999999869,6003.878479376749,2021,Londres,9.999999999998899,TP,corto
2021-04-15 12:05:00,-1.2790697674419056,5927.08468487309,2021,NY,4.299999999999304,SL,largo
2021-04-15 12:30:00,-1.0736196319018396,5863.450340096845,2021,NY,16.300000000000203,SL,largo
2021-04-16 14:35:00,0.8636363636363623,5914.089229397681,2021,NY,8.799999999999919,TP,corto
2021-04-22 09:05:00,0.7647058823528435,5959.314617622482,2021,Londres,5.099999999997884,TP,largo
2021-04-22 09:55:00,0.9423076923076884,6015.469697673156,2021,Londres,20.799999999998597,TP,largo
2021-04-26 07:45:00,0.7966101694915566,6063.389541027503,2021,Londres,5.9000000000009045,TP,largo
2021-04-26 08:05:00,0.8695652173912773,6116.114667471218,2021,Londres,9.199999999998099,TP,largo
2021-04-28 07:05:00,0.857142857142849,6168.538507478113,2021,Londres,8.399999999999519,TP,largo
2021-04-28 09:20:00,-1.2448979591837337,6091.746497487055,2021,Londres,4.899999999998794,SL,largo
2021-04-28 13:55:00,0.9263803680981605,6148.179241114082,2021,NY,16.300000000000203,TP,largo
2021-04-29 12:45:00,0.8260869565217591,6198.968547888504,2021,NY,6.900000000000794,TP,corto
2021-05-03 06:10:00,0.7692307692307043,6246.652921333796,2021,Londres,5.199999999998539,TP,largo
2021-05-03 06:40:00,0.8823529411764731,6301.770447110271,2021,Londres,10.200000000000209,TP,largo
2021-05-03 15:05:00,0.7777777777777716,6350.784217254461,2021,NY,5.399999999999849,TP,corto
2021-05-03 15:20:00,0.8878504672897096,6407.169684603916,2021,NY,10.699999999999044,TP,corto
2021-05-04 15:35:00,-1.0625000000000024,6339.0935067049995,2021,NY,19.199999999999218,SL,largo
2021-05-05 06:35:00,-1.159999999999994,6265.560022027222,2021,Londres,7.500000000000284,SL,largo
2021-05-10 13:05:00,-1.1132075471698049,6195.811334989561,2021,NY,10.600000000000609,SL,corto
2021-05-17 09:40:00,-1.1764705882352904,6122.919436930861,2021,Londres,6.800000000000139,SL,corto
2021-05-17 12:30:00,0.8604651162790832,6175.605022783522,2021,NY,8.60000000000083,TP,largo
2021-05-17 14:40:00,-1.134831460674182,6105.522314098,2021,NY,8.899999999998354,SL,corto
2021-05-19 14:05:00,0.8651685393258177,6158.345372321093,2021,NY,8.899999999998354,TP,corto
