R,neta,mot,rgo,hniv,aliU,aliM,dob,i
2.0,1.827232088921127,TP,8.277000000000978,7,False,True,True,EURUSD
-1.0,-1.0969097316346026,SL,14.755999999997993,7,False,True,False,EURUSD
-1.0,-1.0969097316346026,SL,14.755999999997993,14,False,True,False,EURUSD
-1.0,-1.0815000569930393,SL,17.546000000001616,7,True,False,True,EURUSD
-1.0,-1.0815000569930393,SL,17.546000000001616,14,True,False,True,EURUSD
2.0,1.8334691976243138,TP,8.5869999999999,20,False,False,True,EURUSD
-1.0,-1.0783175420340634,SL,18.25900000000047,23,False,False,False,EURUSD
2.0,1.9117991735027473,TP,16.213000000000477,23,False,False,True,EURUSD
-1.0,-1.0857416956469659,SL,16.67799999999886,13,False,False,True,EURUSD
2.0,1.9086553816671923,TP,15.654999999998864,13,False,False,True,EURUSD
-1.0,-1.1930085031718065,SL,7.409000000000443,15,False,True,True,EURUSD
2.0,1.8162189949877916,TP,7.781000000000038,13,False,False,False,EURUSD
-1.0,-1.1596160285746266,SL,8.958999999999495,13,False,True,True,EURUSD
-1.0,-1.2329749103942662,SL,6.137999999999977,13,False,False,True,EURUSD
2.0,1.9383301707779903,TP,23.188000000000653,19,False,False,True,EURUSD
-1.0,-1.2014368220875749,SL,7.099000000001521,20,False,False,True,EURUSD
-1.0,-1.1250109275286329,SL,11.438999999999755,23,False,False,True,EURUSD
-1.0,-1.0937581956464792,SL,15.251999999998933,23,False,False,True,EURUSD
-1.0,-1.0875313705086636,SL,16.336999999999602,19,False,False,False,EURUSD
2.0,1.8932198327359517,TP,13.391999999998738,0,True,False,True,EURUSD
-1.0,-1.1808981657178683,SL,7.905000000001383,0,False,True,False,EURUSD
-1.0,-1.4435483870965444,SL,3.22400000000167,23,False,False,True,EURUSD
-1.0,-1.1075268817204305,SL,13.29899999999995,16,False,False,True,EURUSD
2.0,1.3410138248851988,TP,2.1700000000013375,23,False,False,True,EURUSD
-1.0,-1.134486974513309,SL,10.632999999999893,19,False,False,False,EURUSD
-1.0,-1.134486974513309,SL,10.632999999999893,18,False,False,False,EURUSD
-1.0,-1.134486974513309,SL,10.632999999999893,23,False,False,False,EURUSD
-1.0,-1.2077884335949105,SL,6.881999999999167,2,True,False,True,EURUSD
-1.0,-1.1794903978913054,SL,7.966999999999835,1,False,False,False,EURUSD
2.0,1.8571856586437607,TP,10.012999999999828,2,False,False,True,EURUSD
2.0,1.8562958496633382,TP,9.950999999999155,23,False,True,True,EURUSD
2.0,1.5988779803647608,TP,3.5650000000009285,23,True,False,True,EURUSD
-1.0,-1.1647465437787845,SL,8.68000000000091,23,False,False,True,EURUSD
2.0,1.8346629668169416,TP,8.648999999998352,9,False,False,True,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,9,False,True,False,EURUSD
2.0,1.9421216659246352,TP,24.70699999999937,2,False,False,True,EURUSD
2.0,1.8919694794893043,TP,13.236999999999277,17,False,False,True,EURUSD
2.0,1.8919694794893043,TP,13.236999999999277,0,False,False,True,EURUSD
-1.0,-1.0965042515859034,SL,14.818000000000886,14,False,False,True,EURUSD
-1.0,-1.1867572156196722,SL,7.657000000000913,14,False,False,True,EURUSD
-1.0,-1.084330954767944,SL,16.956999999999667,14,False,False,True,EURUSD
2.0,1.6985030571368578,TP,4.743000000000386,14,False,False,True,EURUSD
-1.0,-1.168970814132089,SL,8.463000000000775,23,False,False,True,EURUSD
2.0,1.6608159392788657,TP,4.215999999999109,23,False,True,False,EURUSD
-1.0,-1.1532525988639801,SL,9.33100000000131,14,False,True,False,EURUSD
-1.0,-1.1233396584440074,SL,11.594000000001436,23,False,False,False,EURUSD
2.0,1.9018531228551847,TP,14.570000000000416,16,False,True,True,EURUSD
-1.0,-1.1402098244926024,SL,10.198999999999625,23,False,False,True,EURUSD
-1.0,-1.1624261699227618,SL,8.804000000000034,8,False,False,True,EURUSD
-1.0,-1.2651093807935447,SL,5.393999999998567,8,False,True,False,EURUSD
-1.0,-1.1653370331830584,SL,8.648999999998352,23,False,False,True,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,18,False,False,False,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,15,False,False,False,EURUSD
-1.0,-1.2493461203137637,SL,5.735000000002266,12,True,False,True,EURUSD
-1.0,-1.1979786792192042,SL,7.222999999998425,12,False,True,False,EURUSD
-1.0,-1.1979786792192042,SL,7.222999999998425,15,False,True,False,EURUSD
-1.0,-1.4522454142946075,SL,3.1620000000009973,15,False,False,True,EURUSD
-1.0,-1.072644145288289,SL,19.685000000000397,19,True,False,True,EURUSD
-1.0,-1.1173766724123666,SL,12.183000000001165,12,False,False,True,EURUSD
-1.0,-1.1310483870967925,SL,10.911999999998478,15,False,False,True,EURUSD
-1.0,-1.530218761586871,SL,2.6970000000003935,23,False,False,False,EURUSD
2.0,1.824604440083397,TP,8.152999999999633,16,False,False,True,EURUSD
2.0,1.812483608707069,TP,7.626000000000577,16,False,False,True,EURUSD
-1.0,-1.1867572156197264,SL,7.656999999998693,22,False,True,True,EURUSD
-1.0,-1.318131256952175,SL,4.494999999999916,23,False,False,False,EURUSD
-1.0,-1.4393241167435005,SL,3.254999999999786,23,False,False,True,EURUSD
-1.0,-1.0897451989456526,SL,15.93399999999967,16,False,False,True,EURUSD
-1.0,-1.1038942167974553,SL,13.763999999998333,12,False,True,True,EURUSD
-1.0,-1.375032782585753,SL,3.8130000000013986,16,False,False,True,EURUSD
-1.0,-1.1590656284760876,SL,8.989999999999831,12,True,False,True,EURUSD
2.0,1.8606373647792653,TP,10.261000000000298,12,False,True,True,EURUSD
-1.0,-1.2938154920896126,SL,4.866999999999511,12,False,True,True,EURUSD
2.0,1.8562958496633704,TP,9.951000000001375,13,True,False,True,EURUSD
2.0,1.8562958496633704,TP,9.951000000001375,20,True,False,True,EURUSD
-1.0,-1.3034804753820002,SL,4.7120000000000495,2,False,True,False,EURUSD
-1.0,-1.1922043010752488,SL,7.440000000000779,2,False,False,True,EURUSD
-1.0,-1.1130613535736915,SL,12.647999999999548,20,True,False,True,EURUSD
-1.0,-1.1130613535736915,SL,12.647999999999548,21,True,False,True,EURUSD
2.0,1.8507151059609495,TP,9.57899999999956,15,False,True,False,EURUSD
2.0,1.5340501792114678,TP,3.0689999999999884,15,False,True,True,EURUSD
