dia,cierre_min,crt_h4_cer,crt_h4_viva,pos_h4,crt_m15,crt_m15_viva
2025-05-02,675,0,0,1.544247787610665,0,0
2025-05-02,680,0,0,1.517699115044315,0,0
2025-05-02,685,0,0,1.5840707964601901,0,1
2025-05-02,690,0,0,1.672566371681422,0,1
2025-05-06,480,0,0,0.7383720930232284,1,0
2025-05-06,485,0,0,0.6366279069766989,0,0
2025-05-06,490,0,0,0.7761627906976352,0,0
2025-05-06,495,0,0,0.7616279069767393,0,0
2025-05-06,500,0,0,0.7994186046511461,0,0
2025-05-06,505,0,0,0.7761627906976352,0,0
2025-05-06,510,0,0,0.8313953488372074,0,0
2025-05-06,515,0,0,0.8343023255813479,0,0
2025-05-06,520,0,0,1.0755813953488136,0,0
2025-05-06,525,0,0,1.2063953488371995,0,0
2025-05-06,530,0,0,1.0610465116278531,0,0
2025-05-06,535,0,0,1.011627906976691,0,0
2025-05-06,540,0,0,0.9651162790697336,0,0
2025-05-06,545,0,0,1.1366279069767313,0,-1
2025-05-06,550,0,0,0.9825581395348345,0,-1
2025-05-06,555,0,0,1.0087209302325504,0,-1
2025-05-06,560,0,0,0.9854651162790395,-1,1
2025-05-06,565,0,0,1.2034883720929943,-1,0
2025-05-06,570,0,0,1.2558139534883617,-1,0
2025-05-06,575,0,0,1.354651162790686,0,0
2025-05-06,580,0,0,1.5087209302325182,0,0
2025-05-06,585,0,0,1.5465116279069249,0,0
2025-05-06,590,0,0,1.5581395348836804,0,0
2025-05-06,595,0,0,1.4680232558139064,0,-1
2025-05-06,600,0,0,1.3372093023255207,0,-1
2025-05-06,605,0,0,1.2906976744185634,-1,0
2025-05-06,610,0,0,1.3139534883720743,-1,0
2025-05-06,615,0,0,1.4680232558139064,-1,1
2025-05-06,620,0,0,1.6046511627906377,1,0
2025-05-06,625,0,0,1.5174418604650686,1,0
2025-05-06,630,0,0,1.3895348837208878,1,-1
2025-05-06,635,0,0,1.2674418604650526,-1,0
2025-05-06,640,0,0,1.2877906976743583,-1,0
2025-05-06,645,0,0,1.238372093023196,-1,0
2025-05-06,650,0,0,1.264534883720912,0,1
2025-05-06,655,0,0,1.1976744186045845,0,0
2025-05-06,660,0,0,1.0029069767441405,0,0
2025-05-06,665,0,0,0.9883720930232446,0,0
2025-05-06,670,0,0,1.0610465116278531,0,1
2025-05-06,675,0,0,0.8662790697674092,0,0
2025-05-06,680,0,0,0.9476744186046328,0,0
2025-05-06,685,0,0,0.8604651162790637,0,0
2025-05-06,690,0,-1,0.7151162790697175,0,0
2025-06-13,480,0,0,0.37687366167023595,1,0
2025-06-13,485,0,0,0.5653104925053539,0,0
2025-06-13,490,0,0,0.6167023554603904,0,0
2025-06-13,495,0,0,0.47965738758030896,0,0
2025-06-13,500,0,0,0.4432548179871601,0,0
