fam,N,S,per,etiq,n,R,t,sharpe,lo,hi,tb
B,20,5.0,ajuste,real,812,0.0012044050032304452,0.24744262415168486,0.1378468253137928,-0.008494137845369312,0.009565014322642763,0.2620418748642561
B,20,5.0,fuera,real,536,-0.001933817300289881,-0.30792503512796676,-0.21113628472159682,-0.012148533181445412,0.007800351780792954,-0.37736454636923816
B,40,1.0,ajuste,real,812,0.014526093029633506,0.642761943564816,0.3580736894328229,-0.03377524539935235,0.05653352243717335,0.6262751808142425
B,40,1.0,fuera,real,536,0.017544092170378604,0.5731605001579774,0.3930014280983566,-0.04103950473625292,0.08299265787496368,0.5709528496528574
B,40,2.0,ajuste,real,812,0.00713025204647051,0.6098667917239694,0.33974826039640854,-0.016889567618099382,0.02655646289809293,0.6414986465994637
B,40,2.0,fuera,real,536,0.007881217648059472,0.5031457915380257,0.3449941413646279,-0.01849161168942166,0.0384599274340679,0.5384493558037742
B,40,3.0,ajuste,real,812,0.004655281922240576,0.5960912119562171,0.3320740775657353,-0.011181619009057444,0.01797665346323041,0.6178369139114889
B,40,3.0,fuera,real,536,0.00494444461356113,0.47040595252145573,0.3225452749726211,-0.013314470217680492,0.02676865999680936,0.4883570108817835
B,40,5.0,ajuste,real,812,0.002793169153344346,0.5960912119562172,0.33207407756573537,-0.0070792099583778375,0.010458089604946387,0.6112527289448426
B,40,5.0,fuera,real,536,0.0031145025365150467,0.4957919007276713,0.33995176738778893,-0.0073476228493701235,0.016000688288846387,0.5255518607538799
B,60,1.0,ajuste,real,812,0.014482421641325372,0.6539425836063517,0.3643022676334695,-0.0344078921286249,0.05640781105539245,0.6228425149154923
B,60,1.0,fuera,real,536,0.013411180184548939,0.44748229531564554,0.306827112230008,-0.04076902026120171,0.07180164483996444,0.4773208747758863
B,60,2.0,ajuste,real,812,0.007078125758387699,0.617683027771698,0.3441025761848724,-0.01896857008294861,0.028337197093421754,0.5909165298679673
B,60,2.0,fuera,real,536,0.003403378399401149,0.21881683613739017,0.15003708223134,-0.021703084065959326,0.03086792366120477,0.24760018994955366
B,60,3.0,ajuste,real,812,0.004620531063518705,0.6035885774462565,0.33625075502606483,-0.012706077146084379,0.018213695432820854,0.583983789751035
B,60,3.0,fuera,real,536,0.0018055434727907965,0.17220949840758842,0.11807962828497429,-0.01469613048464208,0.02146601823221444,0.19599063347612908
B,60,5.0,ajuste,real,812,0.0027723186381112207,0.6035885774462562,0.33625075502606466,-0.007502127883473747,0.011107681936218475,0.5904649663882428
B,60,5.0,fuera,real,536,0.0011455717612696423,0.18235940037772386,0.12503915527300313,-0.009399599088243603,0.013330781328845864,0.19585240389298977
B,120,1.0,ajuste,real,812,0.003440632835881221,0.15756793902076693,0.08777889516696721,-0.03770806802077503,0.05024545696182372,0.1541064711304483
B,120,1.0,fuera,real,536,-0.0035891640871393913,-0.12495100746935274,-0.08567569531440013,-0.0515408834245101,0.049899436050117756,-0.13936615824492982
B,120,2.0,ajuste,real,812,0.0020050969762112967,0.17786044045377405,0.09908356391514891,-0.017691766525397102,0.02696559262955165,0.18046127908825962
B,120,2.0,fuera,real,536,-0.0057868641505752685,-0.38160829106216454,-0.2616590000885752,-0.029868612131577283,0.02167205887305482,-0.43333244810730903
B,120,3.0,ajuste,real,812,0.0011399678699066627,0.15115713418363852,0.08420752545031429,-0.010893587285827129,0.01655000941720252,0.15929915977002207
B,120,3.0,fuera,real,536,-0.006408437920132882,-0.6083484020112533,-0.41712886827664986,-0.024220368256351387,0.014000817510686036,-0.6359511563483536
